0x1F59,CSMG_ITEM_MASTERENHANCE_CLOSE
0x13E3,CSMG_IRIS_ADD_SLOT_ITEM_SELECT
0x13E5,CSMG_IRIS_ADD_SLOT_CONFIRM
0x13E7,CSMG_IRIS_ADD_SLOT_CANCEL
0x140B,CSMG_IRIS_CARD_ASSEMBLE
0x140D,CSMG_IRIS_CARD_ASSEMBLE_CANCEL
0x177A,CSMG_POSSESSION_REQUEST
0x177F,CSMG_POSSESSION_CANCEL
0x17E8,CSMG_GOLEM_SHOP_SELL
0x17EA,CSMG_GOLEM_SHOP_SELL_CLOSE
0x17EB,CSMG_GOLEM_SHOP_SELL_SETUP
0x17F2,CSMG_GOLEM_WAREHOUSE
0x17F4,CSMG_GOLEM_WAREHOUSE_SET
0x17F8,CSMG_GOLEM_WAREHOUSE_GET
0x17FC,CSMG_GOLEM_SHOP_OPEN
0x17FF, new Packet
0x1803,CSMG_GOLEM_SHOP_SELL_BUY
0x181A,CSMG_GOLEM_SHOP_BUY
0x181C,CSMG_GOLEM_SHOP_BUY_CLOSE
0x181D,CSMG_GOLEM_SHOP_BUY_SETUP
0x1825, new Packet
0x1827,CSMG_GOLEM_SHOP_BUY_SELL
0x1991,CSMG_QUEST_DETAIL_REQUEST
0x1965,CSMG_QUEST_SELECT
0x191A,CSMG_PLAYER_SHOP_SELL_BUY
0x1915, new Packet
0x190A,CSMG_PLAYER_SETSHOP_OPEN
0x190C,CSMG_PLAYER_SETSHOP_CLOSE
0x190D,CSMG_PLAYER_SETSHOP_SETUP
0x1900,CSMG_PLAYER_SHOP_OPEN
0x19C9,CSMG_PARTY_INVITE
0x19CB,CSMG_PARTY_INVITE_ANSWER
0x19CD,CSMG_PARTY_QUIT
0x19D2,CSMG_PARTY_KICK
0x19D7,CSMG_PARTY_NAME
0x1A5E,CSMG_PLAYER_CHECK_EQUIPMENT_PERMISSIONS
0x1AAE,CSMG_RING_INVITE
0x1AB7,CSMG_RING_INVITE_ANSWER(false));
0x1AB8,CSMG_RING_INVITE_ANSWER(true));
0x1ABD,CSMG_RING_QUIT
0x1AC2,CSMG_RING_KICK
0x1AD6,CSMG_RING_RIGHT_SET
0x1ADB,CSMG_RING_EMBLEM_UPLOAD
0x1AF5,CSMG_COMMUNITY_BBS_CLOSE
0x1AFE,CSMG_COMMUNITY_BBS_POST
0x1B08,CSMG_COMMUNITY_BBS_REQUEST_PAGE
0x1B8A,CSMG_COMMUNITY_RECRUIT_CREATE
0x1B94,CSMG_COMMUNITY_RECRUIT_DELETE
0x1B9E,CSMG_COMMUNITY_RECRUIT
0x1BA8,CSMG_COMMUNITY_RECRUIT_JOIN
0x1BAE,CSMG_COMMUNITY_RECRUIT_REQUEST_ANS
0x1BF8,CSMG_FGARDEN_EQUIPT
0x1C02,CSMG_FGARDEN_FURNITURE_SETUP
0x1C07,CSMG_FGARDEN_FURNITURE_USE
0x1C0C,CSMG_FGARDEN_FURNITURE_REMOVE
0x1C11,CSMG_FGARDEN_FURNITURE_RECONFIG
0x1D4C,CSMG_PLAYER_GREETINGS
0x1DB0,CSMG_IRIS_CARD_OPEN
0x1DB2,CSMG_IRIS_CARD_CLOSE
0x1DB6,CSMG_IRIS_CARD_INSERT
0x1DBB,CSMG_IRIS_CARD_REMOVE
0x1DC9,CSMG_IRIS_CARD_LOCK
0x1E47,CSMG_DEM_DEMIC_CLOSE
0x1E4C,CSMG_DEM_DEMIC_INITIALIZE
0x1E4E,CSMG_DEM_DEMIC_CONFIRM
0x1E50,CSMG_DEM_STATS_PRE_CALC
0x1E5B,CSMG_DEM_COST_LIMIT_CLOSE
0x1E5C,CSMG_DEM_COST_LIMIT_BUY
0x1E7D,CSMG_DEM_FORM_CHANGE
0x1E83,CSMG_DEM_PARTS_CLOSE
0x1E87,CSMG_DEM_PARTS_EQUIP
0x1E88,CSMG_DEM_PARTS_UNEQUIP
0x1EBE,CSMG_ITEM_CHANGE
0x1EC0,CSMG_ITEM_CHANGE_CANCEL
0x1EDD,CSMG_CHAR_FORM
0x1EDE, new Packet
0x1FE0, new Packet
0x0064,CSMG_0064
0x0037,new Packet
0x0262,CSMG_PLAYER_EQUIP_OPEN
0x1CF2,CSMG_ITEM_FACEVIEW
0x1CF4,CSMG_ITEM_FACECHANGE
0x1CF6,CSMG_ITEM_FACEVIEW_CLOSE
0x217C,CSMG_PARTNER_PERK_PREVIEW
0x217E,CSMG_PARTNER_PERK_CONFIRM
0x2180,CSMG_PARTNER_AI_MODE_SELECTION
0x2182,CSMG_PARTNER_AI_DETAIL_OPEN
0x2184,CSMG_PARTNER_AI_DETAIL_SETUP
0x2186,CSMG_PARTNER_AI_DETAIL_CLOSE
0x218A,CSMG_PARTNER_SETEQUIP
0x2199,CSMG_PARTNER_SETFOOD
0x219B,CSMG_PARTNER_AUTOFEED
0x219D,CSMG_PARTNER_UPDATE_REQUEST
0x178E,CSMG_POSSESSION_CATALOG_OPEN
0x1F74,CSMG_DAILYSTAMP_OPEN
0x05E6,CSMG_NPC_EVENT_START
0x05F5,CSMG_NPC_INPUTBOX
0x05F7,CSMG_NPC_SELECT
