#カード情報,,,,,,ホルダー,,レア,アセンブル,,,装着可能,,,属性増加量,,,,,,,アビリティベクトル,,,,,,限定条件,,,,,,カード分類,,,,,,,,,,テキスト,,,
#カードID,pictID,枠種別,カード名,種別ID,カードNo,ページ,順,レア度,元カードID,後カードID,回数,武,服,胸,無,火,水,風,土,光,闇,ID（1）,値（1）,ID（2）,値（2）,ID（3）,値（3）,ID（1）,値（1）,ID（2）,値（2）,ID（3）,値（3）,分類ID（1）,分類ID（2）,分類ID（3）,分類ID（4）,分類ID（5）,分類ID（6）,分類ID（7）,分類ID（8）,分類ID（9）,分類ID（10）,限定条件,フレーバーテキスト,イラストレーター名,
#70000000,70000000,0,テスト,ACTIVE,AC00-0000,0,0,4,0,0,0,1,1,0,0,10,10,10,10,10,10,1,50,2,50,3,50,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,-,仮,仮,
70000011,70000011,1,みんなで転生しちゃおう！,ACTIVE,AC00-0011,2001,10,5,70000011,0,0,1,1,1,0,0,0,0,0,0,0,74,200,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,「なんや？ご主人、急に$R雰囲気変わったんちゃう？」$R「ご主人は上位転生を$Rしたんだよ！ねー、ご主人?」$R「上位転生！？$Rそりゃめでたいわー！$Rお祝いせなあかんね！」$R$R秘めていた力が覚醒する刻。$R上位の存在へと生まれ変わる。$Rさらなる高みを目指して、$Rまだ見ぬ未知の領域へ……$R$Rもっと、強くなろうよ！$Rみんなで転生しちゃおう！,関川成人,
70000012,70000012,1,仲良しノービス＆プルルとポリン,ACTIVE,AC00-0012,2001,11,5,70000012,0,0,1,1,1,0,0,0,0,0,0,0,77,200,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,『この子がプルルだよ！』$R『あのピンクのがポリン！』$R$R二人の仲良しノービスが$R互いの世界を紹介しながら$Rアクロニア平原と$Rプロンテラ周辺を$R手をつないでおさんぽ中。$R$Rプルルやポリンたちも$R一緒に仲良くできるかな？$R$RＥＣＯ×ＲＯ$Rコラボレーション記念$Rプロモーションイリスカード,雄一郎,
70000013,70000013,1,ロッテのおもちゃ！とネコマタ,ACTIVE,AC00-0013,2001,12,5,70000013,0,0,1,1,1,0,0,0,0,0,0,0,71,15,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,ユグヴァルラント王国の姫$Rロッテがアクロニア大陸で$Rネコマタたちと出会ったよ！$Rアクロニア大陸にあるものは、$Rロッテにとって『はじめて』$Rばかりで、落ち着かない？$R$R「こっちだよ！ロッテ！」$R$Rネコマタたちも新しく友達が$Rできて、とても嬉しそう。$R紹介したい場所がたくさん$Rあるのは分かったけど、$Rロッテを置いて先に行ったら$Rダメだからね！,葉賀ユイ,
70000014,70000014,1,ロッテのおもちゃ！とタイニー,ACTIVE,AC00-0014,2001,13,5,70000014,0,0,1,1,1,0,0,0,0,0,0,0,78,200,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,アスタロッテことロッテは、$Rユグヴァルラント王国の姫。$R素直になれないロッテだけど$R遊びに来たアクロニア大陸で$R仲良く慣れそうな子を発見！$R$R「りんごたべる？」$R$Rタイニーが差し出した真っ赤な$Rりんごをひとかじり。$R甘い果汁にロッテの表情も$Rだんだんとほころんで……$R$Rすぐに仲良くなれたみたい。$Rよかったね。,葉賀ユイ,
70000015,70000015,1,拓かれる大地,ACTIVE,AC00-0015,2001,14,5,70000015,0,0,1,1,1,0,0,0,0,0,0,0,85,200,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,飛空城のメンテナンスをしたり$R今まで訪れたことのなかった$R土地を巡ってみたりと穏やかな$R時間が流れるアクロニア大陸。$R$R断ち切ることのできない絆。$R絆の糸をたぐり寄せた先には$R何が待っているのだろうか。$R$R今までとこれからが交差し、$R拓かれた大地の夜が明ける。$R$Rガンホー$Rフェスティバル２０１１$RＥＣＯみんつく第１６弾$Rプロモーションイリスカード,雀葵蘭,
70000016,70000016,1,ストライクウィッチーズ,ACTIVE,AC00-0016,2001,15,5,70000016,0,0,0,0,1,0,0,0,0,0,0,0,87,200,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,正体不明の敵「ネウロイ」に$R立ち向かうのは、空を駆ける$Rうら若きウィッチたち。$R$R連合軍第５０１統合戦闘$R航空団……彼女たちは$R「ストライクウィッチーズ」$Rと呼ばれている。$R$R$R$R$R2011/6/23　ＥＣＯ×$Rストライクウィッチーズ$Rコラボレーションイリスカード,,
70000017,70000017,1,魔法少女まどか☆マギカ,ACTIVE,AC00-0017,2001,16,5,70000017,0,0,1,1,1,0,0,0,0,0,0,0,90,200,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,大好きな家族がいて、$R親友がいて、$R時には笑い、$R時には泣く、$Rそんなどこにでもある日常。$R$Rある日、鹿目まどかに$R不思議な出会いが訪れる。$R$R必然なのか、偶然なのか、$R彼女はまだ知らない。$R$R2011/8/25$R魔法少女まどか☆マギカ$R×$RＥＣＯ$Rコラボレーションイリスカード,,
70000018,70000018,1,まどか☆マギカ,ACTIVE,AC00-0018,2001,17,5,70000018,0,0,1,1,1,0,0,0,0,0,0,0,91,200,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,大好きな家族がいて、$R親友がいて、$R時には笑い、$R時には泣く、$Rそんな平和な日々を送る$R鹿目まどかは、ある晩、$Rとても不思議な夢を見る。$R$Rその日も訪れるはずだった、$R変わらぬ日常――$Rしかし、訪れたのは非日常。$R$R2011/8/25$R魔法少女まどか☆マギカ$R×$RＥＣＯ$Rコラボレーションイリスカード,,
70000019,70000019,1,ティティルのサポート,ACTIVE,AC00-0019,2001,18,5,70000019,0,0,1,1,1,0,0,0,0,0,0,0,1,5,6,5,71,200,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,今度の舞台はあなたの町？$Rゲームを飛び出し大暴れ！$Rひょんなことから手を出した$Rオンラインゲームの中から$R女の子が飛び出してきた！$R$Rあれよあれよとするうちに$Rフシギな少女はシャツの中。$R自分のプレイヤーを探す少女と$R後ろ向きな少年の$R誰も知らない冒険が始まる。$R$R2012.07.17$RＥＣＯコラボレーション小説$R出版記念イリスカード,Capura.L,
70000020,70000020,1,パズドラからの来訪者たち,ACTIVE,AC00-0020,2001,19,5,70000020,0,0,1,1,0,0,1,1,0,1,1,1,85,200,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,とあるダンジョンで$R勇者の訪れを楽しみに待つ$Rホノりん、アワりん、$Rモリりん、ヒカりん、$Rワルりんたち。$R進化することが知られているが$Rその生態は謎に包まれている。$R$R2013/4/29$Rガンホー$Rフェスティバル２０１３$RＥＣＯ×パズドラコラボ記念$Rプロモーションイリスカード$R※「パズル＆ドラゴンズ」本編$R　の設定とは異なります。,パズル＆ドラゴンズ,
70000021,70000021,1,にしこくん,ACTIVE,AC00-0021,2001,20,5,70000021,0,0,1,1,1,0,0,0,0,0,0,0,165,200,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,武蔵の国?国分寺跡から$R発掘された“あぶみ瓦”を$Rモチーフとした丸いグレーの$R顔からにょきっと出た$R足がチャームポイントな妖精$Rカラー写真で撮っても$R何故か自分だけモノクロに$R写ることが悩み$Rブーン( *｀ω′)が口癖$R$R『毎日ゆる?く過ごして$R　いるブーン( *｀ω′)』$R2013/6/27$RＥＣＯ×にしこくん$Rコラボレーションイリスカード,タイニー×にしこくん,
70000022,70000022,1,ＭＩＮＤ≒０,ACTIVE,AC00-0022,2001,21,5,70000022,0,0,1,1,1,0,0,0,0,0,0,0,164,200,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,彩玉県天宮市某所……$R高校生である小鳥遊　慧は$R幼馴染の神名　雫と帰宅中、$R立ち込める青黒い霧に包まれ、$R闇へと引きずり込まれた。$R$R――落ちた先は、$Rアンダーテイカーの店。$Rそれは、現実であって$R現実ではない場所。$R表と裏の世界だった。$R$R2013/6/27$RＥＣＯ×ＭＩＮＤ≒０$Rコラボレーションイリスカード,kyo,
70000023,70000023,1,なんでもECO！ザ?ワールド,ACTIVE,AC00-0023,2001,22,5,70000023,0,0,1,1,1,0,0,0,0,0,0,0,170,200,140,30,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,衣装と飛空庭でいっぱい遊んで$R三次職でダンジョンに挑戦して$R「ヒトトセのフシギなたまご」$R「アルマたちと絆の樹」$R「イリスと記憶の書架」を$R丸ごと楽しんじゃった！$R$RＥＣＯの魅力が$Rギュギュッと詰まった、$R夢満載?やりたい放題の$RなんでもECO！ザ?ワールド$R$R2013/8/22$RなんでもECO！ザ?ワールド$Rプロモーションイリスカード,椎名悠人,
70000024,70000024,1,「劇場版モーレツ宇宙海賊」,ACTIVE,AC00-0024,2001,23,5,70000024,0,0,1,1,1,0,0,0,0,0,0,0,179,200,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,まもなく高校3年生になる$R加藤茉莉香は、$R「私掠船免状」を持った$R合法の宇宙海賊。$R$R春休みのある日、$R豪華客船での海賊営業の$R仕事を請けた茉莉香は、$R少年?無限彼方と出会い……。$R$R亜空を駆ける冒険が始まる！$R$R2014/1/30$RECO×劇場版モーレツ宇宙海賊$Rコラボレーションイリスカード,,
70000025,70000025,1,『電波教師』からの使者,ACTIVE,AC00-0025,2001,24,5,70000025,0,0,1,1,1,0,0,0,0,0,0,0,180,200,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,とある高校の教室で$R一つの決定がなされました$R$Rマキナ「適任は１人だけね」$R純音「異議なし」$R花音「異議なし」$R光太郎「何の話ですか？」$Rマキナ「というわけで$R『電波教師』の宣伝のため$R『ヒロイン』として光太郎君に$Rゲーム世界へ行って貰います」$R$R光太郎「ボ、ボク男ですよ？」$R$R一同「それが何か？」,東　毅,
70000026,70000026,1,荒木光太郎,ACTIVE,AC00-0026,2001,25,5,70000026,0,0,1,1,1,0,0,0,0,0,0,0,181,200,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,規格外のオタク教師$R鑑純一郎の忠実なる教え子$R$Rその姿は校内女子の$R誰よりも可愛らしく$R男子達の人気投票では$Rあらゆる女子の追随を許さない$R$Rネトゲの中でも$R『鉄壁のルーチェ』と呼ばれる$Rカリスマアイドル的存在の$R『電波教師』NO1ヒロイン$Rここに登場！！$R$R「あの、ボク男なんですけど」,東　毅,
70000027,70000027,1,パズドラからの新たな来訪者,ACTIVE,AC00-0027,2001,26,5,70000027,0,0,1,1,0,0,0,0,0,0,1,0,85,200,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,淡く輝き、ふわふわふわり。$R金のりんごがつやつやぴかり。$Rふわふわ浮かんだドラゴンさん$Rボクはタイニー、キミはだれ？$Rそっちのりんごもおいしそう！$R$R玩具の龍とぬいぐるみのくま、$R共通点はちょっとだけ。$Rだけど、ボクらが出会ったら$Rいっしょに遊びに出かけよう。$Rきっと、仲良くなれるから！$R$R2014/05/25$RGungHo festival記念$Rプロモーションイリスカード,パズル＆ドラゴンズ,
70000028,70000028,1,アナザークロニクルへの誘い,ACTIVE,AC00-0028,2001,27,5,70000028,0,0,1,1,1,0,0,0,0,0,0,0,74,200,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,巨大図書館で発見された、$R封印されし禁書。$R$Rそれを知らずに$R封印は解かれてしまい、$R結果……本の中から現れた$R影のような存在は、$R私たちの姿を映し取り、$R本の中に、そして世界中に$R飛び去りました。$R$Rこのまま放置しておくわけには$Rいきません。$R私たちは、強い力を持つ$R協力者を求めています……！,HEADLOCK,
70010010,70010010,1,タイタニアドラゴン（人）,ACTIVE,AC01-0010,1,0,4,70010010,70010011,0,0,1,0,0,0,0,0,0,5,0,7,15,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,天を支えた力は既に失われ、想$Rいも既に忘却の彼方。いつか戻$Rる日を待ちながら、硝子の塔の$R中、少年は一人夢を見る……$R$Rタイタニア世界の守護者である$R竜は、かつて大きな戦いで世界$Rと引き換えに、その大いなる力$Rを失った。傷ついた竜は、今も$Rどこかで静かに守られていると$Rいう……$R$R「……退屈だなぁ。僕には、行$Rかなくちゃいけない場所がある$Rのにぃ……」,明貴美加,
70010011,70010010,1,タイタニアドラゴン（人）[R1],ACTIVE,AC01-0011,1001,0,4,70010010,70010012,1,0,1,0,0,0,0,0,0,6,0,7,28,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,天を支えた力は既に失われ、想$Rいも既に忘却の彼方。いつか戻$Rる日を待ちながら、硝子の塔の$R中、少年は一人夢を見る……$R$Rタイタニア世界の守護者である$R竜は、かつて大きな戦いで世界$Rと引き換えに、その大いなる力$Rを失った。傷ついた竜は、今も$Rどこかで静かに守られていると$Rいう……$R$R「……退屈だなぁ。僕には、行$Rかなくちゃいけない場所がある$Rのにぃ……」,明貴美加,
70010012,70010010,1,タイタニアドラゴン（人）[R2],ACTIVE,AC01-0012,1003,0,4,70010010,70010013,2,0,1,0,0,0,0,0,0,7,0,7,40,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,天を支えた力は既に失われ、想$Rいも既に忘却の彼方。いつか戻$Rる日を待ちながら、硝子の塔の$R中、少年は一人夢を見る……$R$Rタイタニア世界の守護者である$R竜は、かつて大きな戦いで世界$Rと引き換えに、その大いなる力$Rを失った。傷ついた竜は、今も$Rどこかで静かに守られていると$Rいう……$R$R「……退屈だなぁ。僕には、行$Rかなくちゃいけない場所がある$Rのにぃ……」,明貴美加,
70010013,70010010,1,タイタニアドラゴン（人）[R3],ACTIVE,AC01-0013,1005,0,4,70010010,70010014,3,0,1,0,0,0,0,0,0,8,0,7,53,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,天を支えた力は既に失われ、想$Rいも既に忘却の彼方。いつか戻$Rる日を待ちながら、硝子の塔の$R中、少年は一人夢を見る……$R$Rタイタニア世界の守護者である$R竜は、かつて大きな戦いで世界$Rと引き換えに、その大いなる力$Rを失った。傷ついた竜は、今も$Rどこかで静かに守られていると$Rいう……$R$R「……退屈だなぁ。僕には、行$Rかなくちゃいけない場所がある$Rのにぃ……」,明貴美加,
70010014,70010010,1,タイタニアドラゴン（人）[R4],ACTIVE,AC01-0014,1007,0,4,70010010,0,4,0,1,0,0,0,0,0,0,9,0,7,74,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,天を支えた力は既に失われ、想$Rいも既に忘却の彼方。いつか戻$Rる日を待ちながら、硝子の塔の$R中、少年は一人夢を見る……$R$Rタイタニア世界の守護者である$R竜は、かつて大きな戦いで世界$Rと引き換えに、その大いなる力$Rを失った。傷ついた竜は、今も$Rどこかで静かに守られていると$Rいう……$R$R「……退屈だなぁ。僕には、行$Rかなくちゃいけない場所がある$Rのにぃ……」,明貴美加,
70010020,70010020,1,ドミニオンドラゴン（人）,ACTIVE,AC01-0020,1,1,4,70010020,70010021,0,0,1,0,0,0,0,0,0,0,5,9,14,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,勇者の呼びかけに答え、彼女は$Rその姿をあらわす。竜の化身、$R戦の女神。彼女の加護の元で、$R戦いの歌は一際強く響くのだ。$R$Rドミニオン世界を守護する、強$R大な竜の写し身である彼女は、$R時として冷酷な死神であり、時$Rとして優しい女神であるとも言$Rわれている。彼女は、この世界$Rに何を望むのだろうか。$R$R「我が力よ、古の盟約に従い、$R加護となりて、勇者に集え！」,美樹本晴彦,
70010021,70010020,1,ドミニオンドラゴン（人）[R1],ACTIVE,AC01-0021,1001,1,4,70010020,70010022,1,0,1,0,0,0,0,0,0,0,6,9,27,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,勇者の呼びかけに答え、彼女は$Rその姿をあらわす。竜の化身、$R戦の女神。彼女の加護の元で、$R戦いの歌は一際強く響くのだ。$R$Rドミニオン世界を守護する、強$R大な竜の写し身である彼女は、$R時として冷酷な死神であり、時$Rとして優しい女神であるとも言$Rわれている。彼女は、この世界$Rに何を望むのだろうか。$R$R「我が力よ、古の盟約に従い、$R加護となりて、勇者に集え！」,美樹本晴彦,
70010022,70010020,1,ドミニオンドラゴン（人）[R2],ACTIVE,AC01-0022,1003,1,4,70010020,70010023,2,0,1,0,0,0,0,0,0,0,7,9,36,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,勇者の呼びかけに答え、彼女は$Rその姿をあらわす。竜の化身、$R戦の女神。彼女の加護の元で、$R戦いの歌は一際強く響くのだ。$R$Rドミニオン世界を守護する、強$R大な竜の写し身である彼女は、$R時として冷酷な死神であり、時$Rとして優しい女神であるとも言$Rわれている。彼女は、この世界$Rに何を望むのだろうか。$R$R「我が力よ、古の盟約に従い、$R加護となりて、勇者に集え！」,美樹本晴彦,
70010023,70010020,1,ドミニオンドラゴン（人）[R3],ACTIVE,AC01-0023,1005,1,4,70010020,70010024,3,0,1,0,0,0,0,0,0,0,8,9,48,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,勇者の呼びかけに答え、彼女は$Rその姿をあらわす。竜の化身、$R戦の女神。彼女の加護の元で、$R戦いの歌は一際強く響くのだ。$R$Rドミニオン世界を守護する、強$R大な竜の写し身である彼女は、$R時として冷酷な死神であり、時$Rとして優しい女神であるとも言$Rわれている。彼女は、この世界$Rに何を望むのだろうか。$R$R「我が力よ、古の盟約に従い、$R加護となりて、勇者に集え！」,美樹本晴彦,
70010024,70010020,1,ドミニオンドラゴン（人）[R4],ACTIVE,AC01-0024,1007,1,4,70010020,0,4,0,1,0,0,0,0,0,0,0,9,9,67,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,勇者の呼びかけに答え、彼女は$Rその姿をあらわす。竜の化身、$R戦の女神。彼女の加護の元で、$R戦いの歌は一際強く響くのだ。$R$Rドミニオン世界を守護する、強$R大な竜の写し身である彼女は、$R時として冷酷な死神であり、時$Rとして優しい女神であるとも言$Rわれている。彼女は、この世界$Rに何を望むのだろうか。$R$R「我が力よ、古の盟約に従い、$R加護となりて、勇者に集え！」,美樹本晴彦,
70011010,70011010,1,エミルとマーシャ,ACTIVE,AC01-1010,1,2,3,70011010,70011011,0,1,1,0,0,0,5,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,アップタウンの昼下がり、久し$Rぶりのショッピング。危険また$R危機の冒険の合間にたまには息$R抜きが必要だ。それはわかる。$Rだけど、この荷物の量は……？$Rえ、もう一軒？　勘弁してよ?$R$Rショッピングを楽しむ恋人のよ$Rうな二人。その笑顔に偽りはな$Rいけれど、二人の心にはまだ大$Rきなわだかまりが残っている。$R$R「ほら、エミル。次はあの店に$R行くわよ！　早く早く！」$R「はいはい……わっ、荷物！」,千歳キイロ,
70011011,70011010,1,エミルとマーシャ[R1],ACTIVE,AC01-1011,1001,2,3,70011010,70011012,1,1,1,0,0,0,6,0,0,0,0,7,15,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,アップタウンの昼下がり、久し$Rぶりのショッピング。危険また$R危機の冒険の合間にたまには息$R抜きが必要だ。それはわかる。$Rだけど、この荷物の量は……？$Rえ、もう一軒？　勘弁してよ?$R$Rショッピングを楽しむ恋人のよ$Rうな二人。その笑顔に偽りはな$Rいけれど、二人の心にはまだ大$Rきなわだかまりが残っている。$R$R「ほら、エミル。次はあの店に$R行くわよ！　早く早く！」$R「はいはい……わっ、荷物！」,千歳キイロ,
