#0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112
#PETID,ペット名,PICTID,種別ID,体の幅,体の長さ,スケール,特殊情報,,,,基本パラメータ,,,,,,,,ステータス,,,,物理攻撃,,,魔法攻撃,,防御力,,,,命中,,,回避,,,クリティカル,,回復力,,攻撃速度,,,属性値,,,,,,,状態異常耐性,,,,,,,,,思考ID(通常時）,,,,,,,,,,思考ID(出現時),,思考ID(瀕死時),,,,,,,,,,思考ID(終焉時）,,スキルリスト,,,,,,,,,,,,,,,,EXP,JOBEXP,ドロップアイテム,ドロップアイテム,,,,,,,騎乗者非表示設定,備考
#,通常ペット名は全角13文字まで,,,,,,飛行,アンデッド,モーションセット番号,LV,腕力,魔力,体力,器用,敏捷,知性,運,魅力,HP,MP,SP,速度,最小,最大,攻撃タイプ,最小,最大,物理－,物理％,魔法－,魔法％,近接,遠隔,魔法,近接,遠隔,魔法,発生,回避,回復力,魔回復力,物理,詠唱,射程,無,火,水,風,土,光,闇,毒,石化,麻痺,睡眠,沈黙,鈍足化,混乱,氷結,気絶,思考ID１,,思考ID2,,思考ID3,,思考ID4,,思考ID5,,思考ID1,,思考ID１,,思考ID2,,思考ID3,,思考ID4,,思考ID5,,思考ID1,,スキルID1,,スキルID2,,スキルID3,,スキルID4,,スキルID5,,スキルID6,,スキルID7,,スキルID8,,,,ドロップ率ID,アイテムID1,アイテムID2,アイテムID3,アイテムID4,アイテムID5,アイテムID6,アイテムID7,,
#,騎乗ペット名は全角16文字まで,,,,,,,,,,STR,MAG,VIT,DEX,AGI,INT,LUK,CHR,,,,移動速度,ATK（MIN）,ATK（MAX）,,M ATK（MIN）,M ATK（MAX）,DEF（-）,DEF（%）,M DEF（-）,M DEF（%）,S HIT,L HIT,魔法命中（状態異常魔法などの発生確率上昇に使用）,S AVOID,L AVOID,魔法耐性（状態異常魔法などの発生確率低下に使用）,クリティカル,クリティカル回避,HP回復率,MP回復率,A SPD,C SPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#99999999,,99999999,HUMAN,1,1,1,0,0,0,0,127,127,127,127,127,127,127,127,9999,9999,9999,9999,9999,9999,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,100,100,100,100,100,100,100,9999,9999,9999,9999,9999,9999,9999,9999,9999,127,9999,127,9999,127,9999,127,9999,127,9999,127,9999,127,9999,127,9999,127,9999,127,9999,127,9999,127,9999,9999,0,9999,0,9999,0,9999,0,9999,0,9999,0,9999,0,9999,0,99999999,99999999,0,99999999,99999999,99999999,99999999,null,99999999,99999999,0,
10260006,ネコマタ（空）,10260006,MAGIC_CREATURE_32,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,240,0,0,0,10,10,BLOW,30,30,3,0,10,0,34,20,100,60,20,120,20,20,100,1,200,200,1,0,0,0,0,0,0,0,80,80,80,50,50,50,50,80,50,40,100,0,0,0,0,0,0,0,0,0,0,40,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,0,
10260007,ネコマタ（転生桃）,10260007,MAGIC_CREATURE_0,0.95,0.95,0.95,1,0,0,1,1,1,1,1,1,1,1,1,240,0,0,0,10,10,BLOW,30,30,3,0,10,0,34,20,100,60,20,120,20,20,100,1,200,200,1,0,0,0,0,0,0,0,80,80,80,50,50,50,50,80,50,40,100,0,0,0,0,0,0,0,0,0,0,40,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,0,
10260008,ネコマタ（新緑）,10260008,MAGIC_CREATURE_1,0.95,0.95,0.95,1,0,0,1,1,1,1,1,1,1,1,1,240,0,0,0,10,10,BLOW,30,30,3,0,10,0,34,20,100,60,20,120,20,20,100,1,200,200,1,0,0,0,0,0,0,0,80,80,80,50,50,50,50,80,50,40,100,0,0,0,0,0,0,0,0,0,0,40,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,0,
10260009,ネコマタ（覚醒新緑）,10260008,MAGIC_CREATURE_37,0.95,0.95,0.95,1,0,0,1,1,1,1,1,1,1,1,1,240,0,0,0,10,10,BLOW,30,30,3,0,10,0,34,20,100,60,20,120,20,20,100,1,200,200,1,0,0,0,0,0,0,0,80,80,80,50,50,50,50,80,50,40,100,0,0,0,0,0,0,0,0,0,0,40,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,0,
10260010,ネコマタ（覚醒緑）,10260050,MAGIC_CREATURE_37,0.95,0.95,0.95,1,0,0,1,1,1,1,1,1,1,1,1,240,0,0,0,10,10,BLOW,30,30,3,0,10,0,34,20,100,60,20,120,20,20,100,1,200,200,1,0,0,0,0,0,0,0,80,80,80,50,50,50,50,80,50,40,100,0,0,0,0,0,0,0,0,0,0,40,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,0,
10260050,ネコマタ（緑）,10260050,MAGIC_CREATURE_1,0.95,0.95,0.95,1,0,0,1,1,1,1,1,1,1,1,1,240,0,0,0,10,10,BLOW,30,30,3,0,10,0,34,20,100,60,20,120,20,20,100,1,200,200,1,0,0,0,0,0,0,0,80,80,80,50,50,50,50,80,50,40,100,0,0,0,0,0,0,0,0,0,0,40,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,0,
10260051,ネコマタ（藍）,10260051,MAGIC_CREATURE_13,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,240,0,0,0,10,10,BLOW,30,30,3,0,10,0,34,20,100,60,20,120,20,20,100,1,200,200,1,0,0,0,0,0,0,0,80,80,80,50,50,50,50,80,50,40,100,0,0,0,0,0,0,0,0,0,0,40,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,0,
10260052,ネコマタ（山吹）,10260052,MAGIC_CREATURE_18,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,240,0,0,0,10,10,BLOW,30,30,3,0,10,0,34,20,100,60,20,120,20,20,100,1,200,200,1,0,0,0,0,0,0,0,80,80,80,50,50,50,50,80,50,40,100,0,0,0,0,0,0,0,0,0,0,40,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,0,
10260054,upgrade（韓国）,10260005,MAGIC_CREATURE_36,0.95,0.95,0.95,1,0,0,1,1,1,1,1,1,1,1,1,480,0,0,0,20,20,BLOW,30,30,3,0,10,0,34,20,100,60,20,120,20,20,100,1,200,200,1,0,0,0,0,0,0,0,80,80,80,50,50,50,50,80,50,40,100,0,0,0,0,0,0,0,0,0,0,40,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,0,
10440000,ペペン,10440000,BIRD_113,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,500,0,0,0,13,13,BLOW,13,13,7,0,25,0,9,8,30,4,4,16,2,1,100,1,200,200,1,0,0,0,0,0,0,0,150,0,0,0,150,150,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,6501,0,6503,0,6550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,0,
10540000,傭兵,10540000,HUMAN_3,1,1,1.2,0,0,0,1,1,1,1,1,1,1,1,1,600,0,0,0,52,52,SLASH,37,37,41,0,32,0,52,10,90,40,55,33,6,4,100,1,200,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,6401,0,6403,0,6450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,0,
10540003,青衣の傭兵,10540003,HUMAN_22,1,1,1.2,0,0,0,1,1,1,1,1,1,1,1,1,600,0,0,0,77,77,SLASH,48,48,61,0,48,0,78,15,135,60,82,49,9,6,100,1,200,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,6401,0,6403,0,6450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,0,
10540002,紫衣の傭兵,10540002,HUMAN_3,1,1,1.2,0,0,0,1,1,1,1,1,1,1,1,1,600,0,0,0,52,52,SLASH,37,37,41,0,32,0,52,10,90,40,55,33,6,4,100,1,200,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,6401,0,6403,0,6450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,0,
10550000,ガトリング砲,10550000,MACHINE_4,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,300,0,0,0,56,56,STAB,10,10,5,0,10,0,40,101,100,20,36,24,7,1,100,1,200,200,6,0,0,0,0,0,0,0,255,255,255,255,255,0,0,0,255,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,6101,0,6103,0,6105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,0,
10550016,青いガトリング砲,10550016,MACHINE_23,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,300,0,0,0,81,81,STAB,20,20,30,0,20,0,60,125,150,30,54,36,14,3,100,1,200,200,6,0,0,0,0,0,0,0,255,255,255,255,255,0,0,0,255,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,6101,0,6103,0,6105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,0,
10550017,黄金のガトリング砲,10550017,MACHINE_4,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,300,0,0,0,56,56,STAB,10,10,5,0,10,0,40,101,100,20,36,24,7,1,100,1,200,200,6,0,0,0,0,0,0,0,255,255,255,255,255,0,0,0,255,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,6101,0,6103,0,6105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,0,
10560000,キャリアー,10560000,INSECT_5,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,200,0,0,0,13,13,BLOW,13,13,7,0,25,0,9,8,30,4,4,16,2,1,100,1,200,200,1,0,0,0,0,0,0,0,150,0,0,0,150,150,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,0,
10560100,キャリアー,10560100,INSECT_5,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,200,0,0,0,13,13,BLOW,13,13,7,0,25,0,9,8,30,4,4,16,2,1,100,1,200,200,1,0,0,0,0,0,0,0,150,0,0,0,150,150,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,0,
10560200,キャリアー,10560200,INSECT_5,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,200,0,0,0,13,13,BLOW,13,13,7,0,25,0,9,8,30,4,4,16,2,1,100,1,200,200,1,0,0,0,0,0,0,0,150,0,0,0,150,150,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,0,
10560400,キャリアー,10560400,INSECT_5,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,200,0,0,0,13,13,BLOW,13,13,7,0,25,0,9,8,30,4,4,16,2,1,100,1,200,200,1,0,0,0,0,0,0,0,150,0,0,0,150,150,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,0,
10560800,キャリアー,10560800,INSECT_5,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,200,0,0,0,13,13,BLOW,13,13,7,0,25,0,9,8,30,4,4,16,2,1,100,1,200,200,1,0,0,0,0,0,0,0,150,0,0,0,150,150,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,0,
10566000,キャリアー,10566000,INSECT_5,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,200,0,0,0,13,13,BLOW,13,13,7,0,25,0,9,8,30,4,4,16,2,1,100,1,200,200,1,0,0,0,0,0,0,0,150,0,0,0,150,150,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,0,
10300002,キャリアー,10300002,INSECT_5,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,200,0,0,0,13,13,BLOW,13,13,7,0,25,0,9,8,30,4,4,16,2,1,100,1,200,200,1,0,0,0,0,0,0,0,150,0,0,0,150,150,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,0,
10565000,キャリアー,10565000,INSECT_5,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,200,0,0,0,13,13,BLOW,13,13,7,0,25,0,9,8,30,4,4,16,2,1,100,1,200,200,1,0,0,0,0,0,0,0,150,0,0,0,150,150,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,0,
10560001,ミニキャリアー,10560001,INSECT_5,1,1,0.8,0,0,0,1,1,1,1,1,1,1,1,1,160,0,0,0,13,13,BLOW,13,13,7,0,25,0,9,8,30,4,4,16,2,1,100,1,200,200,1,0,0,0,0,0,0,0,150,0,0,0,150,150,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,0,
10560101,ミニキャリアー,10560101,INSECT_5,1,1,0.8,0,0,0,1,1,1,1,1,1,1,1,1,160,0,0,0,13,13,BLOW,13,13,7,0,25,0,9,8,30,4,4,16,2,1,100,1,200,200,1,0,0,0,0,0,0,0,150,0,0,0,150,150,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,0,
10560201,ミニキャリアー,10560201,INSECT_5,1,1,0.8,0,0,0,1,1,1,1,1,1,1,1,1,160,0,0,0,13,13,BLOW,13,13,7,0,25,0,9,8,30,4,4,16,2,1,100,1,200,200,1,0,0,0,0,0,0,0,150,0,0,0,150,150,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,0,
10560401,ミニキャリアー,10560401,INSECT_5,1,1,0.8,0,0,0,1,1,1,1,1,1,1,1,1,160,0,0,0,13,13,BLOW,13,13,7,0,25,0,9,8,30,4,4,16,2,1,100,1,200,200,1,0,0,0,0,0,0,0,150,0,0,0,150,150,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,0,
10560801,ミニキャリアー,10560801,INSECT_5,1,1,0.8,0,0,0,1,1,1,1,1,1,1,1,1,160,0,0,0,13,13,BLOW,13,13,7,0,25,0,9,8,30,4,4,16,2,1,100,1,200,200,1,0,0,0,0,0,0,0,150,0,0,0,150,150,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,0,
10566001,ミニキャリアー,10566001,INSECT_5,1,1,0.8,0,0,0,1,1,1,1,1,1,1,1,1,160,0,0,0,13,13,BLOW,13,13,7,0,25,0,9,8,30,4,4,16,2,1,100,1,200,200,1,0,0,0,0,0,0,0,150,0,0,0,150,150,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,0,
10300003,ミニキャリアー,10300003,INSECT_5,1,1,0.8,0,0,0,1,1,1,1,1,1,1,1,1,160,0,0,0,13,13,BLOW,13,13,7,0,25,0,9,8,30,4,4,16,2,1,100,1,200,200,1,0,0,0,0,0,0,0,150,0,0,0,150,150,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,0,
10565001,ミニキャリアー,10565001,INSECT_5,1,1,0.8,0,0,0,1,1,1,1,1,1,1,1,1,160,0,0,0,13,13,BLOW,13,13,7,0,25,0,9,8,30,4,4,16,2,1,100,1,200,200,1,0,0,0,0,0,0,0,150,0,0,0,150,150,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,0,
10560002,プチクローラー,10560002,INSECT_5,1,1,0.5,0,0,0,1,1,1,1,1,1,1,1,1,160,0,0,0,13,13,BLOW,13,13,9,0,25,0,13,9,15,4,4,16,2,1,100,1,140,100,1,0,0,0,0,0,0,0,150,0,0,0,150,150,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,0,
