#基本設定,,,,,,,,,,,,,,,,,,,,,
#ID,名称,能力Lv1,能力值Lv1,能力Lv2,能力值Lv2,能力Lv3,能力值Lv3,能力Lv4,能力值Lv4,能力Lv5,能力值Lv5,能力Lv6,能力值Lv6,能力Lv7,能力值Lv7,能力Lv8,能力值Lv8,能力Lv9,能力值Lv9,能力Lv10,能力值Lv10
18,黒の大魔導師,14,2,14|2,2|20,14|2,4|20,14|2,4|50,14|2,7|50,14|2,7|50,14|2,7|50,14|2,7|50,14|2,7|50,14|2,7|50
19,ヴァンパイア·ハイブリッド,4,5,4|6,5|5,4|6,10|5,4|6,10|10,4|6,15|10,4|6,15|10,4|6,15|10,4|6,15|10,4|6|12|10|8,15|101|1|1|1,4|6|1|12|8|10,15|10|2000|1|1|1
20,エルヴン·ストライカー,20,3,20|16,3|5,20|16|13,3|5|4,20|16|13|25,3|5|4|5,20|16|13|25|15,3|5|4|5|10,20|16|13|25|15,3|5|4|5|10,20|16|13|25|15,3|5|4|5|10,20|16|13|25|15,3|5|4|5|10,20|16|13|25|15,3|5|4|5|10,20|16|13|25|15,3|5|4|5|10
21,女帝竜,30,5,30|25,5|3,30|25,10|3,30|25,10|5,30|25,15|5,30|25,15|5,30|25,15|5,30|25,15|5,30|25,15|5,30|25,15|5
22,ピュア·ブライトネス,3,20,3|24,20|2,3|24,50|2,3|24,50|4,3|24|13,50|4|3,3|24|13,100|4|3,3|24|13,100|6|3,3|24|13,100|6|3,3|24|13,100|6|3,3|24|13,100|6|3
23,現巫女,19,2,19|23,2|5,19|23|22,2|5|10,19|23|22|17,2|5|10|3,19|23|22|26,6|5|10|3,19|23|22|26,6|10|10|3,19|23|22|26,6|10|10|3,19|23|22|26,6|10|10|3,19|23|22|26,6|10|10|3,19|23|22|26,6|10|10|3
24,サイレントウィッチ,25,2,25|29,2|10,25|29,4|10,25|29,4|20,25|29,6|20,25|29,6|20,25|29,6|20,25|29,6|20,25|29,6|20,25|29,6|20
25,涼風鬼姫,22,3,22|1,3|40,22|1,6|40,22|1,6|100,22|1,10|100,22|1,10|100,22|1,10|100,22|1,10|100,22|1,10|100,22|1,10|100
26,ドラゴンナイト,28,5,28|30,5|7,28|30|27,5|7|7,28|30|27,10|7|7,28|30|27,10|13|7,28|30|27,10|13|7,28|30|27,10|13|7,28|30|27,10|13|7,28|30|27,10|13|7,28|30|27,10|13|7
27,総参謀長,22,3,22|21,3|5,22|21|19,3|5|5,22|21|19|17,3|5|5|10,22|21|19|17|18,3|5|5|10|10,22|21|19|17|18,3|5|5|10|10,22|21|19|17|18,3|5|5|10|10,22|21|19|17|18,3|5|5|10|10,22|21|19|17|18,3|5|5|10|10,22|21|19|17|18,3|5|5|10|10
28,サイキック·プライマル,20,3,20|22,3|4,20|22|21,3|4|5,20|22|21|23,3|4|5|5,20|22|21|23,9|4|5|5,20|22|21|23,9|4|5|5,20|22|21|23,9|4|5|5,20|22|21|23,9|4|5|5,20|22|21|23,9|4|5|5,20|22|21|23,9|4|5|5
29,太極拳法家,29,10,29|1,10|60,29|1|4,10|60|6,29|1|4,20|60|6,29|1|4,20|120|6,29|1|4,20|120|6,29|1|4,20|120|6,29|1|4,20|120|6,29|1|4,20|120|6,29|1|4,20|120|6
30,白の大魔導師,22,3,22|2,3|10,22|2,6|10,22|2,3|20,22|2|5,6|20|5,22|2|5,6|20|5,22|2|5,6|20|5,22|2|5,6|20|5,22|2|5,6|20|5,22|2|5,6|20|5
31,エルヴン·ハーミット,5,4,5,6,5|24,6|2,5|24,6|4,5|24,8|4,5|24,8|4,5|24,8|4,5|24,8|4,5|24,8|4,5|24,8|4
32,魔剣姫,21,5,21|15,5|5,21|15,10|5,21|15,10|10,21|15,15|10,21|15|13,15|10|3,21|15|13,15|10|3,21|15|13,15|10|3,21|15|13,15|10|3,21|15|13,15|10|3
33,大天使,1,50,1|5,50|5,1|5|4,50|5|5,1|5|4|2,50|5|5|50,1|5|4|2,100|5|5|50,1|5|4|2,100|5|5|50,1|5|4|2,100|5|5|50,1|5|4|2,100|5|5|50,1|5|4|2,100|5|5|50,1|5|4|2,100|5|5|50
34,悠久の楽園,1|2|3|28,10|5|5|3,1|2|3|28,10|5|5|3,1|2|3|28,10|5|5|3,1|2|3|28,10|5|5|3,1|2|3|28,10|5|5|3,1|2|3|28,10|5|5|3,1|2|3|28,10|5|5|3,1|2|3|28,10|5|5|3,1|2|3|28,10|5|5|3,1|2|3|28,10|5|5|3
35,お祭り！タイニー神輿,4|5|28|27,1|1|1|1,4|5|28|27,1|1|1|1,4|5|28|27,1|1|1|1,4|5|28|27,1|1|1|1,4|5|28|27|6,1|1|1|1|1,4|5|28|27|6,1|1|1|1|1,4|5|28|27|6,1|1|1|1|1,4|5|28|27|6,1|1|1|1|1,4|5|28|27|6,1|1|1|1|1,4|5|28|27|6,1|1|1|1|1
36,深愛の絆,4,10,4|5,10|10,4|5|1,10|10|1000,4|5|1|2,10|10|1000|500,4|5|1|2|25,10|10|1000|500|8,4|5|1|2|25|24,10|10|1000|500|8|8,4|5|1|2|25|24|22,10|10|1000|500|8|8|30,4|5|1|2|25|24|22,10|10|1000|500|8|8|30,4|5|1|2|25|24|22,10|10|1000|500|8|8|30,4|5|1|2|25|24|22,10|10|1000|500|8|8|30
37,唸る大胸筋,1,50,1|27,50|5,1|27|7,50|5|1,1|27|7,50|5|1,1|27|7,50|5|1,1|27|7,50|5|1,1|27|7,50|5|1,1|27|7,50|5|1,1|27|7,50|5|1,1|27|7,50|5|1
38,大豊作,28,5,28|3,5|30,28|3,5|30,28|3,5|30,28|3,5|30,28|3,5|30,28|3,5|30,28|3,5|30,28|3,5|30,28|3,5|30
39,みんつく,27,5,27|28,5|5,27|28|1,5|5|100,27|28|1|2,5|5|100|50,27|28|1|2|3,5|5|100|50|50,27|28|1|2|3|4,5|5|100|50|50|5,27|28|1|2|3|4|5,5|5|100|50|50|5|5,27|28|1|2|3|4|5|6,5|5|100|50|50|5|5|5,27|28|1|2|3|4|5|6,7|5|100|50|50|5|5|5,27|28|1|2|3|4|5|6,7|7|100|50|50|5|5|5
40,豊作,28,3,28|3,3|20,28|3,5|20,28|3,5|80,28|3,7|80,28|3,7|200,28|3,10|200,28|3,10|200,28|3,10|200,28|3,10|200
41,慈愛の加護,4,5,4|5,5|5,4|5|1,5|5|350,4|5|1|2,5|5|350|150,4|5|1|2|25,5|5|350|150|5,4|5|1|2|25|24,5|5|350|150|5|5,4|5|1|2|25|24|22,5|5|350|150|5|5|10,4|5|1|2|25|24|22,5|5|350|150|5|5|10,4|5|1|2|25|24|22,5|5|350|150|5|5|10,4|5|1|2|25|24|22,5|5|350|150|5|5|10
42,ウェポンプラス,20,1,20,3,20,5,20,7,20,10,20,13,20,16,20,16,20,16,20,16
43,アーマープラス,22,1,22,3,22,5,22,7,22,9,22,11,22,13,22,13,22,13,22,13
44,マジックプラス,14,1,14|2,1|50,14|2,3|50,14|2,5|50,14|2|9,5|50|1,14|2|9,7|50|1,14|2|9,7|100|1,14|2|9,7|100|1,14|2|9,7|100|1,14|2|9,7|100|1
45,偽りの神と機械の記憶,1|2|3|28,10|5|5|3,1|2|3|28,10|5|5|3,1|2|3|28,10|5|5|3,1|2|3|28,10|5|5|3,1|2|3|28,10|5|5|3,1|2|3|28,10|5|5|3,1|2|3|28,10|5|5|3,1|2|3|28,10|5|5|3,1|2|3|28,10|5|5|3,1|2|3|28,10|5|5|3
46,攻撃の心得,1,150,1|3,150|150,1|3|13,150|150|5,1|3|13,250|150|5,1|3|13,250|250|5,1|3|13,250|250|10,1|3|13|7,250|250|10|1,1|3|13|7,250|250|10|1,1|3|13|7,250|250|10|1,1|3|13|7,350|350|10|1
47,守りの心得,4,5,4|5,5|5,4|5|1,5|5|350,4|5|1|2,5|5|350|150,4|5|1|2|25,5|5|350|150|5,4|5|1|2|25|24,5|5|350|150|5|5,4|5|1|2|25|24|22,5|5|350|150|5|5|10,4|5|1|2|25|24|22,5|5|350|150|5|5|10,4|5|1|2|25|24|22,5|5|350|150|5|5|10,4|5|1|2|25|24|22,5|5|350|150|5|5|10
48,魔法の心得,14,10,14|2,10|10,14|2|5,10|10|5,14|2|5,22|10|5,14|2|5,22|20|5,14|2|5,22|20|10,14|2|5,50|20|10,14|2|5,50|30|10,14|2|5,50|30|20,14|2|5,50|30|20
49,運搬の心得,1,150,1|3,150|150,1|3|28,150|150|150,1|3|28|27,150|150|150|150,1|3|28|27,250|150|150|150,1|3|28|27,250|150|150|150,1|3|28|27,350|350|150|150,1|3|28|27,350|350|150|150,1|3|28|27,350|350|150|150,1|3|28|27,350|350|150|150
50,初心の心得,4,1,4|5,1|1,4|5|1,1|1|10,4|5|1|2,1|1|10|10,4|5|1|2|3,1|1|10|10|10,4|5|1|2|3,1|1|10|10|10,4|5|1|2|3,1|1|10|10|10,4|5|1|2|3,1|1|10|10|10,4|5|1|2|3,1|1|10|10|10,4|5|1|2|3,1|1|10|10|10
51,時空の導き手,1,250,1|2,250|250,1|2|3,250|250|250,1|2|3|24,250|250|250|10,1|2|3|24|19,250|250|250|10|10,1|2|3|24|19|4,250|250|250|10|10|1,1|2|3|24|19|4|5,250|250|250|10|10|1|1,1|2|3|24|19|4|5|6,250|250|250|10|10|1|1|1,1|2|3|24|19|4|5|6,250|250|250|10|10|1|1|1,1|2|3|24|19|4|5|6|7,250|250|250|10|1|1|1|1|1
52,天空のオープンカフェ,1|2|3|13,150|150|150|30,1|2|3|13,150|150|150|30,1|2|3|13,150|150|150|30,1|2|3|13,150|150|150|30,1|2|3|13,150|150|150|30,1|2|3|13,150|150|150|30,1|2|3|13,150|150|150|30,1|2|3|13,150|150|150|30,1|2|3|13,150|150|150|30,1|2|3|13,150|150|150|30
53,白銀の護手,22,10,22|24,10|5,22|24|9,10|5|1,22|24|9|19,10|5|1|5,22|24|9|19|23,10|5|1|5|20,22|24|9|19|23|10,10|5|1|5|20|3,22|24|9|19|23|10,10|5|1|5|20|3,22|24|9|19|23|10,10|5|1|5|20|3,22|24|9|19|23|10,10|10|1|5|20|3,22|24|9|19|23|10,10|15|1|5|20|3
54,漆黒の徨手,21,10,21|25,10|5,21|25|20,10|5|20,21|25|20|7,10|5|20|1,21|25|20|7|13,10|5|20|1|30,21|25|20|7|13,10|10|20|1|30,21|25|20|7|13,10|10|20|1|30,21|25|20|7|13,10|10|20|1|30,21|25|20|7|13,10|10|20|1|30,21|25|20|7|13,10|10|20|1|30
55,ボ、ボク男の子だよぅ,24,5,24|4,5|10,24|4|6,5|10|10,24|4|6|1,5|10|10|350,24|4|6|1|3,5|10|10|350|350,24|4|6|1|3,10|10|10|450|450,24|4|6|1|3,10|10|10|550|550,24|4|6|1|3,10|10|10|550|550,24|4|6|1|3,10|10|10|550|550,24|4|6|1|3,10|10|10|550|550
56,マジックブレイズン,14,3,14|12,3|1,14|12,6|1,14|12,6|3,14|12,9|3,14|12,9|4,14|12,13|5,14|12,13|6,14|12,13|7,14|12,13|8
57,アサルトブレイズン,15,5,15|25,5|5,15|25|7,5|5|2,15|25|7|24,5|5|3|5,15|25|7|24|19,5|5|3|5|10,15|25|7|24|19|1,5|5|3|5|10|200,15|25|7|24|19|1|13,5|5|3|5|10|200|10,15|25|7|24|19|1|13,5|5|3|5|10|200|11,15|25|7|24|19|1|13,5|5|3|5|10|200|12,15|25|7|24|19|1|13,5|5|3|5|10|200|13
58,クリプティックフォース,5,7,5|1,7|100,5|1|2,7|100|200,5|1|2|12,7|100|200|1,5|1|2|12|9,7|100|200|1|1,5|1|2|12|9,20|100|200|1|1,5|1|2|12|9,20|300|200|1|1,5|1|2|12|9,20|300|200|1|2,5|1|2|12|9,20|300|200|1|3,5|1|2|12|9,20|300|200|1|4
59,スティグマータ,25,7,25|24,7|5,25|24|19,7|5|10,25|24|19|9,7|5|10|1,25|24|19|9|7,7|5|10|2|2,25|24|19|9|7,15|5|10|2|2,25|24|19|9|7,15|12|10|2|2,25|24|19|9|7,15|12|25|2|2,25|24|19|9|7,15|12|25|5|2,25|24|19|9|7,15|12|25|5|5
60,ラクーンフォート,17,10,17|18,10|10,17|18|29,10|10|80,17|18|29|8,10|10|80|1,17|18|29|8|9,10|10|80|1|1,17|18|29|8|9|7,10|10|80|1|1|1,17|18|29|8|9|7,20|10|80|1|1|1,17|18|29|8|9|7,20|10|80|1|1|2,17|18|29|8|9|7,20|10|80|1|1|3,17|18|29|8|9|7,20|10|80|1|1|4
61,インテグレーション,22,7,22|20,7|10,22|20|21,7|10|15,22|20|21|23,7|10|15|10,22|20|21|23|7,7|10|15|10|1,22|20|21|23|7|10,7|10|15|10|1|1,22|20|21|23|7|10,7|10|25|10|1|1,22|20|21|23|7|11,7|10|25|10|1|2,22|20|21|23|7|12,7|10|25|10|1|3,22|20|21|23|7|13,7|10|25|10|1|4
62,プラチナキティラー,10,2,10|9,2|2,10|9|11,2|2|3,10|9|11|1,2|2|3|500,10|9|11|1|2,2|2|3|500|300,10|9|11|1|2|3,2|2|3|500|300|300,10|9|11|1|2|3|6,2|2|3|500|300|300|15,10|9|11|1|2|3|6,2|2|3|500|300|300|16,10|9|11|1|2|3|6,2|2|3|500|300|300|17,10|9|11|1|2|3|6,2|2|3|500|300|300|18
63,歌にかける情熱,20,7,20|22,7|7,20|22|21,7|7|7,20|22|21|23,7|7|7|7,20|22|21|23|24,7|7|7|7|5,20|22|21|23|24,7|7|7|7|10,20|22|21|23|24,15|7|7|7|10,20|22|21|23|25,15|7|7|7|11,20|22|21|23|26,15|7|7|7|12,20|22|21|23|27,15|7|7|7|13
64,見習い魔法使い,9,1,9,1,9|6,1|5,9|6|2,1|5|20,9|6|2,1|5|300,9|6|2,1|15|300,9|6|2,1|25|300,9|6|3,1|25|301,9|6|4,1|25|302,9|6|5,1|25|303
65,KM８６．０,1,50,1|2,50|50,1|2|6,50|50|5,1|2|6|3,50|50|5|300,1|2|6|3|8,50|50|5|300|3,1|2|6|3|8,50|50|15|300|3,1|2|6|3|8,50|50|25|300|3,1|2|6|3|9,50|50|25|300|4,1|2|6|3|10,50|50|25|300|5,1|2|6|3|11,50|50|25|300|6
66,キティラー・マイスター,28,50,28|27,50|50,28|27|7,50|50|1,28|27|7|8,50|50|1|1,28|27|7|8|24,50|50|1|1|5,28|27|7|8|24,50|50|1|1|10,28|27|7|8|24,200|50|1|1|10,28|27|7|8|24,200|50|1|1|11,28|27|7|8|24,200|50|1|1|12,28|27|7|8|24,200|50|1|1|13
67,”きゃわわ♪”なお花,24,2,24|29,2|60,24|29,5|60,24|29,10|60,24|29,10|100,24|29|10,10|100|2,24|29|10,10|100|5,24|29|11,10|100|6,24|29|12,10|100|7,24|29|13,10|100|8
68,マーキュリーの喝采,7,1,7|10,1|1,7|10|28,1|1|150,7|10|28|27,1|1|150|150,7|10|28|27|8,1|1|150|150|1,7|10|28|27|8|25,1|1|150|150|1|3,7|10|28|27|8|25,1|1|150|150|1|7,7|10|28|27|8|25,1|1|150|150|1|12,7|10|28|27|8|25,1|1|150|150|1|13,7|10|28|27|8|25,1|1|150|150|1|14
69,ロックオン,29,30,29,70,29|1,70|250,29|1|13,70|250|10,29|1|13|20,70|250|10|10,29|1|13|20,70|250|10|20,29|1|13|20|7,70|250|10|20|1,29|1|13|20|7|21,70|250|10|20|1|15,29|1|13|20|7|21,70|250|10|20|1|30,29|1|13|20|7|22,70|250|10|20|1|31
70,マーズの賛助,13,2,13,4,13|1,4|300,13|1|25,4|300|7,13|1|25|7,4|300|7|1,13|1|25|7|20,4|300|7|1|20,13|1|25|7|20,4|1000|7|1|20,13|1|25|7|21,4|1000|7|1|21,13|1|25|7|22,4|1000|7|1|22,13|1|25|7|23,4|1000|7|1|23
71,インビジブルフォース,14,5,14|2,5|200,14|2|9,5|200|2,14|2|9|5,5|200|2|10,14|2|9|5|12,5|200|2|10|1,14|2|9|5|12,5|200|4|10|1,14|2|9|5|12,5|1000|4|10|1,14|2|9|5|12|1,5|1000|4|10|1|100,14|2|9|5|12|1,5|1000|4|10|1|100,14|2|9|5|12|1,5|1000|4|10|1|100
72,ＥＣＯカー「プリムラ」,4|5|6,5|5|5,4|5|6,5|5|5,4|5|6,5|5|5,4|5|6,5|5|5,4|5|6,5|5|5,4|5|6,5|5|5,4|5|6,5|5|5,4|5|6,5|5|5,4|5|6,5|5|5,4|5|6,5|5|5
73,あそびにいくヨ！,4|5|7,5|5|5,4|5|7,5|5|5,4|5|7,5|5|5,4|5|7,5|5|5,4|5|7,5|5|5,4|5|7,5|5|5,4|5|7,5|5|5,4|5|7,5|5|5,4|5|7,5|5|5,4|5|7,5|5|5
74,超キティラー□陽夜子,30,15,30,15,30,15,30,15,30,15,30,15,30,15,30,15,30,15,30,15
75,ヒロインズパーティ,28,77,28|27,77|77,28|27,28|27,28|27,28|27,28|27,28|27,28|27,28|27,28|27,28|27,28|27,28|27,28|27,28|27,28|27,28|27
