#NPCID,NAME,MAPID,座標Ｘ,座標Ｙ,方向,scale,EVENTID,NOTOUCH,ＰＩＣＴＩＤ,初期モーション,透明度(0~255)この値を 0 以外にすると重くなるので注意してください,デフォルト表示,円形影の描画,FLAG,NPC表示設定,
11000061,行会商人,10046000,164,220,4,1.05,11000061,0,11000050,111,0,1,0,0,0,
11000062,行会商人,10001000,81,27,6,1.05,11000062,0,11000050,111,0,1,0,0,0,
11000063,行会商人,10054000,184,161,5,1.05,11000063,0,11000050,111,0,1,0,0,0,
11000064,行会商人,10060000,154,199,2,1.05,11000064,0,11000052,111,0,1,0,0,0,
11000065,行会商人,30060004,4,0,0,1.05,11000065,0,11000050,111,0,1,0,0,0,
11000066,行会商人,30060002,4,0,0,1.05,11000066,0,11000050,111,0,1,0,0,0,
11000069,行会商人,10059000,99,58,3,1.05,11000069,0,11000050,111,0,1,0,0,0,
11000070,城里的老人,10023000,189,129,7,1.1,11000070,0,11000070,111,0,1,0,0,0,
11000071,万事通,10024000,100,94,3,1,11000071,0,11000071,111,0,1,0,0,0,
11000076,麦吉克,10024000,125,49,0,1,11000076,0,11000076,111,0,1,0,0,0,
11000077,夏莉,10024000,136,133,7,1,11000077,0,11000077,111,0,1,0,0,0,
11000078,塞伊菈,10024000,174,76,1,1,11000078,0,11000078,111,0,1,0,0,0,
11000079,布莱克,10024000,147,209,4,1,11000079,0,11000079,111,0,1,0,0,0,
11000080,健忘的老人,10024000,201,133,2,1.1,11000080,0,11000080,111,0,1,0,0,0,
11000081,老爷爷的孩子,10023000,122,167,4,1,11000081,0,11000081,111,0,1,0,0,0,
11000082,老爷爷的孙儿,10024000,51,130,4,1.1,11000082,0,11000082,111,0,1,0,0,0,
11000083,老爷爷的朋友,10023000,49,176,2,1.1,11000083,0,11000083,111,0,1,0,0,0,
11000084,老爷爷的义子,10024000,169,202,5,1,11000084,0,11000084,111,0,1,0,0,0,
11000085,老爷爷的女朋友,10023000,162,91,2,1,11000085,0,11000085,111,0,1,0,0,0,
11000086,爱哭的男生,10024000,98,157,1,1,11000086,0,11000086,111,0,1,0,0,0,
11000087,泰达尼亚传送室主任,30140000,7,16,6,1,11000087,0,11000087,111,0,1,0,0,0,
11000088,多米尼翁传送室主任,30141000,7,16,6,1,11000088,0,11000088,111,0,1,0,0,0,
11000089,奥尔佳,10001000,110,11,0,1,11000089,0,11000089,111,0,1,0,0,0,
11000090,玛秀夏,10002000,22,237,5,1,11000090,0,11000090,111,0,1,0,0,0,
11000091,汤姆,10014000,119,224,5,1.1,11000091,0,11000091,111,0,1,0,0,0,
11000092,卡利,10015000,253,89,3,1,11000092,0,11000092,111,0,1,0,0,0,
11000093,康斯坦斯,10018000,238,93,2,1,11000093,0,11000093,111,0,1,0,0,0,
11000094,格列尔莫,10019000,109,112,6,1.2,11000094,0,11000094,111,0,1,0,0,0,
11000095,少女,10022000,225,119,0,1,11000095,0,11000095,111,0,1,0,0,0,
11000096,挖掘者,10025000,31,121,0,1.2,11000096,0,11000096,111,0,1,0,0,0,
11000097,尼克罗,10031000,120,30,6,1.15,11000097,0,11000097,111,0,1,0,0,0,
11000098,莱塔,10031000,185,211,3,1.05,11000098,0,11000098,111,0,1,0,0,0,
11000099,克拉克,10034000,32,69,6,1.2,11000099,0,11000099,111,0,1,0,0,0,
11000100,普里德里希,10035000,17,196,6,1,11000100,0,11000100,111,0,1,0,0,0,
11000101,玛尔塔,10046000,210,222,2,1.08,11000101,0,11000101,111,0,1,0,0,0,
11000102,尤里卡,20012000,72,60,7,1,11000102,0,11000102,111,0,1,0,0,0,
11000103,贾斯明,20003000,100,70,4,1,11000103,0,11000103,111,0,1,0,0,0,
11000104,莱因哈特,20032000,98,95,4,1,11000104,0,11000104,111,0,1,0,0,0,
11000105,戈洛,10020000,104,72,0,1,11000105,0,11000105,111,0,1,0,0,0,
11000106,酒馆的麦当娜,10024000,200,124,2,1,11000106,0,11000106,111,0,1,0,0,0,
11000107,汤姆的妈妈,10024000,61,168,1,1.08,11000107,0,11000107,111,0,1,0,0,0,
11000108,卡洛琳奈,10024000,72,76,3,1,11000108,0,11000108,111,0,1,0,0,0,
11000109,地之精灵,10018000,43,95,6,1,11000109,0,11000109,111,0,1,0,0,0,
11000110,风之精灵,10035000,131,101,6,1,11000110,0,11000110,111,0,1,0,0,0,
11000111,炎之精灵,10042000,31,61,6,1,11000111,0,11000111,111,0,1,0,0,0,
11000112,水之精灵,10002000,18,152,6,1,11000112,0,11000112,111,0,1,0,0,0,
11000113,光之精灵,10034000,48,95,6,1,11000113,0,11000113,111,0,1,0,0,0,
11000114,暗之精灵,10019100,12,79,6,1,11000114,0,11000114,111,0,1,0,0,0,
11000115,尼博隆根的发型屋,10023000,152,74,0,1.05,11000115,0,11000115,111,0,1,0,0,0,
11000118,道具精制师,10025000,47,120,0,1.15,11000118,0,11000118,111,0,1,0,0,0,
11000119,道具精制师,10022000,208,135,4,1.15,11000118,0,11000118,111,0,1,0,0,0,
11000120,道具精制师,10031000,135,47,2,1.15,11000118,0,11000118,111,0,1,0,0,0,
11000121,道具精制师,10014000,120,208,6,1.15,11000118,0,11000118,111,0,1,0,0,0,
11000122,食品店老婆婆,10025000,38,120,0,1,11000122,0,11000122,111,0,1,0,0,0,
11000123,食品店老婆婆,10022000,217,135,4,1,11000123,0,11000123,111,0,1,0,0,0,
11000124,食品店老婆婆,10031000,135,38,2,1,11000124,0,11000124,111,0,1,0,0,0,
11000125,食品店老婆婆,10014000,120,217,6,1,11000125,0,11000125,111,0,1,0,0,0,
11000126,阿格尼丝,10035000,211,202,3,1,11000126,0,11000126,111,0,1,0,0,0,
11000127,东门守卫,10025000,61,134,4,1.1,11000127,0,11000127,111,0,1,0,0,0,
11000128,东门守卫,10025000,61,121,0,1.1,11000128,0,11000128,111,0,1,0,0,0,
11000129,西门守卫,10022000,194,121,0,1.1,11000129,0,11000129,111,0,1,0,0,0,
11000130,西门守卫,10022000,194,134,4,1.1,11000130,0,11000130,111,0,1,0,0,0,
11000131,南门守卫,10031000,121,61,6,1.1,11000131,0,11000131,111,0,1,0,0,0,
11000132,南门守卫,10031000,134,61,2,1.1,11000132,0,11000132,111,0,1,0,0,0,
11000133,北门守卫,10014000,134,194,2,1.1,11000133,0,11000133,111,0,1,0,0,0,
11000134,北门守卫,10014000,121,194,6,1.1,11000134,0,11000134,111,0,1,0,0,0,
11000135,戈洛,10025000,41,136,5,1.3,11000135,0,11000135,111,0,1,0,0,0,
11000136,马洛尼,10022000,214,119,1,1.3,11000136,0,11000136,111,0,1,0,0,0,
11000137,维多利娜,10031000,119,41,7,1.3,11000137,0,11000137,111,0,1,0,0,0,
11000138,卡特琳娜,10014000,136,214,3,1.3,11000138,0,11000138,111,0,1,0,0,0,
11000139,鱼人长老,20004001,62,22,0,1,11000139,0,11000029,111,0,1,0,0,0,
11000140,鱼人居民,20004001,61,98,7,1,11000140,0,11000029,111,0,1,0,0,0,
11000141,鱼人居民,20004001,64,67,7,1,11000141,0,11000029,111,0,1,0,0,0,
11000142,鱼人居民,20004001,65,68,3,1,11000142,0,11000029,111,0,1,0,0,0,
11000143,鱼人居民,20004001,24,48,0,1,11000143,0,11000029,111,0,1,0,0,0,
11000144,鱼人居民,20004001,60,49,7,1,11000144,0,11000029,111,0,1,0,0,0,
11000145,鱼人居民,20004001,73,19,1,1,11000145,0,11000029,111,0,1,0,0,0,
11000146,鱼人居民,20004001,73,21,4,1,11000146,0,11000029,111,0,1,0,0,0,
11000147,鱼人居民,20004001,71,19,6,1,11000147,0,11000029,111,0,1,0,0,0,
11000148,鱼人宰相,20004001,60,23,7,1,11000148,0,11000029,111,0,1,0,0,0,
11000149,裁缝阿姨,30020000,3,1,0,1.08,11000149,0,11000149,111,0,1,0,0,0,
11000150,裁缝蝴蝶,10032000,137,103,3,1,11000150,0,11000150,111,0,1,0,0,0,
11000151,裁缝蝴蝶,10017000,34,246,1,1,11000151,0,11000151,111,0,1,0,0,0,
11000152,裁缝蝴蝶,10030000,76,235,2,1,11000152,0,11000152,111,0,1,0,0,0,
11000153,玛莎,20013003,61,62,6,1,11000153,0,11000153,111,0,1,0,0,0,
11000154,艾米尔,20013003,61,63,6,1,11000154,0,11000154,111,0,1,0,0,0,
11000155,埃琳娜,10023000,106,122,6,1,11000155,0,11000181,111,0,1,0,0,0,
11000156,贝利尔,20013003,61,59,6,1,11000156,0,11000156,111,0,1,0,0,0,
11000157,泰塔斯,20013003,61,61,6,1,11000157,0,11000157,111,0,1,0,0,0,
11000158,蒂塔,20013003,61,60,6,1,11000158,0,11000158,111,0,1,0,0,0,
11000159,铁匠铺店员,30013000,3,1,0,1.15,11000159,0,11000159,111,0,1,0,0,0,
11000160,剧场小姐,30180000,1,10,6,1,11000160,0,11000160,111,0,1,0,0,0,
11000161,剧场小姐,30181000,1,10,6,1,11000161,0,11000161,111,0,1,0,0,0,
11000162,剧场小姐,30182000,1,10,6,1,11000162,0,11000162,111,0,1,0,0,0,
11000163,剧场小姐,30183000,1,10,6,1,11000163,0,11000163,111,0,1,0,0,0,
11000164,南方国境武器店店员,10046000,144,230,4,1.08,11000164,0,11000164,111,0,1,0,0,0,
11000165,乌拉多,10046000,178,180,0,1,11000165,0,11000165,111,0,1,0,0,0,
11000166,艾恩萨乌斯国境警备员,10046000,186,229,6,1.1,11000166,0,11000166,111,0,1,0,0,0,
11000167,艾恩萨乌斯国境警备员,10046000,207,229,2,1.1,11000167,0,11000167,111,0,1,0,0,0,
11000168,弗朗西斯小姐,10025000,110,135,4,1,11000168,0,11000168,111,0,1,0,0,0,
11000169,鲁克斯老师,10004000,204,20,2,1,11000169,0,11000169,111,0,1,0,0,0,
11000170,普丽缇小姐,10031000,169,220,3,1,11000170,0,11000170,111,0,1,0,0,0,
11000171,利奇老师,30060000,7,2,1,1,11000171,0,11000171,111,0,1,0,0,0,
11000172,诺森国境警卫兵,10001000,128,230,5,1.1,11000172,0,10000033,111,0,1,0,0,0,
11000173,诺森国境警卫兵,10004000,192,27,7,1.1,11000173,0,10000033,111,0,1,0,0,0,
11000191,剧场总管,30180000,11,7,0,1,11000191,0,11000191,111,0,1,0,0,0,
11000192,剧场引座员,30191000,11,23,4,1,10000134,0,11000160,111,0,1,0,0,0,
11000193,剧场引座员,30193000,11,23,4,1,10000135,0,11000161,111,0,1,0,0,0,
11000194,剧场引座员,30195000,11,23,4,1,10000136,0,11000162,111,0,1,0,0,0,
11000195,剧场引座员,30197000,11,23,4,1,10000137,0,11000163,111,0,1,0,0,0,
11000196,诺森男僧兵,10049000,155,209,2,1.01,11000196,0,11000196,111,0,1,0,0,0,
11000197,诺森女僧兵,10049000,140,209,6,1.05,11000197,0,11000197,111,0,1,0,0,0,
11000198,暖石贩卖商,10049000,161,221,2,1.02,11000198,0,11000198,111,0,1,0,0,0,
11000199,冰精灵族长,10051100,40,155,4,1,11000199,0,11000177,111,0,1,0,0,0,
11000200,冰精灵,10051100,71,208,6,1,11000200,0,11000177,111,0,1,0,0,0,
11000201,冰精灵,10051100,37,138,0,1,11000201,0,11000177,111,0,1,0,0,0,
11000202,诺森王国的居民,10051000,115,44,7,1.02,11000202,0,11000202,111,128,1,0,0,0,
11000203,诺森王国的居民,10051000,107,62,1,1,11000203,0,11000205,111,128,1,0,0,0,
11000204,诺森王国的居民,10051000,101,55,3,1.02,11000204,0,11000202,111,128,1,0,0,0,
11000205,诺森王国的居民,10051000,86,74,1,1,11000205,0,11000205,111,128,1,0,0,0,
11000206,诺森王国的居民,10051000,76,66,0,1.02,11000206,0,11000202,111,128,1,0,0,0,
11000207,诺森王国的居民,10051000,58,87,0,1,11000207,0,11000205,111,128,1,0,0,0,
11000208,伊华,30170000,2,3,6,1.02,11000208,0,11000198,111,0,1,0,0,0,
11000209,杂货屋,30171000,2,2,0,1.02,11000209,0,11000198,111,0,1,0,0,0,
11000210,宝贝,10065000,73,121,6,1.1,11000210,0,11000049,111,0,1,0,0,0,
11000211,甜心,10065000,74,121,2,1,11000211,0,11000211,111,0,1,0,0,0,
11000212,诺森女僧兵,10065000,55,20,0,1.05,11000212,0,11000197,111,0,1,0,0,0,
11000213,诺森男僧兵,10065000,48,20,0,1.01,11000213,0,11000196,111,0,1,0,0,0,
11000214,道具精制师,30011002,3,0,0,1.15,11000118,0,11000118,111,0,1,0,0,0,
11000215,鉴定师,30011002,1,1,7,1.1,11000451,0,11000070,111,0,1,0,0,0,
11000216,行会商人,30060001,4,0,0,1.05,11000216,0,11000052,111,0,1,0,0,0,
11000217,冻僵的商人,30171001,2,2,0,1.02,11000217,0,11000198,111,0,1,0,0,0,
11000218,裁缝店,30020002,3,2,0,1.08,11000218,0,11000149,111,0,1,0,0,0,
11000219,宝石商人,30021001,3,1,0,1,11000219,0,11000043,111,0,1,0,0,0,
11000220,瓦雷利亚,30010002,1,0,7,1,11000220,0,11000511,111,0,1,0,0,0,
11000221,武器商店店员,30012001,2,1,0,1,11000221,0,11000221,111,0,1,0,0,0,
11000222,魔法商店店员,30001001,2,1,0,1.05,11000222,0,11000005,111,0,1,0,0,0,
11000223,男僧兵,30162000,9,7,0,1.01,11000223,0,11000196,111,0,1,0,0,0,
11000224,男僧兵,30162000,7,16,6,1.01,11000224,0,11000196,111,0,1,0,0,0,
11000225,男僧兵,30162000,11,16,2,1.01,11000225,0,11000196,111,0,1,0,0,0,
11000226,女僧兵,30162001,9,7,0,1.05,11000226,0,11000197,111,0,1,0,0,0,
11000227,女僧兵,30162001,7,16,6,1.05,11000227,0,11000197,111,0,1,0,0,0,
11000228,女僧兵,30162001,11,16,2,1.05,11000228,0,11000197,111,0,1,0,0,0,
11000229,男禁卫兵,30160000,9,2,0,1.01,11000229,0,11000229,111,0,1,0,0,0,
11000230,女禁卫兵,30160000,14,2,0,1.05,11000230,0,11000230,111,0,1,0,0,0,
11000231,大导师,30164000,9,7,0,1.1,11000231,0,11000231,111,0,1,0,0,0,
11000232,大导师的部下,30164000,11,9,2,1.1,11000232,0,11000019,111,0,1,0,0,0,
11000233,大导师的部下,30164000,7,9,6,1.1,11000233,0,11000019,111,0,1,0,0,0,
11000234,少男见习生,30163000,15,9,2,1,11000234,0,11000234,111,0,1,0,0,0,
11000235,少女见习生,30163000,9,9,6,1,11000235,0,11000235,111,0,1,0,0,0,
11000236,女僧兵,10065000,73,7,0,1.05,11000236,0,11000197,111,0,1,0,0,0,
11000237,武僧,10065000,30,7,0,1.01,11000237,0,11000196,111,0,1,0,0,0,
11000238,男禁卫兵,30160000,1,6,6,1.01,11000238,0,11000229,111,0,1,0,0,0,
11000239,男禁卫兵,30160000,1,13,6,1.01,11000239,0,11000229,111,0,1,0,0,0,
11000240,男禁卫兵,30160000,1,20,6,1.01,11000240,0,11000229,111,0,1,0,0,0,
11000241,女禁卫兵,30160000,22,6,2,1.05,11000241,0,11000230,111,0,1,0,0,0,
11000242,女禁卫兵,30160000,22,13,2,1.05,11000242,0,11000230,111,0,1,0,0,0,
11000243,女禁卫兵,30160000,22,20,2,1.05,11000243,0,11000230,111,0,1,0,0,0,
11000244,女僧兵,10065000,57,196,2,1.05,11000244,0,11000197,111,0,1,0,0,0,
11000245,男僧兵,10065000,46,196,6,1.01,11000245,0,11000196,111,0,1,0,0,0,
11000246,道具精制师,30011001,3,0,0,1.15,11000118,0,11000118,111,0,1,0,0,0,
11000247,鉴定师,30011001,1,1,7,1.1,11000451,0,11000070,111,0,1,0,0,0,
11000248,瓦雷利亚的哥哥,30010001,1,0,7,1,11000248,0,11000198,111,0,1,0,0,0,
11000249,乌拉基米尔,10065000,28,184,4,1,11000249,0,11000249,158,0,1,0,0,0,
11000250,军团管理员,10023000,73,170,0,1,11000250,0,11000043,111,0,1,0,0,0,
11000251,年轻武僧,30162000,17,5,0,1.01,11000251,0,11000196,111,0,1,0,0,0,
11000252,男僧兵,30162000,17,6,4,1.01,11000252,0,11000196,111,0,1,0,0,0,
11000253,男僧兵,30162000,2,11,3,1.01,11000253,0,11000196,111,0,1,0,0,0,
11000254,年轻女僧兵,30162001,17,5,0,1.05,11000254,0,11000197,111,0,1,0,0,0,
11000255,女僧兵,30162001,17,6,4,1.05,11000255,0,11000197,111,0,1,0,0,0,
11000256,女僧兵,30162001,2,11,3,1.05,11000256,0,11000197,111,0,1,0,0,0,
11000257,黑市商人,10001000,78,27,2,1,11000257,0,11000257,135,0,1,0,0,0,
11000258,复活战士,10065000,43,121,6,1.1,11000258,0,11000348,111,0,1,0,0,0,
11000260,千姫,10023000,85,183,6,1,11000260,0,11000211,111,0,1,0,0,0,
11000261,剧场总管,30181000,11,7,0,1,11000261,0,11000261,111,0,1,0,0,0,
11000262,剧场总管,30182000,11,7,0,1,11000262,0,11000191,111,0,1,0,0,0,
11000264,染色店阿姨,10015000,108,63,0,1.08,11000264,0,11000107,111,0,1,0,0,0,
11000265,六姫,10025000,77,111,6,0.95,11000265,0,11000211,111,0,1,0,0,0,
11000266,六姫,10022000,179,144,2,0.95,11000266,0,11000211,111,0,1,0,0,0,
11000267,六姫,10031000,144,80,0,0.95,11000267,0,11000211,111,0,1,0,0,0,
11000268,六姫,10014000,111,177,4,0.95,11000268,0,11000211,111,0,1,0,0,0,
11000269,熊太郎,30010002,1,3,6,1,11000269,0,10022000,111,0,1,0,0,0,
11000270,酒馆店员,30010003,1,0,7,1,11000270,0,11000270,111,0,1,0,0,0,
11000271,酒馆店员,30010004,1,0,7,1,11000271,0,11000271,111,0,1,0,0,0,
11000272,道具精制师,30011003,3,0,0,1.15,11000118,0,11000118,111,0,1,0,0,0,
11000273,鉴定师,30011003,1,1,7,1.1,11000451,0,11000070,111,0,1,0,0,0,
11000274,道具精制师,30011004,3,0,0,1.15,11000118,0,11000118,111,0,1,0,0,0,
11000275,鉴定师,30011004,1,1,7,1.1,11000451,0,11000070,111,0,1,0,0,0,
11000276,武器商店店员,30012002,2,1,0,1,11000276,0,11000276,111,0,1,0,0,0,
11000277,铁匠铺店员,30013001,3,1,0,1.15,11000277,0,11000159,111,0,1,0,0,0,
11000278,旧货行店员,30014001,5,1,1,1,11000278,0,11000278,111,0,1,0,0,0,
11000279,裁缝店店员,30020003,3,2,0,1.08,11000279,0,11000149,111,0,1,0,0,0,
11000280,宝石商人,30021002,3,1,0,1,11000280,0,11000043,111,0,1,0,0,0,
11000281,行会商人,30060003,4,0,0,1.05,11000281,0,11000052,111,0,1,0,0,0,
11000282,阿鲁斯的爱人,30071000,5,2,6,1.1,11000282,0,11000282,111,0,1,0,0,0,
11000283,阿鲁斯的妈妈,30072000,4,3,0,1,11000283,0,11000001,111,0,1,0,0,0,
11000284,眼神凶恶的佣兵,30073000,7,3,0,1.2,11000284,0,11000096,111,0,1,0,0,0,
11000285,间谍,30073000,7,5,4,1.1,11000285,0,11000517,111,0,1,0,0,0,
11000286,佣兵长官,30075000,2,5,1,1.2,11000286,0,11000096,111,0,1,0,0,0,
11000287,议会财务大臣,30075000,5,5,2,1,11000287,0,11000287,111,0,1,0,0,0,
11000288,佣兵军团警卫兵,10063100,46,153,6,1.2,11000288,0,11000096,111,0,1,0,0,0,
11000289,看墓的大叔,10032000,44,116,4,1,11000289,0,11000096,111,0,1,0,0,0,
11000290,空军士兵,30074000,1,5,4,1.1,11000290,0,10000023,111,0,1,0,0,0,
11000291,空军士兵,30074000,1,3,0,1.1,11000291,0,10000023,111,0,1,0,0,0,
11000292,空军长官,30076000,6,2,0,1.1,11000292,0,11000039,111,0,1,0,0,0,
11000293,议会财务大臣,30076000,5,5,4,1,11000293,0,11000287,111,0,1,0,0,0,
11000294,接待员,30079000,9,9,0,1,11000294,0,11000043,111,0,1,0,0,0,
11000295,克拉拉,30079000,17,17,4,1,11000295,0,11000295,190,0,1,0,0,0,
11000296,操作员杜迪,30081000,15,2,4,1.15,11000296,0,11000296,111,0,1,0,0,0,
11000297,操作员因扎吉,30081000,19,2,2,1.15,11000297,0,11000297,111,0,1,0,0,0,
11000298,大工厂接待员,30081000,15,10,2,1.1,11000298,0,11000282,111,0,1,0,0,0,
11000299,大锻造厂老板,30082000,2,9,6,1,11000299,0,11000299,111,0,1,0,0,0,
11000300,操作员汉斯,30082000,5,4,4,1.15,11000300,0,11000296,111,0,1,0,0,0,
11000301,操作员斯提夫,30082000,14,18,6,1.15,11000301,0,11000297,111,0,1,0,0,0,
11000302,大锻造厂接待员,30082000,15,10,2,1.1,11000302,0,11000282,111,0,1,0,0,0,
11000303,空军警卫兵,10063100,43,74,6,1.1,11000303,0,10000023,111,0,1,0,0,0,
11000304,空军警卫兵,10063100,43,58,6,1.1,11000304,0,10000023,111,0,1,0,0,0,
11000305,摩戈国境警备员,10020000,5,4,0,1.1,11000305,0,10000013,111,0,1,0,0,0,
11000306,法伊斯特国境警备员,10017000,76,249,6,1.1,11000306,0,10000003,111,0,1,0,0,0,
11000307,艾恩萨乌斯警卫兵,10063100,49,101,6,1,11000307,0,11000307,111,0,1,0,0,0,
11000308,艾恩萨乌斯警卫兵,10063100,49,106,6,1.1,11000308,0,11000347,111,0,1,0,0,0,
11000309,艾恩萨乌斯警卫兵,10063100,125,106,2,1.1,11000309,0,11000347,111,0,1,0,0,0,
11000310,艾恩萨乌斯警卫兵,10063100,125,101,2,1,11000310,0,11000307,111,0,1,0,0,0,
11000311,佩佩,10066000,198,78,2,1.15,11000311,0,11000296,111,0,1,0,0,0,
11000312,胆小的冒险者,10066000,194,128,5,1,11000312,0,11000312,111,0,1,0,0,0,
11000313,艾恩萨乌斯警卫兵,10066000,177,106,2,1,11000313,0,11000308,111,0,1,0,0,0,
11000314,讲故事的人,10066000,99,56,0,1,11000314,0,11000314,111,0,1,0,0,0,
11000315,劳尔,10066000,99,58,4,1.1,11000315,0,11000049,111,0,1,0,0,0,
11000316,伽拉,10066000,100,57,3,1,11000316,0,11000211,111,0,1,0,0,0,
