#NPCID,コメント,上半身(ATTR),下半身,靴,顔,髪型,帽子,髪飾りＵＰ,髪飾り左側,髪飾り右側,髪飾りＤＯＷＮ,顔飾り,右すね,肩パット右,肩パット左,胸アクセ,右手握り,左手甲,背負い,左すね,右足甲,しっぽ,付け髪ＵＰ,付け髪左サイド,付け髪右サイド,付け髪ＤＯＷＮ,右手甲,左足甲,左手握り,腰,腰追加分s26,エフェクト,タイツ,攻撃エフェクトID,トレイルエフェクトＩＤ,下半身１,下半身2,下半身3,
s25,腰追加分s26,エフェクト,タイツ,攻撃エフェクトID,トレイルエフェクトＩＤ,下半身１,下半身２,下半身３,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000003,アップタウン東門守衛,4002_00_00_05,,,4002_02_00_05,4002_03_00_00,4002_05_00_05,,,,,,,,,,,,,,,4002_10_00_00,,,,,,,,,,,,,,,,,
10000013,アップタウン西門守衛,4002_00_00_07,,,4002_02_00_07,4002_03_00_00,4002_05_00_07,,,,,,,,,,,,,,,4002_10_00_00,,,,,,,,,,,,,,,,,
10000023,アップタウン南門守衛,4002_00_00_00,,,4002_02_00_00,4002_03_00_00,4002_05_00_00,,,,,,,,,,,,,,,4002_10_00_00,,,,,,,,,,,,,,,,,
10000033,アップタウン北門守衛,4002_00_00_03,,,4002_02_00_03,4002_03_00_00,4002_05_00_03,,,,,,,,,,,,,,,4002_10_00_00,,,,,,,,,,,,,,,,,
11000000,ギルド宮ガイド,03_00_21_01,,03_09_08_00,03_02_51_00,03_03_02_07,03_05_18_00,,,,,,,,,,,,03_18_03_00,,,,,,,,,,,,,,,,,03_01_00_00,03_24_00_05,03_25_03_05,
11000001,下町の上品なおばさん,4024_00_00_00,,,4024_02_00_00,4024_03_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000002,酒場店員,00_00_03_51,00_26_05_00,00_09_05_00,00_02_42_00,00_03_10_50,00_05_05_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00_25_02_00,
11000003,ジャンク屋店員,01_00_03_50,01_26_03_00,01_09_05_00,01_02_40_00,01_03_10_52,00_05_05_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_24_02_00,01_25_02_00,
11000004,武器屋店員,04_00_02_00,04_26_03_00,04_09_10_00,04_02_62_00,04_03_01_72,,,,,,00_04_06_72,,,,00_08_22_00,,,04_18_04_00,,,04_21_00_00,,,,,,,,,,,,,,,04_24_02_00,04_25_03_00,
11000005,占い師イーナ?ラウ,4031_00_00_00,,,4031_02_00_00,4031_03_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000006,東側の露店店員,01_00_24_00,01_00_07_00,01_09_07_00,01_02_40_00,01_03_10_01,00_05_04_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_01_00_00,01_24_00_04,01_25_03_04,
11000007,西側の露店店員,00_00_19_00,00_26_03_00,00_09_01_00,00_02_40_00,00_03_10_06,00_05_04_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00_24_02_00,00_25_01_00,
11000008,南側の露店店員南,05_00_05_00,05_26_05_00,05_09_05_00,05_02_62_00,05_03_10_04,00_05_04_00,,,,,,,,,,,,05_18_04_00,,,05_21_00_00,,,,,,,,,,,,,,05_24_02_00,05_24_00_00,05_25_02_00,
11000009,北側の露店店員北,04_00_05_00,04_26_03_00,04_09_02_00,04_02_60_00,04_03_10_05,00_05_04_00,,,,,,,,,00_08_22_00,,,04_18_04_00,,,04_21_00_00,,,,,,,,,,,,,,,04_24_00_00,04_25_01_00,
11000010,何でも屋のオヤジ,4039_00_00_00,,,4039_02_00_00,,,,,,,,,4039_03_00_00,4039_03_00_00,,,,,,,,,,,,,,4039_10_00_00,,,,,,,,,,
11000011,ギルド宮ガイド２階,03_00_21_01,,03_09_08_00,03_02_50_00,03_03_01_60,03_05_18_00,,,,,,,,,,,,03_18_03_00,,,,,,,,,,,,,,,,,03_01_00_00,03_24_00_05,03_25_03_05,
11000012,ギルド宮ガイド３階,03_00_21_01,,03_09_08_00,03_02_51_00,03_03_09_62,03_05_18_00,,,,,,,,,,,,03_18_03_00,,,,,,,,,,,,,,,,,03_01_00_00,03_24_00_05,03_25_03_05,
11000013,ギルド宮ガイド４階,03_00_21_01,,03_09_08_00,03_02_52_00,03_03_08_11,03_05_18_00,,,,,,,,,,,,03_18_03_00,,,,,,,,,,,,,,,,,03_01_00_00,03_24_00_05,03_25_03_05,
11000014,ギルド宮ガイド５階,03_00_21_01,,03_09_08_00,03_02_51_00,03_03_06_09,03_05_18_00,,,,,,,,,,,,03_18_03_00,,,,,,,,,,,,,,,,,03_01_00_00,03_24_00_05,03_25_03_05,
11000015,ソードマンマスター,4051_00_00_00,,,4010_02_01_00,,,,,,,,,4010_03_00_00,4010_03_00_00,,4039_10_00_00,,,,,,,,,,,,,,,,,,,,,,
11000016,フェンサーマスター,02_00_12_50,02_23_03_00,,02_02_50_00,02_03_03_60,02_05_16_00,,,,,,,,,,,00_11_03_50,02_18_03_00,,,,,,,,,,,,,,,,,,,,
11000017,スカウトマスター,05_00_40_00,null,null,05_02_62_00,05_03_91_00,05_06_19_00,,,,,,,,,,,05_11_15_00,05_18_04_00,,,05_21_00_00,,,,,05_11_14_00,,,,,,,,,null,null,05_25_04_09,
11000018,アーチャーマスター,01_00_44_00,01_26_08_55,01_09_06_53,01_02_42_00,01_03_10_06,01_05_24_00,,,,,,,,,,,,01_18_05_00,,,,,,,,,,01_17_03_00,,,,,,,01_01_04_03,01_24_00_03,01_09_00_03,
11000019,スペルユーザーマスター,4035_00_00_00,,,4035_02_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000020,タタラベマスター,00_00_41_00,00_26_13_00,00_09_03_50,00_02_41_00,00_03_10_11,00_05_06_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00_25_02_00,
11000021,マシンナリーマスター,4019_00_00_00,,,4019_02_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000022,ファーマーマスター,00_00_35_50,,00_09_06_00,00_02_40_00,00_03_10_50,00_05_00_00,,,,,,,,,00_08_13_00,,,,,,,,,,,,,,,,,,,,,,00_25_03_00,
11000023,アルケミストマスター,00_00_18_00,00_26_03_00,00_09_04_00,00_02_41_00,00_03_01_06,,,,,,00_04_06_06,,,,,00_16_02_00,,,,,,,,,,,,,,,,,,,,00_24_02_00,00_25_02_00,
11000024,マリオネストマスター,4036_00_00_00,,,4036_02_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000025,レンジャーマスター,00_00_08_50,00_23_01_51,,00_02_41_00,00_03_01_05,,,,,,00_06_11_00,,00_20_00_05,00_20_00_05,,00_10_01_00,,,,,,,,,,,,,,,,,,,,,,
11000026,マーチャントマスター,4030_00_00_02,,,4030_02_00_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000027,タイタニア族利益代表,4037_00_00_00,,,4037_02_00_00,4037_03_00_00,4037_04_00_00,,,,,,,,,,,,4037_05_00_00,,,,,,,,,,,,,,,,,,,,
11000028,ドミニオン族利益代表,4038_00_00_00,,,4038_02_00_00,4038_03_00_00,,,,,,,,,,,,,4038_05_00_00,,,4038_04_00_00,,,,,,,,,,,,,,,,,
11000029,ギョニン,2010_00_00_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000030,モリビト,2006_00_00_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000031,ダンプティー,2018_00_00_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
11000032,ピボット,2016_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000885,ブルーピボット,2016_00_00_61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000033,長官室守衛,4002_00_00_05,,,4002_02_00_05,4002_03_00_00,4002_05_00_05,,,,,,,,,,,,,,,4002_10_00_00,,,,,,,,,,,,,,,,,
11000034,長官室守衛,4002_00_00_07,,,4002_02_00_07,4002_03_00_00,4002_05_00_07,,,,,,,,,,,,,,,4002_10_00_00,,,,,,,,,,,,,,,,,
11000035,長官室守衛,4002_00_00_00,,,4002_02_00_00,4002_03_00_00,4002_05_00_00,,,,,,,,,,,,,,,4002_10_00_00,,,,,,,,,,,,,,,,,
11000036,長官室守衛,4002_00_00_03,,,4002_02_00_03,4002_03_00_00,4002_05_00_03,,,,,,,,,,,,,,,4002_10_00_00,,,,,,,,,,,,,,,,,
11000037,東軍騎士団長官,4003_00_00_05,,,4003_02_00_05,4003_03_00_00,4003_05_00_05,,,,,,,,,,,,,,,4002_10_00_00,,,,,,,,,,,,,,,,,
11000038,西軍騎士団長官,4003_00_00_07,,,4003_02_00_07,4003_03_00_00,4003_05_00_07,,,,,,,,,,,,,,,4002_10_00_00,,,,,,,,,,,,,,,,,
11000039,南軍騎士団長官,4003_00_00_00,,,4003_02_00_00,4003_03_00_00,4003_05_00_00,,,,,,,,,,,,,,,4002_10_00_00,,,,,,,,,,,,,,,,,
11000040,北軍騎士団長官,4003_00_00_03,,,4003_02_00_03,4003_03_00_00,4003_05_00_03,,,,,,,,,,,,,,,4002_10_00_00,,,,,,,,,,,,,,,,,
11000041,白い聖堂司祭,4037_00_00_00,,,4037_02_00_00,4037_03_00_00,4037_04_00_00,,,,,,,,,,,,4037_05_00_00,,,,,,,,,,,,,,,,,,,,
11000042,黒い聖堂司祭,4038_00_00_00,,,4038_02_00_00,4038_03_00_00,,,,,,,,,,,,,4038_05_00_00,,,4038_04_00_00,,,,,,,,,,,,,,,,,
11000043,宝石商,4041_00_00_00,,,4041_02_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000044,セージマスター,4035_00_00_00,,,4035_02_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000048,ギルド商人,4030_00_00_00,,,4030_02_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000049,街の男の子,4022_00_00_00,,,4022_02_00_00,4022_03_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
11000050,ギルド商人,4030_00_00_00,,,4030_02_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000051,ギルド商人,4030_00_00_00,,,4030_02_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000052,ギルド商人,4030_00_00_00,,,4030_02_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000053,ギルド商人,4030_00_00_00,,,4030_02_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000054,ギルド商人,4030_00_00_00,,,4030_02_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000055,ギルド商人,4030_00_00_00,,,4030_02_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000056,ノーザン国境警備員,4002_00_00_03,,,4002_02_00_03,4002_03_00_00,4002_05_00_03,,,,,,,,,,,,,,,4002_10_00_00,,,,,,,,,,,,,,,,,
11000057,ノーザン国境警備員,4002_00_00_03,,,4002_02_00_03,4002_03_00_00,4002_05_00_03,,,,,,,,,,,,,,,4002_10_00_00,,,,,,,,,,,,,,,,,
11000060,ギルド商人,4030_00_00_00,,,4030_02_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000061,ギルド商人,4030_00_00_00,,,4030_02_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000062,ギルド商人,4030_00_00_00,,,4030_02_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000063,ギルド商人,4030_00_00_00,,,4030_02_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000064,ギルド商人,4030_00_00_00,,,4030_02_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000065,ギルド商人,4030_00_00_00,,,4030_02_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000066,ギルド商人,4030_00_00_00,,,4030_02_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000067,ギルド商人,4030_00_00_00,,,4030_02_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000068,ギルド商人,4030_00_00_00,,,4030_02_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000069,ギルド商人,4030_00_00_00,,,4030_02_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25090000,氷の精,2009_00_00_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000070,街のおじいさん,4025_00_00_00,,,,,,,,,,,,,,,4025_04_00_00,,,,,,,,,,,,,,,,,,,,,,
11000071,物知りな男,00_00_10_00,00_23_02_00,,00_02_40_00,00_03_02_08,,,,,,00_07_02_00,,00_20_03_00,00_20_03_00,,,,,,,,,,,,,,,,,,,,,,,,
11000072,個性のない男,00_00_19_00,00_01_05_00,00_09_00_00,00_02_40_00,00_03_05_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000073,ぶりっこ,01_00_07_00,01_01_00_00,01_09_00_00,01_02_40_00,01_03_03_04,,,,,,,,,,,00_19_00_00,,,,,,,,,,,,,,,,,,,,,,
11000074,真面目そうな男,02_00_09_00,02_01_10_00,,02_02_51_00,02_03_00_60,02_05_16_00,,,,,,,00_20_04_00,00_20_04_00,,,,02_18_03_00,,,,,,,,,,,,,,,,,,,,
11000075,セクシーな女の人,05_00_13_00,05_01_07_00,05_09_00_00,05_02_62_00,05_03_07_70,,,,,,,,00_20_08_00,00_20_08_00,00_08_22_00,,,05_18_04_00,,,05_21_00_00,,,,,,,,,,,,,,,,,
11000076,マジック,02_00_19_00,02_23_01_00,,02_02_51_00,02_03_05_02,02_05_16_00,,,,,,,,,,00_16_01_00,,02_18_03_00,,,,,,,,,,,,,,,,,,,,
11000077,話し好きな女性,01_00_17_00,,01_09_06_00,01_02_42_00,01_03_05_05,,00_04_17_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_24_00_00,01_25_03_00,
11000078,優しそうなお姉さま,03_00_04_00,,03_09_04_00,03_02_50_00,03_03_02_60,03_05_16_00,,,,,,,,,,00_16_05_00,,03_18_03_00,,,,,,,,,,,,,,,,,03_01_00_03,03_24_00_03,03_25_02_03,
11000079,話しかけにくい男性,04_00_22_00,04_23_04_00,,04_02_61_00,04_03_03_72,,,,,,00_07_08_00,,,,00_08_22_00,,,04_18_04_00,,,04_21_00_00,,,,,,,,,,,,,,,,,
11000080,街のおじいさん,4025_00_00_00,,,,,,,,,,,,,,,4025_04_00_00,,,,,,,,,,,,,,,,,,,,,,
11000081,爺さんの子供,00_00_03_00,00_26_03_00,00_09_03_00,00_02_40_00,00_03_03_70,,,,,,,,,,00_08_15_00,,,,,,,,,,,,,,,,,,,,,00_24_02_00,00_25_02_00,
11000082,爺さんの孫,4022_00_00_00,,,4022_02_00_00,4022_03_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000083,爺さんの友達,4025_00_00_00,,,,,,,,,,,,,,,4025_04_00_00,,,,,,,,,,,,,,,,,,,,,,
11000084,爺さんの子分,00_00_05_00,00_23_02_00,,00_02_40_00,00_03_03_05,,,,,,00_07_02_00,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000085,爺さんの彼女,01_00_22_00,,01_09_01_00,01_02_40_00,01_03_03_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_24_00_00,01_25_01_00,
11000086,なみだ目の男性,00_00_04_00,00_26_05_00,00_09_05_00,00_02_41_00,00_03_00_60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00_25_02_00,
11000087,タイタニア転送室主任,4037_00_00_00,,,4037_02_00_00,4037_03_00_00,4037_04_00_00,,,,,,,,,,,,4037_05_00_00,,,,,,,,,,,,,,,,,,,,
11000088,ドミニオン転送室主任,4038_00_00_00,,,4038_02_00_00,4038_03_00_00,,,,,,,,,,,,,4038_05_00_00,,,4038_04_00_00,,,,,,,,,,,,,,,,,
11000089,オリガ,01_00_03_53,01_26_05_00,01_09_06_00,01_02_41_00,01_03_10_04,00_05_06_00,,,,,,,,,,,,00_18_02_00,,,,,,,,,,,,,,,,,,,01_25_03_00,
11000090,マシューシャ,01_00_10_00,01_23_02_00,,01_02_42_00,01_03_05_04,,00_04_17_04,,,,,,00_20_03_00,00_20_03_00,,,,00_18_02_00,,,,,,,,,,,,,,,,,,,,
11000091,トム,4022_00_00_00,,,4022_02_00_00,4022_03_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000092,カレー,04_00_03_53,04_23_02_00,,04_02_61_00,04_03_10_72,00_05_06_00,,,,,,,,,00_08_22_00,,,04_18_04_00,,,04_21_00_00,,,,,,,,,,,,,,,,,
11000093,コンスタンス,01_00_03_53,01_26_06_00,01_09_01_00,01_02_42_00,00_03_10_05,00_05_06_00,,,,,,,,,,,,00_18_02_00,,,,,,,,,,,,,,,,,01_24_03_00,,01_25_01_02,
11000094,グリエルモ,4039_00_00_00,,,4039_02_00_00,,,,,,,,,4039_03_00_00,4039_03_00_00,,,,,,,,,,,,,,4039_10_00_00,,,,,,,,,,
11000095,名を明かさない少女,01_00_22_00,,01_09_08_00,01_02_42_00,01_03_00_07,,00_04_18_07,,,,00_07_07_00,,,,,,,00_18_00_00,,,,,,,,,,,,,,,,,01_01_00_03,01_24_00_03,01_25_03_03,
11000096,ディガー,4039_00_00_00,,,4039_02_00_00,,,,,,,,,4039_03_00_00,4039_03_00_00,,,,,,,,,,,,,,4039_10_00_00,,,,,,,,,,
11000097,ニッコロ,4019_00_00_00,,,4019_02_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000098,レター,4036_00_00_00,,,4036_02_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000099,クラーク,4039_00_00_00,,,4039_02_00_00,,,,,,,,,4039_03_00_00,4039_03_00_00,,,,,,,,,,,,,,4039_10_00_00,,,,,,,,,,
11000100,フリードリヒ,00_00_10_00,00_23_02_00,,00_02_43_00,00_03_00_01,,,,,,,,00_20_03_00,00_20_03_00,,,,00_18_02_00,,,,,,,,,,,,,,,,,,,,
11000101,マルタ,4009_00_00_00,,,4009_02_00_00,4009_03_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000102,ユーリカ,01_00_10_00,01_23_02_00,,01_02_42_00,01_03_05_02,,00_04_08_02,,,,,,00_20_03_00,00_20_03_00,,,,00_18_02_00,,,,,,,,,,,,,,,,,,,,
11000103,ジャスミン,01_00_10_00,01_23_02_00,,01_02_42_00,01_03_09_09,,,,,,,,00_20_03_00,00_20_03_00,,,,00_18_02_00,,,,,,,,,,,,,,,,,,,,
11000104,ラインハルト,00_00_10_00,00_23_02_00,,00_02_40_00,00_03_06_04,,,,,,,,00_20_03_00,00_20_03_00,,,,00_18_02_00,,,,,,,,,,,,,,,,,,,,
11000105,ゴーロ,00_00_03_53,00_26_04_00,00_09_05_00,00_02_42_00,00_03_10_05,00_05_06_00,,,,,,,,,,,,00_18_02_00,,,,,,,,,,,,,,,,,,00_24_00_00,00_25_02_00,
11000106,酒場のマドンナ,01_00_19_50,,01_09_07_00,01_02_40_00,01_03_06_52,,00_06_08_00,00_04_15_52,,,,,,,01_08_19_00,,,,,,,,,,,,,,,,,,,,01_01_00_03,01_24_02_03,01_25_03_03,
11000107,トムのお母さん,4009_00_00_00,,,4009_02_00_00,4009_03_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000108,カロリーネ,4024_00_00_00,,,4024_02_00_00,4024_03_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000109,大地の精霊,2001_00_00_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000110,風の精霊,2001_00_00_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000111,炎の精霊,2001_00_00_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000112,水の精霊,2001_00_00_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000113,光の精霊,2001_00_00_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000114,闇の精霊,2001_00_00_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000115,ニーベルングのヘアサロン,4036_00_00_00,,,4036_02_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000118,合成屋さん,4040_00_00_00,,,4040_02_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000119,合成屋さん,4019_00_00_00,,,4019_02_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000120,合成屋さん,4019_00_00_00,,,4019_02_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000121,合成屋さん,4019_00_00_00,,,4019_02_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000122,食料品店のおばあさん,4024_00_00_00,,,4024_02_00_00,4024_03_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000123,食料品店のおばあさん,4024_00_00_00,,,4024_02_00_00,4024_03_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000124,食料品店のおばあさん,4024_00_00_00,,,4024_02_00_00,4024_03_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000125,食料品店のおばあさん,4024_00_00_00,,,4024_02_00_00,4024_03_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000126,アグネス,01_00_03_53,01_26_03_00,01_09_10_00,01_02_41_00,01_03_10_52,00_05_06_00,,,,,,,,,,,,00_18_02_00,,,,,,,,,,,,,,,,,,01_24_02_00,01_25_03_00,
11000127,東口守衛,4002_00_00_05,,,4002_02_00_05,4002_03_00_00,4002_05_00_05,,,,,,,,,,,,,,,4002_10_00_00,,,,,,,,,,,,,,,,,
11000128,東口守衛,4002_00_00_05,,,4002_02_00_05,4002_03_00_00,4002_05_00_05,,,,,,,,,,,,,,,4002_10_00_00,,,,,,,,,,,,,,,,,
11000129,西口守衛,4002_00_00_07,,,4002_02_00_07,4002_03_00_00,4002_05_00_07,,,,,,,,,,,,,,,4002_10_00_00,,,,,,,,,,,,,,,,,
11000130,西口守衛,4002_00_00_07,,,4002_02_00_07,4002_03_00_00,4002_05_00_07,,,,,,,,,,,,,,,4002_10_00_00,,,,,,,,,,,,,,,,,
11000131,南口守衛,4002_00_00_00,,,4002_02_00_00,4002_03_00_00,4002_05_00_00,,,,,,,,,,,,,,,4002_10_00_00,,,,,,,,,,,,,,,,,
11000132,南口守衛,4002_00_00_00,,,4002_02_00_00,4002_03_00_00,4002_05_00_00,,,,,,,,,,,,,,,4002_10_00_00,,,,,,,,,,,,,,,,,
11000133,北口守衛,4002_00_00_03,,,4002_02_00_03,4002_03_00_00,4002_05_00_03,,,,,,,,,,,,,,,4002_10_00_00,,,,,,,,,,,,,,,,,
11000134,北口守衛,4002_00_00_03,,,4002_02_00_03,4002_03_00_00,4002_05_00_03,,,,,,,,,,,,,,,4002_10_00_00,,,,,,,,,,,,,,,,,
11000135,ゴロー,1005_00_00_00,,,,,,,,,,,,,,,,,1005_18_00_00,,,,,,,,,,,,,,,,,,,,
11000136,マロニー,1005_00_00_08,,,,,,,,,,,,,,,,,1005_18_00_00,,,,,,,,,,,,,,,,,,,,
11000137,ビクトリーヌ,1005_00_00_01,,,,,,,,,,,,,,,,,1005_18_00_00,,,,,,,,,,,,,,,,,,,,
11000138,カトリーヌ,1005_00_00_04,,,,,,,,,,,,,,,,,1005_18_00_00,,,,,,,,,,,,,,,,,,,,
11000139,インスマウス,2010_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
11000149,裁縫おばさん,4009_00_00_00,,,4009_02_00_00,4009_03_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000150,裁縫蝶,9000_00_00_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000151,裁縫蝶,9000_00_00_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
