#?????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ßƒ???????????????˙È?????????°M?????§D??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#¢†??˙„??•Ü?????'|'??˛˙??¶˙???????ßk??¶V???????¶u???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#¶˙???????ßk???????1???2???3????????????˛ÿ????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#?????°@§e??????????????¢]?˝Õ????1??????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,¢r?,ß}?¢r?,??¢r?,°P•f¢r?,????,®˜?,??,°P®˜,°P?,??•K?,????,?????,Éà?,??,????,???,?????,????,?§ö,??§ö,?ßI?,¢r?(?),¢r?(?°q),¢r?(?°q?,¢r?(?),¢†?,˙„?,•Ü?,?¸Ê,ßD•h,ßÖ¢e?,•X???,?,??,??ßç¢r?,??ßç,?°Ç????,?©ú?¸Ê???,˚Õ??ßç¢r?,˚Õ??ßç,˚Õ?°Ç????,?????(????),˝ı¶î???(????),¢†???????,˙„???????,•Ü???????,?°ó?
#°â˚Í,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,111,112,135,336,113,121,122,121,366,123,124,131,132,133,134,136,137,138,140,141,142,183,184,186,187,350,350,348,356,357,378,362,363,364,336,336,336,380,336,336,336,326,327,349,349,399,111
#?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,396,112,135,352,113,121,154,121,390,123,124,131,132,133,134,136,137,138,140,141,142,183,184,186,187,387,387,387,391,393,376,362,363,364,352,353,386,392,352,352,352,326,327,387,387,387,111
#????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,111,112,135,354,113,121,122,121,366,123,124,131,132,133,134,136,137,138,140,141,142,183,184,186,187,389,389,389,391,394,377,362,363,364,354,355,388,392,354,355,388,326,327,389,389,389,111
#?˚Í???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,396,112,135,334,113,121,395,121,395,123,124,131,132,133,134,136,137,138,140,141,142,183,184,186,187,350,350,350,391,393,372,362,363,364,334,334,334,392,334,334,334,326,327,349,349,349,111
#?˚Í???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,396,112,135,334,113,121,395,121,395,123,124,131,132,133,134,136,137,138,140,141,142,183,184,186,187,341,341,341,369,370,361,362,363,364,331,331,331,383,331,331,331,326,327,342,342,342,111
#˛o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,111,112,135,334,113,155,122,155,366,123,124,131,132,133,134,136,137,138,140,141,142,183,184,186,187,350,350,350,391,393,372,362,363,364,334,334,334,392,334,334,334,326,327,349,349,349,111
#????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,111,112,135,332,113,121,122,121,366,123,124,131,132,133,134,136,137,138,140,141,142,183,184,186,187,343,343,343,391,393,371,362,363,364,332,332,332,392,332,332,332,326,327,343,343,343,111
#??¢\??,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,111,112,135,334,113,121,122,121,366,123,124,131,132,133,134,136,137,138,140,141,142,183,184,186,187,350,350,350,391,393,372,362,363,364,334,334,334,392,334,334,334,326,327,349,349,349,111
#?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,111,112,135,331,113,121,154,121,390,123,124,131,132,133,134,136,137,138,140,141,142,183,184,186,187,341,341,341,369,370,361,362,363,364,331,331,331,383,331,331,331,326,327,342,342,342,111
#???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,325,112,135,336,113,325,325,325,325,123,124,131,132,133,134,136,137,138,140,141,142,183,184,186,187,350,350,348,356,357,378,362,363,364,336,336,336,380,336,336,336,326,327,349,349,399,111
#???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,111,112,135,453,113,121,122,121,330,123,124,131,132,133,134,136,137,138,140,141,142,183,184,186,187,452 | 451,452 | 451,452 | 451,369,370,361,362,363,364,331,331,331,383,331,331,331,326,327,454,454,454,111
#????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800
#?¸»,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,111,112,135,354,113,121,122,121,366,123,124,131,132,133,134,136,137,138,140,141,142,183,184,186,187,426,426,426,391,394,377,362,363,364,354,354,354,392,354,424,425,326,327,426,426,426,111
#???¸»,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,111,112,135,433,113,121,122,121,366,123,124,131,132,133,134,136,137,138,140,141,142,183,184,186,187,427 | 428,427 | 428,427 | 428,391,394,377,362,363,364,433,433,433,392,433,433,433,326,327,426,426,426,111
#???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,111,112,135,331,113,121,121,121,121,123,124,131,132,133,134,136,137,138,140,141,142,183,184,186,187,341,341,341,369,370,361,142,188,364,331,331,331,383,331,331,331,326,327,342,342,342,111
#®Ò,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,111,112,135,429,113,121,122,121,367,123,124,131,132,133,134,136,137,138,140,141,142,183,184,186,187,430,430,430,369,370,372,362,363,364,429,429,429,383,429,429,429,326,327,431,431,431,111
#???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,111,112,135,436,113,121,122,121,330,123,124,131,132,133,134,136,137,138,140,141,142,183,184,186,187,437,437,437,369,370,361,362,363,364,331,331,331,383,331,331,331,326,327,437,437,437,440
#????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,111,112,135,434,113,121,122,121,330,123,124,131,132,133,134,136,137,138,140,141,142,183,184,186,187,435,435,435,369,370,361,362,363,364,331,331,331,383,331,331,331,326,327,435,435,435,440
#?¢K®˜???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801
#???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,111,112,135,441,113,121,122,121,330,123,124,131,132,133,134,136,137,138,140,141,142,183,184,186,187,442,442,442,369,370,443,362,363,364,331,331,331,383,331,331,331,326,327,442,442,442,111
#???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,802,802,802,802,802,802,803,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802,802
#?????°M??,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,111,112,135,415,113,121,368,121,368,123,124,131,132,133,134,136,137,138,140,141,142,183,184,186,187,419,419,419,391,393,421,362,363,364,365,365,365,392,365,365,365,326,327,420,420,420,111
#??,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,446,112,135,446,113,121,366,121,366,123,124,131,132,133,134,136,137,138,140,141,142,183,184,186,187,446,446,446,356,357,378,362,363,364,336,336,336,380,336,336,336,326,327,349,349,399,111
#?˚÷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804
#???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,806,806,806,805,806,805,805,805,805,806,806,806,806,806,806,806,806,806,806,806,806,806,806,806,806,806,806,806,806,806,805,806,806,805,806,806,806,806,806,806,806,806,806,806,806,806,806
#?ßä??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807,807
#˛∞?˚÷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809
#?ßä?????˙“,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,811,811,811,810
#˙“,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,304,112,135,304,113,305,306,305,306,123,124,131,132,133,134,136,137,138,140,141,142,183,184,186,187,350,350,348,391,393,372,362,363,364,334,334,334,392,334,334,334,326,327,349,349,399,111
#¢Ü???¶g¢Æ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,336,112,135,336,113,366,122,366,366,123,124,131,132,133,134,136,137,138,140,141,142,183,184,186,187,350,350,348,356,357,378,362,363,364,336,336,336,380,336,336,336,326,327,349,349,399,111
#??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,111,112,135,334,113,121,122,121,366,123,124,131,132,133,134,136,137,138,140,141,142,183,184,186,187,350,350,348,391,393,372,362,363,364,334,334,334,392,334,334,334,326,327,349,349,399,111
