#パートナー用アクトキューブの詳細設定シート,,,,,,,,,,,,,,,,,,,,,,,,,
#基本情報,,,,使用可能条件,,,,,,,,,,,,,,説明文,スキルのアクトキューブ,削除条件,条件?行動?Pスキルのアクトキューブ,,,,条件アクトキューブ
#ユニークID,アイテムID,種別ＩＤ,アクトキューブ名,パートナーランク,系統番号,動物型,人型,虫型,植物型,魔法使い型,魔法生物型,鳥型,魚型,アンデッド型,機械型,信頼度の色,転生状態,アクトキューブ情報ウィンドウの説明文,スキルＩＤ,制限,処理ID,PARAM1,PARAM2,PARAM3,任意設定フラグ
#パートナーのHPが○％以下だったら,,,,,,,,,,,,,,,,,,,,,,,,,
17,68000026,0,自分のＨＰ≦７０％＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R７０％以下になると$R自分に向けて行動を起こす,0,0,1,70,2,0,0
18,68000027,0,自分のＨＰ≦８０％＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R８０％以下になると$R自分に向けて行動を起こす,0,0,1,80,2,0,0
19,68000028,0,自分のＨＰ≦９０％＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R９０％以下になると$R自分に向けて行動を起こす,0,0,1,90,2,0,0
20,68000029,0,自分のＨＰ≦１００％＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R１００％以下になると$R自分に向けて行動を起こす,0,0,1,100,2,0,0
21,68000040,0,自分のＨＰ≦１０％＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R１０％以下になると$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更されます。,0,0,1,10,4,0,0
22,68000041,0,自分のＨＰ≦２０％＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R２０％以下になると$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更されます。,0,0,1,20,4,0,0
23,68000042,0,自分のＨＰ≦３０％＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R３０％以下になると$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更されます。,0,0,1,30,4,0,0
24,68000043,0,自分のＨＰ≦４０％＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R４０％以下になると$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更されます。,0,0,1,40,4,0,0
25,68000044,0,自分のＨＰ≦５０％＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R５０％以下になると$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更されます。,0,0,1,50,4,0,0
26,68000045,0,自分のＨＰ≦６０％＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R６０％以下になると$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更されます。,0,0,1,60,4,0,0
27,68000046,0,自分のＨＰ≦７０％＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R７０％以下になると$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更されます。,0,0,1,70,4,0,0
28,68000047,0,自分のＨＰ≦８０％＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R８０％以下になると$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更されます。,0,0,1,80,4,0,0
29,68000048,0,自分のＨＰ≦９０％＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R９０％以下になると$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更されます。,0,0,1,90,4,0,0
30,68000049,0,自分のＨＰ≦１００％＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R１００％以下になると$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更されます。,0,0,1,100,4,0,0
31,68000060,0,自分のＨＰ≦１０％＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R１０％以下になると$R敵に向けて行動を起こす,0,0,1,10,3,0,0
32,68000061,0,自分のＨＰ≦２０％＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R２０％以下になると$R敵に向けて行動を起こす,0,0,1,20,3,0,0
33,68000062,0,自分のＨＰ≦３０％＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R３０％以下になると$R敵に向けて行動を起こす,0,0,1,30,3,0,0
34,68000063,0,自分のＨＰ≦４０％＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R４０％以下になると$R敵に向けて行動を起こす,0,0,1,40,3,0,0
35,68000064,0,自分のＨＰ≦５０％＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R５０％以下になると$R敵に向けて行動を起こす,0,0,1,50,3,0,0
36,68000065,0,自分のＨＰ≦６０％＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R６０％以下になると$R敵に向けて行動を起こす,0,0,1,60,3,0,0
37,68000066,0,自分のＨＰ≦７０％＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R７０％以下になると$R敵に向けて行動を起こす,0,0,1,70,3,0,0
38,68000067,0,自分のＨＰ≦８０％＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R８０％以下になると$R敵に向けて行動を起こす,0,0,1,80,3,0,0
39,68000068,0,自分のＨＰ≦９０％＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R９０％以下になると$R敵に向けて行動を起こす,0,0,1,90,3,0,0
40,68000069,0,自分のＨＰ≦１００％＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R１００％以下になると$R敵に向けて行動を起こす,0,0,1,100,3,0,0
#パートナーのSPが○％以下だったら,,,,,,,,,,,,,,,,,,,,,,,,,
41,68000080,0,自分のＳＰ≦１０％＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R１０％以下になると$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が$R変更されます。,0,0,2,10,1,0,0
42,68000081,0,自分のＳＰ≦２０％＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R２０％以下になると$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が$R変更されます。,0,0,2,20,1,0,0
43,68000082,0,自分のＳＰ≦３０％＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R３０％以下になると$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が$R変更されます。,0,0,2,30,1,0,0
44,68000083,0,自分のＳＰ≦４０％＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R４０％以下になると$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が$R変更されます。,0,0,2,40,1,0,0
45,68000084,0,自分のＳＰ≦５０％＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R５０％以下になると$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が$R変更されます。,0,0,2,50,1,0,0
46,68000085,0,自分のＳＰ≦６０％＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R６０％以下になると$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が$R変更されます。,0,0,2,60,1,0,0
47,68000086,0,自分のＳＰ≦７０％＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R７０％以下になると$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が$R変更されます。,0,0,2,70,1,0,0
48,68000087,0,自分のＳＰ≦８０％＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R８０％以下になると$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が$R変更されます。,0,0,2,80,1,0,0
49,68000088,0,自分のＳＰ≦９０％＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R９０％以下になると$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が$R変更されます。,0,0,2,90,1,0,0
50,68000089,0,自分のＳＰ≦１００％＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R１００％以下になると$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が$R変更されます。,0,0,2,100,1,0,0
51,68000090,0,自分のＳＰ≦０％＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R０％以下になると$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が$R変更されます。,0,0,2,0,1,0,0
52,68000100,0,自分のＳＰ≦１０％＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R１０％以下になると$R自分に向けて行動を起こす,0,0,2,10,2,0,0
53,68000101,0,自分のＳＰ≦２０％＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R２０％以下になると$R自分に向けて行動を起こす,0,0,2,20,2,0,0
54,68000102,0,自分のＳＰ≦３０％＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R３０％以下になると$R自分に向けて行動を起こす,0,0,2,30,2,0,0
55,68000103,0,自分のＳＰ≦４０％＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R４０％以下になると$R自分に向けて行動を起こす,0,0,2,40,2,0,0
56,68000104,0,自分のＳＰ≦５０％＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R５０％以下になると$R自分に向けて行動を起こす,0,0,2,50,2,0,0
57,68000105,0,自分のＳＰ≦６０％＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R６０％以下になると$R自分に向けて行動を起こす,0,0,2,60,2,0,0
58,68000106,0,自分のＳＰ≦７０％＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R７０％以下になると$R自分に向けて行動を起こす,0,0,2,70,2,0,0
59,68000107,0,自分のＳＰ≦８０％＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R８０％以下になると$R自分に向けて行動を起こす,0,0,2,80,2,0,0
60,68000108,0,自分のＳＰ≦９０％＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R９０％以下になると$R自分に向けて行動を起こす,0,0,2,90,2,0,0
61,68000109,0,自分のＳＰ≦１００％＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R１００％以下になると$R自分に向けて行動を起こす,0,0,2,100,2,0,0
62,68000110,0,自分のＳＰ≦０％＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R０％以下になると$R自分に向けて行動を起こす,0,0,2,0,2,0,0
63,68000120,0,自分のＳＰ≦１０％＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R１０％以下になると$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更されます。,0,0,2,10,4,0,0
64,68000121,0,自分のＳＰ≦２０％＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R２０％以下になると$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更されます。,0,0,2,20,4,0,0
65,68000122,0,自分のＳＰ≦３０％＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R３０％以下になると$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更されます。,0,0,2,30,4,0,0
66,68000123,0,自分のＳＰ≦４０％＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R４０％以下になると$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更されます。,0,0,2,40,4,0,0
67,68000124,0,自分のＳＰ≦５０％＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R５０％以下になると$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更されます。,0,0,2,50,4,0,0
68,68000125,0,自分のＳＰ≦６０％＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R６０％以下になると$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更されます。,0,0,2,60,4,0,0
69,68000126,0,自分のＳＰ≦７０％＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R７０％以下になると$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更されます。,0,0,2,70,4,0,0
70,68000127,0,自分のＳＰ≦８０％＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R８０％以下になると$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更されます。,0,0,2,80,4,0,0
71,68000128,0,自分のＳＰ≦９０％＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R９０％以下になると$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更されます。,0,0,2,90,4,0,0
72,68000129,0,自分のＳＰ≦１００％＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R１００％以下になると$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更されます。,0,0,2,100,4,0,0
73,68000130,0,自分のＳＰ≦０％＜仲間＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R０％以下になると$R仲間に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜仲間＞となっている効果の対象は$R＜他のパートナー＞として挙動が$R変更されます。,0,0,2,0,4,0,0
74,68000140,0,自分のＳＰ≦０％＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R０％以下になると$R敵に向けて行動を起こす,0,0,2,0,3,0,0
75,68000141,0,自分のＳＰ≦１０％＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R１０％以下になると$R敵に向けて行動を起こす,0,0,2,10,3,0,0
76,68000142,0,自分のＳＰ≦２０％＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R２０％以下になると$R敵に向けて行動を起こす,0,0,2,20,3,0,0
77,68000143,0,自分のＳＰ≦３０％＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R３０％以下になると$R敵に向けて行動を起こす,0,0,2,30,3,0,0
78,68000144,0,自分のＳＰ≦４０％＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R４０％以下になると$R敵に向けて行動を起こす,0,0,2,40,3,0,0
79,68000145,0,自分のＳＰ≦５０％＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R５０％以下になると$R敵に向けて行動を起こす,0,0,2,50,3,0,0
80,68000146,0,自分のＳＰ≦６０％＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R６０％以下になると$R敵に向けて行動を起こす,0,0,2,60,3,0,0
81,68000147,0,自分のＳＰ≦７０％＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R７０％以下になると$R敵に向けて行動を起こす,0,0,2,70,3,0,0
82,68000148,0,自分のＳＰ≦８０％＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R８０％以下になると$R敵に向けて行動を起こす,0,0,2,80,3,0,0
83,68000149,0,自分のＳＰ≦９０％＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R９０％以下になると$R敵に向けて行動を起こす,0,0,2,90,3,0,0
84,68000150,0,自分のＳＰ≦１００％＜敵＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＳＰが$R１００％以下になると$R敵に向けて行動を起こす,0,0,2,100,3,0,0
#パートナーのMPが○％以下だったら,,,,,,,,,,,,,,,,,,,,,,,,,
85,68000160,0,自分のＭＰ≦１０％＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＭＰが$R１０％以下になると$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が$R変更されます。,0,0,3,10,1,0,0
86,68000161,0,自分のＭＰ≦２０％＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＭＰが$R２０％以下になると$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が$R変更されます。,0,0,3,20,1,0,0
87,68000162,0,自分のＭＰ≦３０％＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＭＰが$R３０％以下になると$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が$R変更されます。,0,0,3,30,1,0,0
88,68000163,0,自分のＭＰ≦４０％＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＭＰが$R４０％以下になると$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が$R変更されます。,0,0,3,40,1,0,0
89,68000164,0,自分のＭＰ≦５０％＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＭＰが$R５０％以下になると$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が$R変更されます。,0,0,3,50,1,0,0
90,68000165,0,自分のＭＰ≦６０％＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＭＰが$R６０％以下になると$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が$R変更されます。,0,0,3,60,1,0,0
91,68000166,0,自分のＭＰ≦７０％＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＭＰが$R７０％以下になると$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が$R変更されます。,0,0,3,70,1,0,0
92,68000167,0,自分のＭＰ≦８０％＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＭＰが$R８０％以下になると$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が$R変更されます。,0,0,3,80,1,0,0
