#PICTＩＤ,モンスター名,上半身,下半身,靴,顔,髪型,帽子,髪飾り,髪飾り,髪飾り,髪飾り,顔飾り,右すね,肩パット,肩パット,胸アクセサリ,右手,左手,背負い,左すね,右足甲,しっぽ,付け髪,付け髪,付け髪,付け髪,右手,左足甲,左手,腰,腰追加分,SPP,常時エフェクトＩＤ,攻撃エフェクトＩＤ,トレイルエフェクトＩＤ,下半身1,下半身2,下半身3,
#,,,ピース,ピース,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,
#,,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,SPP,MRB,MRB,MRB,MRB,MRB,MRB,
10000950,ドプルル,1000_00_00_70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10000951,レプルル,1000_00_00_71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10000952,ミプルル,1000_00_00_72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10000953,ファプルル,1000_00_00_73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10000954,ソプルル,1000_00_00_74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10000955,ラプルル,1000_00_00_75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10000956,シプルル,1000_00_00_76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10001000,メタリカ,1000_00_00_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10001100,奇跡のプルル,1000_00_00_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10001400,プルル（テスト１）,1000_00_00_14,
10001600,プルル（テスト２）,1000_00_00_16,
10005000,さくらプルル,1000_00_00_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10005100,ラッキープルル,1000_00_00_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10006100,金色のプルル,1000_00_00_61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10010000,コッコー,1001_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10010100,コケトリス,1001_00_00_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10010400,コッコーA,1001_00_00_04,
10010800,コッコーB,1001_00_00_08,
10011400,コッコーC,1001_00_00_14,
10015000,バジリコッケ,1001_00_00_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10020000,ドラッキー,1002_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10020100,ドラッキー　赤,1002_00_00_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10020200,ドラッキー　紫,1002_00_00_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10020700,ドラッキー　黄,1002_00_00_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10020900,ドラッキー　黒,1002_00_00_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10021000,ドラッキー　灰,1002_00_00_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10021400,ドラッキー　新色,1002_00_00_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10030000,ベア,1003_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10030100,ケイブベア,1003_00_00_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10030400,ポーラーベア,1003_00_00_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10030500,グリーンモンス,1003_00_00_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10030700,デザートビースト,1003_00_00_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10030900,ブラックベア,1003_00_00_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10030901,最強の魔獣,1003_00_00_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10030902,最強の魔獣,1003_00_00_51,
10030903,ダークベア,1003_00_00_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10040000,キラービー,1004_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10040100,ワスプ,1004_00_00_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10040200,クイーンビー,1004_00_00_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10040300,シャインビー,1004_00_00_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10040900,キラービー　黒,1004_00_00_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10041500,キラービー　赤,1004_00_00_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10042000,ポイズンホーネット,1004_00_00_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10050000,クローラー,1005_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10050100,キャタピラー,1005_00_00_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10050200,エルダーワーム,1005_00_00_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
#10050400,ラルバ（marionettepictのパイレーツとIDが重複）,1005_00_00_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10050401,ラルバ,1005_00_00_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10050800,サンドクローラー,1005_00_00_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10052000,グラッシーワーム,1005_00_00_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10055000,ジャージーワーム,1005_00_00_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10056000,岩つきクローラー,1005_00_00_60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10060000,フライフィッシュ,1006_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10060100,トロピカルフィッシュ（赤）,1006_00_00_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10060200,スイムフィッシュ,1006_00_00_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10060600,フライフィッシュ　黄緑,1006_00_00_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10061000,フライフィッシュ　灰？,1006_00_00_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10062000,キャンディーフィッシュ,1006_00_00_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10070000,アーチン,1007_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10070001,パンプチン,1007_00_01_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10070050,アーチン（アルマ用）,1007_00_00_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10070100,ランドアーチン,1007_00_00_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10070200,トルピード,1007_00_00_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10070300,クラュシュアイス,1007_00_00_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10070400,エッジ,1007_00_00_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10070600,サラダアーチン,1007_00_00_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10070700,モーニングスター,1007_00_00_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10070800,タンカー,1007_00_00_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10070900,キャビアーチン,1007_00_00_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10071000,メタルアーチン,1007_00_00_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10071200,ゴールドアーチン,1007_00_00_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10080000,ローパー,1008_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10080100,テンタクル,1008_00_00_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10080800,ローパー（橙）,1008_00_00_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10080900,ローパー（赤黒）,1008_00_00_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10081500,イソギンチャク,1008_00_00_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10082000,ヌマギンチャク,1008_00_00_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10100000,アルカナスペード,1010_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10100100,アルカナハート,1010_00_00_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10100200,アルカナダイヤ,1010_00_00_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10100300,アルカナクラブ,1010_00_00_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10110000,ウィリー・ドゥ,1011_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10110100,ウィリー・ドゥ　赤,1011_00_00_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10110200,ミニー・ドゥ,1011_00_00_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10110400,ウィリー・ドゥ　白？,1011_00_00_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10111000,ウィリー・ドゥ　灰,1011_00_00_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10111300,シナモン,1011_00_00_13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10115000,鮮血のチェリー,1011_00_00_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10120000,バウ,1012_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10120100,クリムゾンバウ,1012_00_00_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10120400,クリムゾンバウ　青,1012_00_00_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10120700,デザートバウ,1012_00_00_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10120800,バウ　黄,1012_00_00_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10121000,バウ　灰,1012_00_00_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10121500,バウ　桃,1012_00_00_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10122000,ブチバウ・ダミー,1012_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10130000,ローキー,1013_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10130100,ケイブローキー,1013_00_00_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10130400,ホワイトファング,1013_00_00_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10130700,グレイハウンド,1013_00_00_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10136000,白狼,1013_00_00_60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10136009,白狼Ｂ,1013_00_00_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10136010,白狼Ａ,1013_00_00_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10136011,黒狼,1013_00_00_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10136050,灰狼,1013_00_00_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10136900,冥王,1013_00_00_61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10136901,魔狼,1013_00_00_62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10136902,冥王,1013_00_00_63,
10139000,ローキー（アルマ化前）,1013_00_00_90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10139100,草原の狼,1013_00_00_91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10140000,ギーゴ,1014_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10140300,ギーゴ　青,1014_00_00_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10140400,サンダーバード,1014_00_00_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10140700,ギーゴ　黄,1014_00_00_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10140800,ギーゴ　橙,1014_00_00_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10140900,ナイトストーク,1014_00_00_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10141200,ギーゴ　茶,1014_00_00_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10141300,ギーゴ(白,1014_00_00_13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10145000,フレースヴェルグ,1014_00_00_50,
10145100,ヴィゾーフニル,1014_00_00_51,
10146000,ロック鳥,1014_00_00_60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10146010,ロック鳥Ａ,1014_00_00_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10146014,ロック鳥Ｂ,1014_00_00_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10150000,ゼレブ,1015_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10150090,ウマ（年賀用）,1015_00_00_90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10151200,うま,1015_00_00_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10152000,ドリーミーポニー,1015_00_00_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10155000,ソーラーゼレブ,1015_00_00_13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10180000,リヴィングデッド,1018_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10180100,エヴィルデッド,1018_00_00_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10180500,ルブナン,1018_00_00_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10181000,リヴィングデッド　灰,1018_00_00_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10181100,リヴィングデッド　青,1018_00_00_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10190000,スケルトン,1019_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10190100,スケルトンラピエレ,1019_00_00_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10190101,スパルトイ,1019_00_00_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10200000,マミー,1020_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10200100,マミー　赤,1020_00_00_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10200200,マミー　紫,1020_00_00_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10200300,マミー  青,1020_00_00_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10200400,マミー　薄青,1020_00_00_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10200700,マミー　テスト,1020_00_00_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10210000,土蜘蛛,1021_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10210100,土蜘蛛　赤,1021_00_00_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10210200,コガネグモ,1021_00_00_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10210900,土蜘蛛　黒,1021_00_00_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10211000,土蜘蛛　灰,1021_00_00_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10211400,土蜘蛛　白,1021_00_00_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10211500,土蜘蛛　桃,1021_00_00_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10212000,ステンドスパイダー,1021_00_00_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10212100,土蜘蛛　紫,1021_00_00_21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10220000,ウィスプ,1022_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7710,,7713,null,null,null,
10220100,ランタン,1022_00_00_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7710,,7713,null,null,null,
10220200,ウィスプ　紫,1022_00_00_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7710,,7713,null,null,null,
10220300,ウィスプ　黒,1022_00_00_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7710,,7713,null,null,null,
10220500,フォトン,1022_00_00_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7710,,7713,null,null,null,
10220700,プービー,1022_00_00_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7710,,7713,null,null,null,
10221000,ウィスプ　灰,1022_00_00_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7710,,7713,null,null,null,
10221500,ウィスプ　桃,1022_00_00_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7710,,7713,null,null,null,
10222000,ネコマタ・ダミー,1022_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7713,null,null,null,
10225000,フォースバレット,1022_00_00_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7710,,7713,null,null,null,
10240000,使い魔,1024_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10240200,使い魔(紫,1024_00_00_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10240300,使い魔　薄青,1024_00_00_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10240400,白い使い魔,1024_00_00_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10240600,使い魔　黄緑,1024_00_00_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10241000,黒い使い魔,1024_00_00_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10241400,使い魔(白,1024_00_00_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10250000,デス,1025_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10250100,ブラッディー,1025_00_00_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10250400,デス　青,1025_00_00_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10250500,デス　緑,1025_00_00_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10251000,デス　灰,1025_00_00_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10251100,デス　テスト,1025_00_00_11,
10251200,デス　茶,1025_00_00_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019,null,null,null,
10260000,ネコマタ,1026_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10260001,ネコマタ,1026_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10260003,ネコマタ(菫),1026_00_00_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10260004,ネコマタ(茜),1026_00_00_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10260005,ネコマタ(杏),1026_00_00_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10260006,ネコマタ(空),1026_00_00_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10260007,ネコマタ（転生桃）,1026_00_00_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10260008,ネコマタ（転生緑）,1026_00_00_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10260050,ネコマタ（緑）,1026_00_00_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10260051,ネコマタ(藍),1026_00_00_51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10260052,ネコマタ（山吹）,1026_00_00_52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10260054,ネコマタ（藍）用黒セーラー,1026_00_00_54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10260056,ネコマタ（杏セーラー）,1026_00_00_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10260057,ネコマタ（藍羽衣）,1026_00_00_53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10260058,ネコマタ（桃）キティラー服,1026_00_00_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10260059,ネコマタ服緑（カントリー）,1026_00_00_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10260060,ネコマタ白（トップモデル）,1438_00_00_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10260061,ネコマタ（山吹）用和装,1026_00_00_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10260062,ネコマタ（茜）用ハロウィン服,1026_00_00_13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10260063,ネコマタ（空）用怪盗服,1026_00_00_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10260064,ネコマタ（菫）用おめかしワンピ,1026_00_00_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10260065,ネコマタ（桃）用おでかけパーカー,1026_00_00_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10260066,ネコマタ（茜）用チャイナドレス,1026_00_00_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10260067,ネコマタ（杏）,1026_00_00_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10260068,ネコマタ(白)用ウェディングドレス,1438_00_00_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10260069,ネコマタ（空）用さざなみのワンピ,1026_00_00_21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10260070,ネコマタ（緑）用戦闘制服,1026_00_00_22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10260071,ネコマタ（菫）用着物ワンピ,1026_00_00_19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10260072,ネコマタ用カボチャマント,1026_00_00_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
