# イベントナビゲーション設定ファイル,,,,,,,,,,,,,#【cl_scriptdata】naviinfo.csvは、N列～ED列まで0を代入,,,,,,,# ナビ不可能条件に設定した項目が対象者と一致すると、ナビ一覧に含まれません。（太字?赤字）,,,,,,,,,# ナビ不可能条件フラグに1を設定した項目が対象者と一致すると、ナビ一覧に含まれません。（太字?赤字）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,# ナビ発生条件フラグに0を設定した項目が対象者と一致すると、ナビ一覧に含まれません。（太字?赤字）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,基本情報,,,,,,,"対象 (WorldMap：マップ表示に必要  NpcMap/NpcID：npc表示に必要  座標X,座標Y：矢印表示に必要)",,,,,クリア条件,,,,クリア報酬,,,ナビ不可能条件,,,ナビ不可能条件(性別),,ナビ不可能条件(種族),,,,ナビ不可能条件フラグ(職業),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ナビ発生条件,,,,,ナビ発生条件フラグ(職業),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ナビ内容,,,,備考
# ナビID,カテゴリ,イベント,項目,難易度,ヒントイベントID,進行度,完了,WorldMap,NpcMap,NpcID,座標X,座標Y,クリア条件Flag,レベル,職業レベル,Fame,報酬済Flag,アイテムID,Gold,クリア済みFlag1,クリア済みFlag2,クリア済みFlag3,男,女,エミル,タイタニア,ドミニオン,DEM,ノービス,ソードマン,ブレマス,バウンテ,フェンサ,ナイト,ダークスト,スカウト,アサシン,コマンド,アーチャ,ストライ,ガンナー,ウィザ,ソーサラ,セージ,シャーマン,エレメン,エンチャン,ウァテス,ドルイド,バード,ウォーロ,カバリ,ネクロマ,タタラベ,ブラスミ,マシンナ,ファーマ,アルケミ,マリオネ,レンジャ,エクスプ,トレジャ,マーチャ,トレーダ,ギャンブラー,グラディエイター,ガーディアン,イレイザー,ホークアイ,フォースマスター,アストラリスト,カーディナル,ソウルテイカー,マエストロ,ハーヴェスト,ストライダー,ロイヤルディーラー,ジョーカー,クリア済Flag,レベル,職業レベル,名声値(Fame),転生回数(Generation),ノービス,ソードマン,ブレマス,バウンテ,フェンサ,ナイト,ダークスト,スカウト,アサシン,コマンド,アーチャ,ストライ,ガンナー,ウィザ,ソーサラ,セージ,シャーマン,エレメン,エンチャン,ウァテス,ドルイド,バード,ウォーロ,カバリ,ネクロマ,タタラベ,ブラスミ,マシンナ,ファーマ,アルケミ,マリオネ,レンジャ,エクスプ,トレジャ,マーチャ,トレーダ,ギャンブラー,グラディエイター,ガーディアン,イレイザー,ホークアイ,フォースマスター,アストラリスト,カーディナル,ソウルテイカー,マエストロ,ハーヴェスト,ストライダー,ロイヤルディーラー,ジョーカー,カテゴリ,イベント,目的,項目内容,
#チュートリアル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#第一章 原初之光,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19900010,1,2,9,1,,5,0,10024000,30010000,19000013,208,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,第一章 原初之光,市长货物被劫事件（一）,把物品带到阿克罗波利斯城商业区的咖啡馆里,原来市长是个可爱的美腿妹纸！这么可爱的妹纸又是技术宅真是太不科学了！真想看看她本人穿「学校泳装♀」的样子啊！,
19900011,1,2,10,1,,5,0,10024000,30010000,19000013,208,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,第一章 原初之光,市长货物被劫事件（一）,把物品带到阿克罗波利斯城商业区的咖啡馆里,嗯？刚才可爱的市长妹叫我做什么来着？好像告诉了我一个非常可疑的密码！,
19900012,1,2,11,1,,5,1,10024000,30010000,19000013,208,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,第一章 原初之光,市长货物被劫事件（一）,把物品带到阿克罗波利斯城商业区的咖啡馆里,总之，先去「阿克罗波利斯城商业区」的咖啡馆完成会长交代给我的委托吧。,
19900013,1,3,1,1,,5,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,第一章 原初之光,市长货物被劫事件（二）,在【阿克罗波利斯城】完成一些委托,唔，原来这个游戏还有委托这种系统啊！啧，不就是之前的咖啡馆任务吗！！！那就完成一些吧。,
19900014,1,3,2,1,EVT90000306_10000155,5,0,10057000,30002001,11000678,94,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,第一章 原初之光,市长货物被劫事件（二）,去 东国 取回市长的货物,负责人说桥已经修好了，就是说可以去东国了吗？萌妹市长告诉我的密码是 “噼里啪啦马猴烧酒”。,
19900015,1,3,3,1,EVT90000306_10000156,5,0,10057000,30002001,11000678,94,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,第一章 原初之光,市长货物被劫事件（二）,去 东国 取回市长的货物,真是奇怪的密码呢。越是奇怪就说明货物越贵重！于是这个密码要说给谁听呢？找某间小房子里的迷之团接待员？,
19900016,1,3,4,1,EVT90000306_10000157,5,0,10062000,30156002,19000012,180,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,第一章 原初之光,市长货物被劫事件（二）,回去找唐卡市市长。,这要我如何吐槽！要我如何吐槽！！！找了半天哈子卡西的说出了那个奇怪的密码之后，神秘人嗖的一声不见了\(^o^)/……,
19900017,1,3,5,1,,5,0,10062000,30156002,19000012,180,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,第一章 原初之光,市长货物被劫事件（二）,回去找唐卡市市长。,回去看看萌萌的市长，平息平息我这受到极度蛋疼的小心灵吧...,
19900018,1,3,6,1,EVT90000306_10000170,5,0,10062000,30151001,19000000,92,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,第一章 原初之光,市长货物被劫事件（二）,去找冒险会长,看见萌萌的会长，果然心情就平息下来了呢，去找会长吧！,
19900019,1,3,7,1,EVT90000306_10000180,5,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,第一章 原初之光,市长货物被劫事件（二）,帮诺森、法伊斯特冒险公会分会解决委托。,向会长说明了情况后，会长表示事情看来并不简单。世界接二连三的发生各种奇怪的事情，难道是有什么契机吗？,
19900020,1,3,8,1,EVT90000306_10000181,0,1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,第一章 原初之光,市长货物被劫事件（二）,帮诺森、法伊斯特冒险公会分会解决委托。,飞向诺森和法伊斯特的飞空航班已经恢复运营了，那就去那边解决委托吧。,
19900021,1,4,1,2,EVT90000306_10000182,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,第一章 原初之光,诡异的遗迹,前往神秘遗迹进行调查。（建议组队）,乘坐唐卡机场的特殊航班，前往神秘遗迹进行调查。(建议组队),
19900022,1,4,2,2,EVT90000306_10000183,0,1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,第一章 原初之光,诡异的遗迹,第一章剧情完毕。,第一章剧情完毕。,
