#目前就是这个样子了 图章掉落禁止有数字以外的字符出现! 例如actcube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##,,,,体格,,,特殊情報,,,設定,基本パラメータ,,,,,,,,ステータス,,,,物理攻撃,,,魔法攻撃,,防御力,,,,ダメージ減少,,命中,,,回避,,,クリティカル,,,,攻撃速度,,,属性値,,,,,,,状態異常耐性,,,,,,,,,思考ID(通常）,,,,,,,,,,思考(出現),,思考ID(瀕死),,,,,,,,,,思考(終焉）,,カスタムAIID,,,,,,スキルリスト,,,,,,,,,,,,,,,経験値,,,,ドロップ,ドロップアイテム,,,,,,,,,旅人のメモ,,パーティ
#ID,名前,PICTID,種別ＩＤ,幅,長さ,スケール,飛行,アンデッド,モーションセット番号,LV,腕力,魔力,体力,器用,敏捷,知性,運,魅力,HP,SP,MP,速度,最小,最大,タイプ,最小,最大,物理－,物理％,魔法－,魔法％,物理ダメージ(％),魔法ダメージ(％),近接,遠隔,魔法,近接,遠隔,魔法,発生,回避,回復力,魔回復力,物理,詠唱,射程,無,火,水,風,土,光,闇,毒,石化,麻痺,睡眠,沈黙,鈍足,混乱,氷結,気絶,ID１,確率,ID2,確率,ID3,確率,ID4,確率,ID5,確率,ID,確率,ID１,確率,ID2,確率,ID3,確率,ID4,確率,ID5,確率,ID,確率,AIID1,確率1,AIID2,確率2,AIID3,確率3,攻撃スキル加算倍率,ＩＤ１,確率,ＩＤ２,確率,ＩＤ３,確率,ＩＤ４,確率,減少HP%分加算スキル,確率,減少HP%分減算スキル,確率,出現時使用スキルID,死亡時使用スキルID,EXP,JOB,WRP,信頼度,ID,アイテムID1,アイテムID2,アイテムID3,アイテムID4,アイテムID5,アイテムID6,アイテムID7,ID8（スタンプ）,ＩＤ8確率,掲載フラグ,解放ID,イベントフラグ
#0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
10000010,アビス·プルル,10000000,PLANT_NODEATH_NOTPTDROPRANGE,1,1,1,0,0,0,110,79,12,25,33,99,28,50,18,1000,201,201,200,395,126,BLOW,417,241,260,104,344,27,335,175,352,101,190,332,102,447,438,205,460,493,170,342,312,0,0,0,0,0,0,0,92,70,103,60,82,68,44,62,107,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600000,600000,0,0,5,P_10150800,P_10150800,P_10150800,P_10150800,P_10150800,P_10150800,P_10150800,0,0,0,1162,0
10000011,アビス·プルル,10000000,PLANT_NODEATH_NOHIDING_NOTPTDROPRANGE,1,1,1,0,0,0,110,90,61,72,45,88,18,30,26,1000,201,201,218,225,382,BLOW,371,394,362,44,477,26,306,352,140,258,432,258,306,145,388,212,206,148,111,276,329,0,0,0,0,0,0,0,80,48,11,65,103,37,58,42,82,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200000,1200000,0,0,5,P_10150800,P_10150800,P_10150800,P_10150800,P_10150800,P_10150800,P_10150800,0,0,0,1162,0
10000012,アビス·プルル,10000000,PLANT_NODEATH_NOHIDING_NOTPTDROPRANGE,1,1,1,0,0,0,110,16,45,80,85,73,25,107,38,1000,201,201,177,205,158,BLOW,323,284,482,61,173,102,391,451,285,469,253,430,385,215,435,149,214,248,302,214,286,0,0,0,0,0,0,0,95,92,10,47,44,89,80,83,59,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500000,3500000,0,0,3,P_10150800,P_10150800,P_10150800,P_10150800,P_10150800,P_10150800,P_10150800,0,0,0,1162,0
10000013,アビス·プルル,10000000,PLANT_NODEATH_NOHIDING_NOTPTDROPRANGE,1,1,1,0,0,0,110,79,19,82,106,99,105,53,17,1000,201,201,338,348,385,BLOW,306,395,277,55,215,35,457,450,327,156,151,297,191,354,283,171,248,154,260,472,351,0,0,0,0,0,0,0,99,107,97,82,99,20,101,72,90,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000000,5000000,0,0,10,P_10150900,P_10150900,P_10150900,P_10150900,P_10150900,P_10150900,P_10150900,0,0,0,1162,0
10000014,プルル,10000000,PLANT,1,1,1,0,0,0,1,11,64,88,63,64,80,50,78,1000,201,201,367,311,267,BLOW,267,290,433,36,194,70,463,353,158,430,296,404,484,313,462,478,242,231,200,337,284,0,0,0,0,0,0,0,34,73,91,98,31,54,57,82,83,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,6,10000104,10032800,10153300,10032803,0,10034507,10034508,10050900,0,2,719,0
10000100,红色皮露露,10000100,PLANT,1,1,1,0,0,0,21,21,15,20,17,20,11,1,1,210,0,0,210,28,34,BLOW,6,11,20,10,58,10,0,0,54,102,60,32,0,200,3,14,100,1,304,200,1,0,20,0,0,0,0,0,0,0,255,0,0,0,0,0,255,23,100,0,0,0,0,0,0,0,0,0,0,23,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7508,100,0,0,0,0,0,0,0,0,0,0,0,0,86,112,0,0,4,null,10032800,10034507,10034508,null,10032801,10034505,10050908,0,1,175,0
10000101,无限回廊的红色皮露露,10000100,PLANT,1,1,1,0,0,0,9,50,50,50,50,50,50,50,50,60,1000,1000,350,15,21,BLOW,0,0,16,10,22,15,0,0,65,0,40,40,0,31,1,1,100,1,200,200,1,0,0,0,0,0,0,0,21,168,105,42,0,0,255,255,126,23,100,0,0,0,0,0,0,0,0,0,0,23,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,,0,1,531,0
10000102,土黄色皮露露,10000100,PLANT,1,1,1,0,0,0,10,1,1,1,1,1,1,1,1,50,0,0,200,5,7,BLOW,1,1,300,96,300,96,0,0,5,95,10,0,0,200,3,1,100,1,200,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10011100,null,null,null,null,null,null,10050900,0,2,609,0
10000103,D-红色皮露露,10000100,PLANT,1,1,1.2,0,0,0,90,50,50,50,50,50,50,50,50,8500,999,999,350,400,430,BLOW,300,360,200,25,250,40,0,0,280,200,200,90,0,200,15,30,100,1,400,350,1,0,0,0,20,0,0,0,0,0,255,0,0,0,0,0,255,4,50,9,20,14,30,0,0,0,0,0,0,4,50,9,20,14,30,0,0,0,0,0,0,0,0,0,0,0,0,0,7512,40,7510,20,7511,20,0,20,0,0,0,0,0,0,8580,8268,0,0,40,10000503,10000108,10000102,10014855,10067300,null,10014855,,0,1,33,0
10000104,D-红色皮露露,10000100,PLANT,1,1,1.2,0,0,0,90,50,50,50,50,50,50,50,50,8500,999,999,350,400,430,BLOW,300,360,200,25,250,40,0,0,280,200,200,90,0,200,15,30,100,1,400,350,1,0,0,0,20,0,0,0,0,0,255,0,0,0,0,0,255,4,50,9,20,14,30,0,0,0,0,0,0,4,50,9,20,14,30,0,0,0,0,0,0,0,0,0,0,0,0,0,7512,40,7510,20,7511,20,0,20,0,0,0,0,0,0,12870,12402,0,0,40,10000503,10000108,10000102,10014855,10067300,null,10014855,,0,0,33,0
10000105,回廊育成場のオーカージェリー,10000100,PLANT,1,1,1,0,0,0,9,89,24,79,107,49,18,21,78,1000,201,201,249,257,109,BLOW,105,131,341,80,427,26,272,248,115,308,494,215,428,160,299,396,477,293,352,238,378,0,0,0,0,0,0,0,59,60,78,95,25,24,68,84,59,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,null,null,null,null,null,null,null,null,0,1,1089,0
10000200,魔法皮露露,10000200,PLANT,1,1,1,0,0,0,15,20,14,18,17,19,10,1,1,110,44,49,220,18,21,BLOW,24,30,16,12,70,45,0,0,31,100,51,20,0,200,2,6,100,1,200,560,1,0,0,0,0,0,50,0,0,0,0,0,255,0,255,0,0,16,88,9,12,0,0,0,0,0,0,0,0,16,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7519,75,7571,25,0,0,0,0,0,0,0,0,0,0,30,27,0,0,3,null,10002202,10032800,10032802,null,10034508,10034505,10050907,0,1,577,0
10000201,魔法沙包,10000200,PLANT,1,1,1,0,0,0,10,0,0,0,0,0,0,0,0,9999,1,1,200,1,1,BLOW,50,50,0,0,50,50,0,0,0,1,100,1,0,100,1,50,100,1,0,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,100,0,0,0,0,0,0,0,0,0,0,14,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7567,50,7577,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,null,null,null,null,null,null,null,,0,0,0,0
10000202,皮露露驱逐者,10000200,ELEMENT,1,1,1,0,0,0,1,20,14,18,17,19,10,1,1,120,44,49,480,18,26,BLOW,30,60,10,1,30,3,0,0,60,120,30,0,0,0,3,6,100,1,200,560,1,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,91,100,0,0,0,0,0,0,0,0,0,0,91,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,null,null,null,null,null,null,null,,0,0,0,0
10000203,D-魔法皮露露,10000200,PLANT,1,1,0.8,0,0,0,105,85,85,85,85,85,85,85,85,36000,999,999,380,500,540,BLOW,570,610,270,15,380,65,0,0,260,260,330,110,0,200,5,10,100,1,320,530,1,0,0,0,0,0,60,0,200,100,200,200,255,200,255,100,250,14,30,15,30,14,20,7,20,0,0,0,0,14,30,15,30,14,20,7,20,0,0,0,0,0,0,0,0,0,0,0,7520,35,7571,30,7549,20,0,15,0,0,0,0,0,0,36000,35000,0,0,40,10000501,10000603,10000508,10014251,10067300,null,10014251,,0,1,83,0
10000204,D-魔法皮露露,10000200,PLANT,1,1,0.8,0,0,0,105,85,85,85,85,85,85,85,85,36000,999,999,380,500,540,BLOW,570,610,270,15,380,65,0,0,260,260,330,110,0,200,5,10,100,1,320,530,1,0,0,0,0,0,60,0,200,100,200,200,255,200,255,100,250,14,30,15,30,14,20,7,20,0,0,0,0,14,30,15,30,14,20,7,20,0,0,0,0,0,0,0,0,0,0,0,7520,35,7571,30,7549,20,0,15,0,0,0,0,0,0,54000,52500,0,0,40,10000501,10000603,10000508,10014251,10067300,null,10014251,,0,0,83,0
10000205,ハイダスター,10000200,ELEMENT,1,1,1.5,0,0,0,67,25,108,20,66,44,41,37,98,1000,201,201,225,440,277,BLOW,408,490,470,26,415,67,388,494,195,216,166,223,162,368,337,453,487,485,484,246,310,0,0,0,0,0,0,0,60,76,43,70,91,43,103,17,42,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14450,14445,0,0,3,null,10032802,10011209,null,10067320,null,10067320,,0,1,1011,0
10000300,咕露露,10000300,PLANT,1,1,1,0,0,0,10,17,11,14,16,17,9,1,1,75,0,0,260,12,16,BLOW,12,16,23,18,27,30,0,0,17,98,31,9,0,200,2,2,100,1,224,320,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,255,0,1,80,9,20,0,0,0,0,0,0,0,0,9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7511,100,0,0,0,0,0,0,0,0,0,0,0,0,16,17,0,0,3,null,10000210,10001800,10019900,null,10032804,10034507,10050903,0,1,225,0
10000301,冰冻的皮露露,10001400,PLANT,1,1,1.2,0,0,0,42,17,11,14,16,17,9,1,1,900,0,0,260,140,155,BLOW,190,230,0,0,0,0,0,0,150,130,31,10,0,100,3,1,100,1,224,320,1,0,0,50,0,0,0,0,0,0,0,0,0,0,0,255,0,7,80,9,20,0,0,0,0,0,0,0,0,7,80,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7852,50,7511,50,0,0,0,0,0,0,0,0,0,0,907,1025,0,0,3,null,10000210,10001800,10019900,null,10032804,10034507,,0,1,480,0
10000302,凶猛的皮露露,10000300,PLANT,1,1,1.2,0,0,0,36,17,11,14,16,17,9,1,1,650,0,0,295,100,130,BLOW,138,159,84,18,70,28,0,0,106,105,92,52,0,106,7,7,100,1,250,250,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,255,0,24,60,34,40,0,0,0,0,0,0,0,0,24,40,34,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7516,70,7549,30,0,0,0,0,0,0,0,0,0,0,288,324,0,0,3,null,10001800,10032803,P_10032803,null,P_10032803,P_10032803,,0,0,0,0
10000303,D-冰冻的皮露露,10001400,PLANT,1,1,0.8,0,0,0,107,85,85,85,85,85,85,85,85,59000,999,999,390,610,650,BLOW,660,710,350,35,250,30,0,0,310,300,340,160,0,200,1,1,100,1,400,580,1,0,0,50,0,0,0,0,250,255,200,150,255,150,150,255,250,15,50,32,50,0,0,0,0,0,0,0,0,15,50,32,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7518,35,7843,25,7584,20,0,20,0,0,0,0,0,0,62000,60000,0,0,40,10000603,10000501,10000508,10014251,10067300,null,10014251,,0,1,78,0
10000304,D-冰冻的皮露露,10001400,PLANT,1,1,0.8,0,0,0,107,85,85,85,85,85,85,85,85,59000,999,999,390,610,650,BLOW,660,710,350,35,250,30,0,0,310,300,340,160,0,200,1,1,100,1,400,580,1,0,0,50,0,0,0,0,250,255,200,150,255,150,150,255,250,15,50,32,50,0,0,0,0,0,0,0,0,15,50,32,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7518,35,7843,25,7584,20,0,20,0,0,0,0,0,0,93000,90000,0,0,40,10000603,10000501,10000508,10014251,10067300,null,10014251,,0,0,78,0
10000305,クーリッシュ,10000300,PLANT,1,1,1.5,0,0,0,72,96,95,72,88,69,73,43,70,1000,201,201,222,170,261,BLOW,260,310,410,60,354,77,331,411,480,310,463,288,497,189,111,131,476,388,337,125,269,0,0,20,0,0,0,0,55,95,29,59,16,94,41,55,106,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19000,18000,0,0,2,null,10032804,10006200,10046700,null,10046700,null,,0,1,1026,0
10000306,育成場のクール,10000300,PLANT,1,1,1,0,0,0,60,11,66,36,14,53,70,23,53,1000,201,201,212,193,448,BLOW,139,159,333,14,386,80,481,353,309,394,471,343,223,203,274,146,299,187,417,263,418,0,0,20,0,0,0,0,102,39,62,73,91,53,46,39,26,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,null,null,null,null,null,null,null,null,0,1,1090,0
10000400,乳白皮露露,10000400,PLANT,1,1,1,0,0,0,6,13,9,10,14,15,7,1,1,41,0,0,250,9,12,BLOW,9,12,7,5,30,8,0,0,13,97,20,2,0,200,2,3,100,1,200,200,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80,9,20,0,0,0,0,0,0,0,0,9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7513,100,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,17,null,10002200,10008450,90000045,10032811,10019900,90000045,10050901,0,1,525,0
10000401,无限回廊的乳白皮露露,10000400,PLANT,1,1,1,0,0,0,18,50,50,50,50,50,50,50,50,322,1000,1000,380,31,42,BLOW,69,76,47,10,61,10,0,0,75,0,60,21,0,24,1,1,100,1,200,200,1,0,0,20,0,0,0,0,21,168,105,42,168,105,255,255,126,23,100,0,0,0,0,0,0,0,0,0,0,23,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7511,100,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,,0,1,687,0
10000402,乳白皮露露,10000400,PLANT_BOMB_BOSS_SKILL,1,1,1,0,0,0,6,13,9,10,14,15,7,1,1,1250,0,0,250,9,12,BLOW,9,12,1,99,1,99,0,0,13,97,20,2,0,200,2,3,100,1,200,200,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80,9,20,0,0,0,0,0,0,0,0,9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7513,100,0,0,0,0,0,0,0,0,9403,0,0,0,7,9,0,0,17,null,null,null,null,null,null,null,,0,0,0,0
10000500,绿色皮露露,10000500,PLANT,1,1,1,0,0,0,12,15,10,13,15,16,8,1,1,80,0,0,210,11,20,BLOW,12,21,13,7,39,15,0,0,22,98,34,12,0,200,2,6,100,1,244,256,1,0,0,0,0,20,0,0,255,0,0,0,0,0,0,0,0,1,80,9,20,0,0,0,0,0,0,0,0,1,70,9,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7500,100,0,0,0,0,0,0,0,0,0,0,0,0,18,17,0,0,17,null,10001903,10003200,90000045,10032805,10003200,10005200,10050906,0,1,230,0
10000501,无限回廊的绿色皮露露,10000500,PLANT,1,1,1,0,0,0,38,50,50,50,50,50,50,50,50,850,1000,1000,300,50,66,BLOW,250,300,59,10,61,10,0,0,150,0,170,17,0,27,1,1,100,1,200,200,1,0,10,0,0,0,0,0,21,189,168,185,136,84,255,255,168,23,100,0,0,0,0,0,0,0,0,0,0,23,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7544,100,0,0,0,0,0,0,0,0,0,0,0,0,80,60,0,0,0,0,0,0,0,0,0,0,,0,1,664,0
10000502,祖母绿皮露露,10000500,PLANT,1,1,1,0,0,0,10,1,1,1,1,1,1,1,1,23,0,0,200,5,7,BLOW,1,1,0,0,0,0,0,0,5,95,10,0,0,200,3,1,100,1,200,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,null,null,10011100,10014850,null,null,null,10050900,0,2,164,0
