#,,,,,,,,,,,,,,
#アイテム設定,,家具のクライアント表示設定,家具設定,倉庫容量,靜止MotionID,使用MotionID,,,,,,,,
#ITEMID,NAME,PICTID,ＥＶＥＮＴＩＤ,タンス枠数,DEFAULTMOTION,Motion1,Motion2,Motion3,Motion4,Motion5,Motion6,Motion7,Motion8,REMARK
31081801,アンテペンディウムの机（白・燭台）,41081801,31080000,0,111,,,,,,,,,
31081802,アンテペンディウムの机（茶）,41081802,31080000,0,111,622,,,,,,,,
31081803,アンテペンディウムの机（白）,41081803,31080000,0,111,622,,,,,,,,
31081900,クラシック・テーブル（白）,41081900,31070000,0,111,622,,,,,,,,
31081901,クラシック・テーブル（茶）,41081901,31070000,0,111,622,,,,,,,,
31081902,クラシック・テーブル（黒）,41081902,31070000,0,111,622,,,,,,,,
31082000,実験器具,41082000,31070000,0,111,622,,,,,,,,
31082300,BABYうさくみゃちゃん（白）,41082300,31080000,0,111,,,,,,,,,
31082301,BABYうさくみゃちゃん（ピンク）,41082301,31080000,0,111,,,,,,,,,
31082302,BABYうさくみゃちゃん（黒）,41082302,31080000,0,111,,,,,,,,,
31082400,ウサギクッション（白）,41082400,31080000,0,111,,,,,,,,,
31082401,ウサギクッション（黒）,41082401,31080000,0,111,,,,,,,,,
31082402,ウサギクッション（茶）,41082402,31080000,0,111,,,,,,,,,
31082500,シンプルな円卓,41082500,31082500,0,111,622,623,,,,,,,
31082600,カフェテーブル（こげ茶・パンケーキ）,41082600,31070000,0,111,622,,,,,,,,
31082601,カフェテーブル（茶・コーヒー）,41082601,31070000,0,111,622,,,,,,,,
31082602,カフェテーブル（白・パスタ）,41082602,31070000,0,111,622,,,,,,,,
31082603,カフェテーブル（赤・ケーキ）,41082603,31070000,0,111,622,,,,,,,,
31082700,テーブルハート,41082700,31080000,0,111,,,,,,,,,
31082800,バーテーブル（茶）,41082800,31080000,0,111,,,,,,,,,
31082801,バーテーブル（茶・模様あり）,41082801,31080000,0,111,,,,,,,,,
31082802,バーテーブル（黒）,41082802,31080000,0,111,,,,,,,,,
31082803,バーテーブル（黒・模様あり）,41082803,31080000,0,111,,,,,,,,,
31082850,コーナーテーブル（茶）,41082850,31080000,0,111,,,,,,,,,
31082851,コーナーテーブル（茶・模様あり）,41082851,31080000,0,111,,,,,,,,,
31082852,コーナーテーブル（黒）,41082852,31080000,0,111,,,,,,,,,
31082853,コーナーテーブル（黒・模様あり）,41082853,31080000,0,111,,,,,,,,,
31082900,チャイナテーブルセット,41082900,31080000,0,111,,,,,,,,,
31083000,チャイナテーブル,41083000,31080000,0,111,,,,,,,,,
31083100,ハスの葉テーブル,41083100,31080000,0,111,,,,,,,,,
31083200,丸テーブル（ブラウン）,41083200,31080000,0,111,,,,,,,,,
31083201,丸テーブル（ベージュ）,41083201,31080000,0,111,,,,,,,,,
31083202,丸テーブル（マホガニー）,41083202,31080000,0,111,,,,,,,,,
31083203,丸テーブル（ブラック）,41083203,31080000,0,111,,,,,,,,,
31083300,団欒のテーブル,41083300,31080000,0,111,,,,,,,,,
31083400,Ｌ字型実験台（器具あり・ブラウン）,41083400,31080000,0,111,,,,,,,,,
31083401,Ｌ字型実験台（器具あり・マホガニー）,41083401,31080000,0,111,,,,,,,,,
31083410,Ｌ字型実験台（器具なし・ブラウン）,41083410,31080000,0,111,,,,,,,,,
31083411,Ｌ字型実験台（器具なし・マホガニー）,41083411,31080000,0,111,,,,,,,,,
31083500,漆塗のテーブルセット（赤）,41083500,31070000,0,111,622,,,,,,,,
31083501,漆塗のテーブルセット（黒）,41083501,31070000,0,111,622,,,,,,,,
31083600,ガーデン用テーブル＆チェア（白）,41083600,31080000,0,111,,,,,,,,,
31083601,ガーデン用テーブル＆チェア（黒）,41083601,31080000,0,111,,,,,,,,,
31083700,ガーデン用テーブル（白）,41083700,31080000,0,111,,,,,,,,,
31083701,ガーデン用テーブル（黒）,41083701,31080000,0,111,,,,,,,,,
31083800,ベーカリーテーブルセット（茶）,41083800,31070000,0,111,622,,,,,,,,
31083801,ベーカリーテーブルセット（こげ茶）,41083801,31070000,0,111,622,,,,,,,,
31083900,ブリーフィング机（椅子有・茶）,41083900,31083900,0,111,621,622,623,,,,,,
31083901,ブリーフィング机（椅子有・黒）,41083901,31083900,0,111,621,622,623,,,,,,
31083910,ブリーフィング机（椅子無・茶）,41083910,31083900,0,111,621,622,623,,,,,,
31083911,ブリーフィング机（椅子無・黒）,41083911,31083900,0,111,621,622,623,,,,,,
31084000,ブリーフィング机（角型・椅子有・茶）,41084000,31083900,0,111,621,622,623,,,,,,
31084001,ブリーフィング机（角型・椅子有・黒）,41084001,31083900,0,111,621,622,623,,,,,,
31084010,ブリーフィング机（角型・椅子無・茶）,41084010,31083900,0,111,621,622,623,,,,,,
31084011,ブリーフィング机（角型・椅子無・黒）,41084011,31083900,0,111,621,622,623,,,,,,
31084100,ライブバーテーブルセット（青）,41084100,31070000,0,111,622,,,,,,,,
31084101,ライブバーテーブルセット（木目）,41084101,31070000,0,111,622,,,,,,,,
31084200,華麗なる食卓（赤）,41084200,31070000,0,111,622,,,,,,,,
31084201,華麗なる食卓（紺）,41084201,31070000,0,111,622,,,,,,,,
31084210,華麗なる食卓（椅子無・赤）,41084210,31070000,0,111,622,,,,,,,,
31084211,華麗なる食卓（椅子無・紺）,41084211,31070000,0,111,622,,,,,,,,
31084300,折りたたみ長机（Ｓ）,41084300,31070000,0,111,615,616,622,623,624,,,,
31084310,折りたたみ長机（Ｍ）,41084310,31070000,0,111,615,616,622,623,624,,,,
31084311,即売会机,41084500,31080000,0,111,615,616,622,623,624,,,,但是看不出分別
31084312,即売会机（新刊有）,41084501,31080000,0,111,615,616,622,623,624,,,,但是看不出分別
31084313,即売会机（うりきれ）,41084502,31080000,0,111,615,616,622,623,624,,,,但是看不出分別
31084320,折りたたみ長机（Ｌ）,41084320,31070000,0,111,615,616,622,623,624,,,,
31084400,アンティークミシン（黒）,41084400,31070000,0,111,622,,,,,,,,
31084401,アンティークミシン（赤茶）,41084401,31070000,0,111,622,,,,,,,,
31130110,ねこの足跡,41130110,31080000,0,111,,,,,,,,,
31130200,タペストリー,41130200,31080000,0,111,,,,,,,,,
31130201,タペストリー（ココッコー）,41130201,31080000,0,111,,,,,,,,,
31130202,タペストリー（タイニー）,41130202,31080000,0,111,,,,,,,,,
31130205,タペストリー（草花）,41130205,31080000,0,111,,,,,,,,,
31130207,タペストリー（レース）,41130207,31080000,0,111,,,,,,,,,
31130208,タペストリー（ソードマン）,41130208,31080000,0,111,,,,,,,,,
31130209,タペストリー（フェンサー）,41130209,31080000,0,111,,,,,,,,,
31130210,タペストリー（スカウト）,41130210,31080000,0,111,,,,,,,,,
31130211,タペストリー（アーチャー）,41130211,31080000,0,111,,,,,,,,,
31130212,タペストリー（スペルユーザー）,41130212,31080000,0,111,,,,,,,,,
31130213,タペストリー（タタラベ）,41130213,31080000,0,111,,,,,,,,,
31130214,タペストリー（マシンナリー）,41130214,31080000,0,111,,,,,,,,,
31130215,タペストリー（ファーマー）,41130215,31080000,0,111,,,,,,,,,
31130216,タペストリー（アルケミスト）,41130216,31080000,0,111,,,,,,,,,
31130217,タペストリー（マリオネスト）,41130217,31080000,0,111,,,,,,,,,
31130218,タペストリー（レンジャー）,41130218,31080000,0,111,,,,,,,,,
31130219,タペストリー（マーチャント）,41130219,31080000,0,111,,,,,,,,,
31130224,ネルフのタペストリー,41130224,31080000,0,111,,,,,,,,,
31130227,くまのペナント,41130227,31080000,0,111,,,,,,,,,
31090000,丸太の椅子,41090000,31080000,0,111,,,,,,,,,
31090001,丸太の椅子（赤）,41090001,31080000,0,111,,,,,,,,,
31090002,丸太の椅子（青）,41090002,31080000,0,111,,,,,,,,,
31090100,ウッディーな椅子,41090100,31080000,0,111,,,,,,,,,
31090101,ウッディーな椅子（鉄板）,41090101,31080000,0,111,,,,,,,,,
31090102,ウッディーな椅子（タイル）,41090102,31080000,0,111,,,,,,,,,
31090200,ピクニックチェアー,41090200,31080000,0,111,,,,,,,,,
31090201,ピクニックチェアー（青白）,41090201,31080000,0,111,,,,,,,,,
31090202,ピクニックチェアー（タイニー）,41090202,31080000,0,111,,,,,,,,,
31090300,安楽椅子,41090300,31070000,0,111,622,,,,,,,,
31090301,安楽椅子（黒）,41090301,31070000,0,111,622,,,,,,,,
31090302,安楽椅子（白）,41090302,31070000,0,111,622,,,,,,,,
31090400,オシャレな椅子,41090400,31080000,0,111,,,,,,,,,
31090401,オシャレな椅子（黄）,41090401,31080000,0,111,,,,,,,,,
31090402,オシャレな椅子（黒）,41090402,31080000,0,111,,,,,,,,,
31090500,きのこな椅子,41090500,31080000,0,111,,,,,,,,,
31090600,峠茶屋の椅子,41090600,31080000,0,111,,,,,,,,,
31090700,パンダ椅子,41090700,31080000,0,111,,,,,,,,,
31090800,洋式トイレ（赤）,41090800,31070000,0,111,622,,,,,,,,
31090801,洋式トイレ（緑）,41090801,31070000,0,111,622,,,,,,,,
31090900,サルノコシカケ,41090900,31080000,0,111,,,,,,,,,
31091000,白木のベンチ,41091000,31080000,0,111,,,,,,,,,
31091100,シンプルスツール,41091100,31080000,0,111,,,,,,,,,
31091200,シンプルロングスツール,41091200,31080000,0,111,,,,,,,,,
31091300,高級ソファー,41091300,31080000,0,111,,,,,,,,,
31091400,サウスベンチ,41091400,31080000,0,111,,,,,,,,,
31091500,シンプルベンチ（青）,41091500,31080000,0,111,,,,,,,,,
31091600,シンプルベンチ（木彫）,41091600,31080000,0,111,,,,,,,,,
31091700,ノーザンベンチ（青）,41091700,31080000,0,111,,,,,,,,,
31091800,ノーザンベンチ（赤）,41091800,31080000,0,111,,,,,,,,,
31091900,ドレッサーチェアー,41091900,31080000,0,111,,,,,,,,,
31092000,アトラクションチェアー,41092000,31080000,0,111,,,,,,,,,
31092100,プリティフリルソファ（白）,41092100,31080000,0,111,,,,,,,,,
31092101,プリティフリルソファ（水色）,41092101,31080000,0,111,,,,,,,,,
31092102,プリティフリルソファ（ピンク）,41092102,31080000,0,111,,,,,,,,,
31092103,プリティフリルソファ（黒）,41092103,31080000,0,111,,,,,,,,,
31092200,クラシック・ソファ（水色）,41092200,31080000,0,111,,,,,,,,,
31092201,クラシック・ソファ（桃）,41092201,31080000,0,111,,,,,,,,,
31092202,クラシック・ソファ（黒）,41092202,31080000,0,111,,,,,,,,,
31092300,青春の夏空,41092300,31092300,0,111,622,,,,,,,,
31092400,探偵の安楽椅子（茶）,41092400,31070000,0,111,622,,,,,,,,
31092401,探偵の安楽椅子（黒）,41092401,31070000,0,111,622,,,,,,,,
31092500,サイバーチェア（白）,41092500,31080000,0,111,,,,,,,,,
31092501,サイバーチェア（黒）,41092501,31080000,0,111,,,,,,,,,
31092600,Ｌ字型ソファ（赤）,41092600,31080000,0,111,,,,,,,,,
31092601,Ｌ字型ソファ（青）,41092601,31080000,0,111,,,,,,,,,
31092700,パークベンチ,41092700,31080000,0,111,,,,,,,,,
31092800,ハートソファ,41092800,31080000,0,111,,,,,,,,,
31093000,チャイナ椅子,41093000,31080000,0,111,,,,,,,,,
31093100,名門学園の机（ブラウン）,41093100,31080000,0,111,,,,,,,,,
31093101,名門学園の机（マホガニー）,41093101,31080000,0,111,,,,,,,,,
31093200,名門学園の机（椅子無・ブラウン）,41093200,31080000,0,111,,,,,,,,,
31093201,名門学園の机（椅子無・マホガニー）,41093201,31080000,0,111,,,,,,,,,
31092900,ソファー（茶）,41092900,31080000,0,111,,,,,,,,,
31092901,ソファー（黒）,41092901,31080000,0,111,,,,,,,,,
31092902,ソファー（桃）,41092902,31080000,0,111,,,,,,,,,
31093300,ガーデン用チェア（白）,41093300,31080000,0,111,,,,,,,,,
31093301,ガーデン用チェア（黒）,41093301,31080000,0,111,,,,,,,,,
31093400,丸太の椅子（二人掛け）,41093400,31080000,0,111,,,,,,,,,
31093410,丸太の椅子（一人掛け）,41093410,31080000,0,111,,,,,,,,,
31093500,ゆったりロッキングチェア（茶）,41093500,31070000,0,111,622,,,,,,,,
31093501,ゆったりロッキングチェア（こげ茶）,41093501,31070000,0,111,622,,,,,,,,
31093600,人工樹の腰掛け（ブルー）,41093600,31080000,0,111,,,,,,,,,
31093601,人工樹の腰掛け（グリーン）,41093601,31080000,0,111,,,,,,,,,
31093700,ブリーフィング椅子（黒）,41093700,31080000,0,111,,,,,,,,,
31093701,ブリーフィング椅子（グレー）,41093701,31080000,0,111,,,,,,,,,
31093800,ワイングラスチェアー（赤）,41093800,31080000,0,111,,,,,,,,,
31093801,ワイングラスチェアー（紫）,41093801,31080000,0,111,,,,,,,,,
31093900,パイプ椅子,41093900,31070000,0,111,622,,,,,,,,
31094000,華麗なる食卓の椅子（紺）,41094000,31080000,0,111,,,,,,,,,
31094001,華麗なる食卓の椅子（赤）,41094001,31080000,0,111,,,,,,,,,
31094100,鳥の巣ソファー（ホワイト）,41094100,31070000,0,111,622,,,,,,,,
31094101,鳥の巣ソファー（ピンク）,41094101,31070000,0,111,622,,,,,,,,
31100000,うえきばち,41100000,31080000,0,111,,,,,,,,,
31100001,うえきばち（橙）,41100001,31080000,0,111,,,,,,,,,
31100002,うえきばち（黄）,41100002,31080000,0,111,,,,,,,,,
31100100,プランター,41100100,31080000,0,111,,,,,,,,,
31100101,プランター（橙）,41100101,31080000,0,111,,,,,,,,,
31100102,プランター（紫）,41100102,31080000,0,111,,,,,,,,,
31100200,れんがポット,41100200,31080000,0,111,,,,,,,,,
31100201,れんがポット（橙）,41100201,31080000,0,111,,,,,,,,,
31100202,れんがポット（黄）,41100202,31080000,0,111,,,,,,,,,
31100300,花壇（白）,41100300,31080000,0,111,,,,,,,,,
31100301,花壇（赤）,41100301,31080000,0,111,,,,,,,,,
31100302,花壇（紫）,41100302,31080000,0,111,,,,,,,,,
31100303,花壇（青）,41100303,31080000,0,111,,,,,,,,,
31100304,花壇（水色）,41100304,31080000,0,111,,,,,,,,,
31100308,花壇（黄）,41100308,31080000,0,111,,,,,,,,,
31100400,丸いタイル花壇,41100400,31080000,0,111,,,,,,,,,
31100500,小さなタイル花壇,41100500,31080000,0,111,,,,,,,,,
31100600,タイル花壇,41100600,31080000,0,111,,,,,,,,,
31100700,トンカ花瓶,41100700,31080000,0,111,,,,,,,,,
31100800,観葉植物,41100800,31080000,0,111,,,,,,,,,
31100900,大きなタイル花壇,41100900,31080000,0,111,,,,,,,,,
31101000,想い出の桜の木,41101000,31070000,0,111,622,,,,,,,,
31101100,伝説の木,41101100,31080000,0,111,,,,,,,,,
31101200,カーネーションの壁掛け花瓶,41101200,31080000,0,111,,,,,,,,,
31101300,サンゴツリー,41101300,31070000,0,111,622,,,,,,,,燈
31101315,サンゴツリー（白）,41101315,31070000,0,111,622,,,,,,,,燈
31101400,鉢,41101400,31101400,0,111,131,111,121,122,120,130,150,621,131-137裁種用道具
31101500,トピアリーツリー,41101500,31101500,0,111,140,120,130,,,,,,可用庭師技修剪
31101600,銀杏の樹,41101600,31070000,0,111,622,,,,,,,,
31101650,森の木,41101650,31070000,0,111,622,,,,,,,,
31101700,ひまわり畑,41101700,31080000,0,111,,,,,,,,,
31101800,農家の畑,41101800,31080000,0,111,,,,,,,,,
31101900,海底の岩,41101900,31070000,0,111,,,,,,,,,
31102000,スパイダーツリー,41102000,31070000,0,111,622,,,,,,,,
31102100,サボテン,41102100,31080000,0,111,,,,,,,,,
31102200,やしの木,41102200,31080000,0,111,,,,,,,,,
31102300,アジサイ（水色）,41102300,31080000,0,111,,,,,,,,,
31102301,アジサイ（紫）,41102301,31080000,0,111,,,,,,,,,
31102302,アジサイ（青）,41102302,31080000,0,111,,,,,,,,,
31102303,アジサイ（白）,41102303,31080000,0,111,,,,,,,,,
31102304,アジサイ（ピンク）,41102304,31080000,0,111,,,,,,,,,
31102400,松の木,41102400,31080000,0,111,,,,,,,,,
31102500,常若のりんごの木,41102500,31080000,0,111,,,,,,,,,
31102600,夢幻の花（家具）,41102600,31080000,0,111,,,,,,,,,
31102700,藤棚,41102700,31080000,0,111,,,,,,,,,
31102701,藤棚（白）,41102701,31080000,0,111,,,,,,,,,
31102702,藤棚（黄）,41102702,31080000,0,111,,,,,,,,,
31102800,ティル・ナ・ノグの入り口,41102800,31102800,0,111,622,,,,,,,,
31102900,花樹の腰掛け,41102900,31070000,0,111,622,,,,,,,,
31102901,花樹の腰掛け（ピンク）,41102901,31070000,0,111,622,,,,,,,,
31102902,花樹の腰掛け（青）,41102902,31070000,0,111,622,,,,,,,,
31103000,ホログラムフラワー,41103000,31070000,0,111,622,,,,,,,,
31103100,シンプルツリー１,41103100,31080000,0,111,,,,,,,,,
31103200,シンプルツリー２,41103200,31080000,0,111,,,,,,,,,
31103300,リゾート風観葉植物,41103300,31080000,0,111,,,,,,,,,
31103400,バオバブの樹,41103400,31080000,0,111,,,,,,,,,
31103500,一軒家の柵,41103500,31080000,0,111,,,,,,,,,
31103501,一軒家の柵（×３）,41103501,31080000,0,111,,,,,,,,,
31103502,一軒家の柵（×６）,41103502,31080000,0,111,,,,,,,,,
31103503,一軒家の柵（サークル）,41103503,31080000,0,111,,,,,,,,,
31103600,黒魔術の花（黒）,41103600,31070000,0,111,622,,,,,,,,
31103601,黒魔術の花（白）,41103601,31070000,0,111,622,,,,,,,,
31103602,黒魔術の花（黄）,41103602,31070000,0,111,622,,,,,,,,
31103603,黒魔術の花（橙）,41103603,31070000,0,111,622,,,,,,,,
31103604,黒魔術の花（蒼）,41103604,31070000,0,111,622,,,,,,,,
31103605,黒魔術の花（桃）,41103605,31070000,0,111,622,,,,,,,,
31103700,まきばの果樹（ぶどう）,41103700,31080000,0,111,,,,,,,,,
31103701,まきばの果樹（りんご）,41103701,31080000,0,111,,,,,,,,,
31103702,まきばの果樹（オレンジ）,41103702,31080000,0,111,,,,,,,,,
31103800,神秘の聖杯,41103800,31103800,0,111,622,,,,,,,,
31103900,苔生した石垣,41103900,31080000,0,111,,,,,,,,,
31103901,苔生した石垣（×３）,41103901,31080000,0,111,,,,,,,,,
31103902,苔生した石垣（×６）,41103902,31080000,0,111,,,,,,,,,
31103903,苔生した石垣（サークル）,41103903,31080000,0,111,,,,,,,,,
31104000,鉄壁の水路閣（灰）,41104000,31080000,0,111,,,,,,,,,
31104010,鉄壁の水路閣（灰・×３）,41104010,31080000,0,111,,,,,,,,,
31104020,鉄壁の水路閣（灰・×６）,41104020,31080000,0,111,,,,,,,,,
31104030,鉄壁の水路閣（灰・サークル）,41104030,31080000,0,111,,,,,,,,,
31104001,鉄壁の水路閣（白）,41104001,31080000,0,111,,,,,,,,,
31104011,鉄壁の水路閣（白・×３）,41104011,31080000,0,111,,,,,,,,,
31104021,鉄壁の水路閣（白・×６）,41104021,31080000,0,111,,,,,,,,,
31104031,鉄壁の水路閣（白・サークル）,41104031,31080000,0,111,,,,,,,,,
31104002,鉄壁の水路閣（黒）,41104002,31080000,0,111,,,,,,,,,
31104012,鉄壁の水路閣（黒・×３）,41104012,31080000,0,111,,,,,,,,,
31104022,鉄壁の水路閣（黒・×６）,41104022,31080000,0,111,,,,,,,,,
31104032,鉄壁の水路閣（黒・サークル）,41104032,31080000,0,111,,,,,,,,,
31104100,幻想ビオトープ（緑）,41104100,31070000,0,111,622,,,,,,,,
31104101,幻想ビオトープ（茶）,41104101,31070000,0,111,622,,,,,,,,
31104102,幻想ビオトープ（黒）,41104102,31070000,0,111,622,,,,,,,,
31104200,トコトコ（小）,41104200,31070000,0,111,622,,,,,,,,
31104201,トコトコ（中）,41104200,31070000,0,111,622,,,,,,,,
31104202,トコトコ（大）,41104200,31070000,0,111,622,,,,,,,,
31104300,ブルブル（小）,41104300,31070000,0,111,622,,,,,,,,
31104301,ブルブル（中）,41104300,31070000,0,111,622,,,,,,,,
31104302,ブルブル（大）,41104300,31070000,0,111,622,,,,,,,,
31104400,オロオロ（小）,41104400,31070000,0,111,622,,,,,,,,
31104401,オロオロ（中）,41104400,31070000,0,111,622,,,,,,,,
31104402,オロオロ（大）,41104400,31070000,0,111,622,,,,,,,,
31104500,ヤイヤイ（小）,41104500,31070000,0,111,622,,,,,,,,
31104501,ヤイヤイ（中）,41104500,31070000,0,111,622,,,,,,,,
31104502,ヤイヤイ（大）,41104500,31070000,0,111,622,,,,,,,,
31104600,禁断の魔導書,41104600,31070000,0,111,622,,,,,,,,
31104700,カーマインツリー（大）,41104700,31080000,0,111,,,,,,,,,
31104800,カーマインツリー（小）,41104800,31080000,0,111,,,,,,,,,
31104900,カーマイングラス（緑）,41104900,31080000,0,111,,,,,,,,,
31104910,カーマイングラス（赤）,41104910,31080000,0,111,,,,,,,,,
31104920,カーマイングラス（細・赤）,41104920,31080000,0,111,,,,,,,,,
31105000,彼岸花（赤）,41105000,31080000,0,111,,,,,,,,,
31105001,彼岸花（白）,41105001,31080000,0,111,,,,,,,,,
31105100,ハロウィンオーナメント（飾りあり）,41105100,31080000,0,111,,,,,,,,,
31105101,ハロウィンオーナメント（飾りなし）,41105101,31080000,0,111,,,,,,,,,
31105200,クラシックなレンガ壁（白）,41105200,31080000,0,111,,,,,,,,,
