# イリスガチャウィンドウリスト設定ファイル,,,,
#ID,番号,弾名,ページ,ITEMID
# 無課金用,,,,
# イリスカード第１弾,,,,
1,10,第１０弾,13,16003310
1,10,第１０弾,13,16003311
# 第１１弾,,,,
1,11,第１１弾,14,16003313
1,11,第１１弾,14,16003300
1,11,第１１弾,14,16003310
1,11,第１１弾,14,16003311
# 第１２弾,,,,
1,12,第１２弾,16,16003313
1,12,第１２弾,16,16003300
1,12,第１２弾,16,16003310
1,12,第１２弾,16,16003311
# 第１３弾,,,,
1,13,第１３弾,17,16003313
1,13,第１３弾,17,16003300
1,13,第１３弾,17,16003310
1,13,第１３弾,17,16003311
# 第１４弾,,,,
1,14,第１４弾,18,16003313
1,14,第１４弾,18,16003300
1,14,第１４弾,18,16003310
1,14,第１４弾,18,16003311
# 第１５弾,,,,
1,15,第１５弾,19,16003313
1,15,第１５弾,19,16003300
1,15,第１５弾,19,16003310
1,15,第１５弾,19,16003311
# 第１６弾,,,,
1,16,第１６弾,20,16003313
1,16,第１６弾,20,16003300
1,16,第１６弾,20,16003310
1,16,第１６弾,20,16003311
# 第１７弾,,,,
1,17,第１７弾,21,16003313
1,17,第１７弾,21,16003300
1,17,第１７弾,21,16003310
1,17,第１７弾,21,16003311
# 第１８弾,,,,
1,18,第１８弾,23,16003313
1,18,第１８弾,23,16003300
1,18,第１８弾,23,16003310
1,18,第１８弾,23,16003311
# 第１９弾,,,,
1,19,第１９弾,25,16003313
1,19,第１９弾,25,16003300
1,19,第１９弾,25,16003310
1,19,第１９弾,25,16003311
# 第２０弾,,,,
1,20,第２０弾,26,16003313
1,20,第２０弾,26,16003300
1,20,第２０弾,26,16003310
1,20,第２０弾,26,16003311
# 第２１弾,,,,
1,21,第２１弾,27,16003313
1,21,第２１弾,27,16003300
1,21,第２１弾,27,16003310
1,21,第２１弾,27,16003311
# 第２２弾,,,,
1,22,第２２弾,30,16003313
1,22,第２２弾,30,16003300
1,22,第２２弾,30,16003310
1,22,第２２弾,30,16003311
# 第２３弾,,,,
1,23,第２３弾,32,16003313
1,23,第２３弾,32,16003300
1,23,第２３弾,32,16003310
1,23,第２３弾,32,16003311
# 第２４弾,,,,
1,24,第２４弾,33,16003313
1,24,第２４弾,33,16003300
1,24,第２４弾,33,16003310
1,24,第２４弾,33,16003311
# 第２５弾,,,,
1,25,第２５弾,34,16003313
1,25,第２５弾,34,16003300
1,25,第２５弾,34,16003310
1,25,第２５弾,34,16003311
# 第２６弾,,,,
1,26,第２６弾,36,16003313
1,26,第２６弾,36,16003300
1,26,第２６弾,36,16003310
1,26,第２６弾,36,16003311
# 第２７弾,,,,
1,27,第２７弾,37,16003313
1,27,第２７弾,37,16003300
1,27,第２７弾,37,16003310
1,27,第２７弾,37,16003311
# 第２８弾,,,,
1,28,第２８弾,38,16003313
1,28,第２８弾,38,16003300
1,28,第２８弾,38,16003310
1,28,第２８弾,38,16003311
# 第２９弾,,,,
1,29,第２９弾,40,16003313
1,29,第２９弾,40,16003300
1,29,第２９弾,40,16003310
1,29,第２９弾,40,16003311
# 第３０弾,,,,
1,30,第３０弾,42,16003313
1,30,第３０弾,42,16003300
1,30,第３０弾,42,16003310
1,30,第３０弾,42,16003311
# 第３１弾,,,,
1,31,第３１弾,43,16003313
1,31,第３１弾,43,16003300
1,31,第３１弾,43,16003310
1,31,第３１弾,43,16003311
# 第３２弾,,,,
1,32,第３２弾,45,16003313
1,32,第３２弾,45,16003300
1,32,第３２弾,45,16003310
1,32,第３２弾,45,16003311
# 第３３弾,,,,
1,33,第３３弾,47,16003313
1,33,第３３弾,47,16003300
1,33,第３３弾,47,16003310
1,33,第３３弾,47,16003311
# 第３４弾,,,,
1,34,第３４弾,49,16003313
1,34,第３４弾,49,16003300
1,34,第３４弾,49,16003310
1,34,第３４弾,49,16003311
# 第３５弾,,,,
1,35,第３５弾,50,16003313
1,35,第３５弾,50,16003300
1,35,第３５弾,50,16003310
1,35,第３５弾,50,16003311
# 第３６弾,,,,
1,36,第３６弾,51,16003313
1,36,第３６弾,51,16003300
1,36,第３６弾,51,16003310
1,36,第３６弾,51,16003311
# 第３７弾,,,,
1,37,第３７弾,53,16003313
1,37,第３７弾,53,16003300
1,37,第３７弾,53,16003310
1,37,第３７弾,53,16003311
# 第３８弾,,,,
1,38,第３８弾,55,16003313
1,38,第３８弾,55,16003300
1,38,第３８弾,55,16003310
1,38,第３８弾,55,16003311
# 第３９弾,,,,固定（確定）
1,39,第３９弾,56,16003313
1,39,第３９弾,56,16003300
1,39,第３９弾,56,16003310
1,39,第３９弾,56,16003311
