#髪型設定ファイル,,,,,,,,,
#アイテムの髪設定,,,,,ウィンドウ表示メッセージ,,,,
#アイテムID,性別,髪型ID,髪型オプションID,管理グループ,髪型名,オプション名,髪型変更前NPCセリフ,髪型変更後NPCセリフ,備考
10020706,1,5,4,0,アップで三つ編みにしてリボンをつける,なし,……はっ……！$Rお、お客様はひょっとして$R『セレブの紹介状』を$Rお持ちになってるかい？…じゃなかった$R$Rお持ちになってらっしゃいますか？$R$R$R光栄です。$Rぜひ、やつがれにお客様のおぐしを$R整えさせてもらえませんか？,…おっ、お美しい…$R……はっ……！$Rし、失礼しました。$Rまたのご用命を$R心よりお待ち申し上げております。,セレブの紹介状
10020706,1,6,3,1,三つ編みにしてリボンをつける,なし,……はっ……！$Rお、お客様はひょっとして$R『セレブの紹介状』を$Rお持ちになってるかい？…じゃなかった$R$Rお持ちになってらっしゃいますか？$R$R$R光栄です。$Rぜひ、やつがれにお客様のおぐしを$R整えさせてもらえませんか？,…おっ、お美しい…$R……はっ……！$Rし、失礼しました。$Rまたのご用命を$R心よりお待ち申し上げております。,セレブの紹介状
10020706,1,5,22,2,左で三つ編みにしてリボンをつける,なし,……はっ……！$Rお、お客様はひょっとして$R『セレブの紹介状』を$Rお持ちになってるかい？…じゃなかった$R$Rお持ちになってらっしゃいますか？$R$R$R光栄です。$Rぜひ、やつがれにお客様のおぐしを$R整えさせてもらえませんか？,…おっ、お美しい…$R……はっ……！$Rし、失礼しました。$Rまたのご用命を$R心よりお待ち申し上げております。,セレブの紹介状
10020706,1,5,23,3,右で三つ編みにしてリボンをつける,なし,……はっ……！$Rお、お客様はひょっとして$R『セレブの紹介状』を$Rお持ちになってるかい？…じゃなかった$R$Rお持ちになってらっしゃいますか？$R$R$R光栄です。$Rぜひ、やつがれにお客様のおぐしを$R整えさせてもらえませんか？,…おっ、お美しい…$R……はっ……！$Rし、失礼しました。$Rまたのご用命を$R心よりお待ち申し上げております。,セレブの紹介状
10020706,1,5,24,4,左サイドで結ぶ,なし,……はっ……！$Rお、お客様はひょっとして$R『セレブの紹介状』を$Rお持ちになってるかい？…じゃなかった$R$Rお持ちになってらっしゃいますか？$R$R$R光栄です。$Rぜひ、やつがれにお客様のおぐしを$R整えさせてもらえませんか？,…おっ、お美しい…$R……はっ……！$Rし、失礼しました。$Rまたのご用命を$R心よりお待ち申し上げております。,セレブの紹介状
10020706,1,5,25,5,右サイドで結ぶ,なし,……はっ……！$Rお、お客様はひょっとして$R『セレブの紹介状』を$Rお持ちになってるかい？…じゃなかった$R$Rお持ちになってらっしゃいますか？$R$R$R光栄です。$Rぜひ、やつがれにお客様のおぐしを$R整えさせてもらえませんか？,…おっ、お美しい…$R……はっ……！$Rし、失礼しました。$Rまたのご用命を$R心よりお待ち申し上げております。,セレブの紹介状
10020706,1,5,20,6,左で三つ編みにする,なし,……はっ……！$Rお、お客様はひょっとして$R『セレブの紹介状』を$Rお持ちになってるかい？…じゃなかった$R$Rお持ちになってらっしゃいますか？$R$R$R光栄です。$Rぜひ、やつがれにお客様のおぐしを$R整えさせてもらえませんか？,…おっ、お美しい…$R……はっ……！$Rし、失礼しました。$Rまたのご用命を$R心よりお待ち申し上げております。,セレブの紹介状
10020706,1,5,21,7,右で三つ編みにする,なし,……はっ……！$Rお、お客様はひょっとして$R『セレブの紹介状』を$Rお持ちになってるかい？…じゃなかった$R$Rお持ちになってらっしゃいますか？$R$R$R光栄です。$Rぜひ、やつがれにお客様のおぐしを$R整えさせてもらえませんか？,…おっ、お美しい…$R……はっ……！$Rし、失礼しました。$Rまたのご用命を$R心よりお待ち申し上げております。,セレブの紹介状
10020706,1,5,14,8,両サイドできつく三つ編みにする,なし,……はっ……！$Rお、お客様はひょっとして$R『セレブの紹介状』を$Rお持ちになってるかい？…じゃなかった$R$Rお持ちになってらっしゃいますか？$R$R$R光栄です。$Rぜひ、やつがれにお客様のおぐしを$R整えさせてもらえませんか？,…おっ、お美しい…$R……はっ……！$Rし、失礼しました。$Rまたのご用命を$R心よりお待ち申し上げております。,セレブの紹介状
10020706,1,5,28,9,左できつく三つ編みにする,なし,……はっ……！$Rお、お客様はひょっとして$R『セレブの紹介状』を$Rお持ちになってるかい？…じゃなかった$R$Rお持ちになってらっしゃいますか？$R$R$R光栄です。$Rぜひ、やつがれにお客様のおぐしを$R整えさせてもらえませんか？,…おっ、お美しい…$R……はっ……！$Rし、失礼しました。$Rまたのご用命を$R心よりお待ち申し上げております。,セレブの紹介状
10020706,1,5,29,10,右できつく三つ編みにする,なし,……はっ……！$Rお、お客様はひょっとして$R『セレブの紹介状』を$Rお持ちになってるかい？…じゃなかった$R$Rお持ちになってらっしゃいますか？$R$R$R光栄です。$Rぜひ、やつがれにお客様のおぐしを$R整えさせてもらえませんか？,…おっ、お美しい…$R……はっ……！$Rし、失礼しました。$Rまたのご用命を$R心よりお待ち申し上げております。,セレブの紹介状
10020706,1,5,7,11,ポニーテールにする,なし,……はっ……！$Rお、お客様はひょっとして$R『セレブの紹介状』を$Rお持ちになってるかい？…じゃなかった$R$Rお持ちになってらっしゃいますか？$R$R$R光栄です。$Rぜひ、やつがれにお客様のおぐしを$R整えさせてもらえませんか？,…おっ、お美しい…$R……はっ……！$Rし、失礼しました。$Rまたのご用命を$R心よりお待ち申し上げております。,セレブの紹介状
10020706,1,5,17,12,両サイドでお団子にする,なし,……はっ……！$Rお、お客様はひょっとして$R『セレブの紹介状』を$Rお持ちになってるかい？…じゃなかった$R$Rお持ちになってらっしゃいますか？$R$R$R光栄です。$Rぜひ、やつがれにお客様のおぐしを$R整えさせてもらえませんか？,…おっ、お美しい…$R……はっ……！$Rし、失礼しました。$Rまたのご用命を$R心よりお待ち申し上げております。,セレブの紹介状
10020706,1,5,30,13,左でお団子にする,なし,……はっ……！$Rお、お客様はひょっとして$R『セレブの紹介状』を$Rお持ちになってるかい？…じゃなかった$R$Rお持ちになってらっしゃいますか？$R$R$R光栄です。$Rぜひ、やつがれにお客様のおぐしを$R整えさせてもらえませんか？,…おっ、お美しい…$R……はっ……！$Rし、失礼しました。$Rまたのご用命を$R心よりお待ち申し上げております。,セレブの紹介状
10020706,1,5,31,14,右でお団子にする,なし,……はっ……！$Rお、お客様はひょっとして$R『セレブの紹介状』を$Rお持ちになってるかい？…じゃなかった$R$Rお持ちになってらっしゃいますか？$R$R$R光栄です。$Rぜひ、やつがれにお客様のおぐしを$R整えさせてもらえませんか？,…おっ、お美しい…$R……はっ……！$Rし、失礼しました。$Rまたのご用命を$R心よりお待ち申し上げております。,セレブの紹介状
10020706,1,5,18,15,両サイドでお団子三つ編みにする,なし,……はっ……！$Rお、お客様はひょっとして$R『セレブの紹介状』を$Rお持ちになってるかい？…じゃなかった$R$Rお持ちになってらっしゃいますか？$R$R$R光栄です。$Rぜひ、やつがれにお客様のおぐしを$R整えさせてもらえませんか？,…おっ、お美しい…$R……はっ……！$Rし、失礼しました。$Rまたのご用命を$R心よりお待ち申し上げております。,セレブの紹介状
10020706,1,5,32,16,左でお団子三つ編みにする,なし,……はっ……！$Rお、お客様はひょっとして$R『セレブの紹介状』を$Rお持ちになってるかい？…じゃなかった$R$Rお持ちになってらっしゃいますか？$R$R$R光栄です。$Rぜひ、やつがれにお客様のおぐしを$R整えさせてもらえませんか？,…おっ、お美しい…$R……はっ……！$Rし、失礼しました。$Rまたのご用命を$R心よりお待ち申し上げております。,セレブの紹介状
10020706,1,5,33,17,右でお団子三つ編みにする,なし,……はっ……！$Rお、お客様はひょっとして$R『セレブの紹介状』を$Rお持ちになってるかい？…じゃなかった$R$Rお持ちになってらっしゃいますか？$R$R$R光栄です。$Rぜひ、やつがれにお客様のおぐしを$R整えさせてもらえませんか？,…おっ、お美しい…$R……はっ……！$Rし、失礼しました。$Rまたのご用命を$R心よりお待ち申し上げております。,セレブの紹介状
10020706,1,5,11,18,サイドで結んでヘアゴムでまとめる,なし,……はっ……！$Rお、お客様はひょっとして$R『セレブの紹介状』を$Rお持ちになってるかい？…じゃなかった$R$Rお持ちになってらっしゃいますか？$R$R$R光栄です。$Rぜひ、やつがれにお客様のおぐしを$R整えさせてもらえませんか？,…おっ、お美しい…$R……はっ……！$Rし、失礼しました。$Rまたのご用命を$R心よりお待ち申し上げております。,セレブの紹介状
10020706,1,5,26,19,左で結んでヘアゴムでまとめる,なし,……はっ……！$Rお、お客様はひょっとして$R『セレブの紹介状』を$Rお持ちになってるかい？…じゃなかった$R$Rお持ちになってらっしゃいますか？$R$R$R光栄です。$Rぜひ、やつがれにお客様のおぐしを$R整えさせてもらえませんか？,…おっ、お美しい…$R……はっ……！$Rし、失礼しました。$Rまたのご用命を$R心よりお待ち申し上げております。,セレブの紹介状
10020706,1,5,27,20,右で結んでヘアゴムでまとめる,なし,……はっ……！$Rお、お客様はひょっとして$R『セレブの紹介状』を$Rお持ちになってるかい？…じゃなかった$R$Rお持ちになってらっしゃいますか？$R$R$R光栄です。$Rぜひ、やつがれにお客様のおぐしを$R整えさせてもらえませんか？,…おっ、お美しい…$R……はっ……！$Rし、失礼しました。$Rまたのご用命を$R心よりお待ち申し上げております。,セレブの紹介状
10020753,0,11,-1,0,モヒカン,なし,わぁ～お♪$R$R君は『アニキの紹介状』を$R持っているのかい！？$R$R$Rスーパーなお客様がきたね！$R$Rアクロニア大陸伝説の髪型。$R漢たちのあこがれヘアー。$Rそうっ、アレをセットしてあげよう！,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。$R髪型を変えると壊れてしまうから$R気をつけるんだよ。,アニキの紹介状
10020753,0,12,-1,1,リーゼント,なし,わぁ～お♪$R$R君は『アニキの紹介状』を$R持っているのかい！？$R$R$Rスーパーなお客様がきたね！$R$Rアクロニア大陸伝説の髪型。$R漢たちのあこがれヘアー。$Rそうっ、アレをセットしてあげよう！,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。$R髪型を変えると壊れてしまうから$R気をつけるんだよ。,アニキの紹介状
10020756,1,7,35,0,プリティな髪型,ショートツインテール,わぁ～お♪$R君は『プリティ紹介状』を$R持っているのかい！？$R$R$Rじゃあ君は僕にとって$R特別な特別なお客様だよ！$R$R$R僕のとっておきのテクニックで$R君の髪にスペシャルでフェミニンな$Rセットをしてあげる！$R$R$Rどうだい？$R『プリティ紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,プリティ紹介状
10020756,1,18,-1,1,プリティな髪型,外はねボブ,わぁ～お♪$R君は『プリティ紹介状』を$R持っているのかい！？$R$R$Rじゃあ君は僕にとって$R特別な特別なお客様だよ！$R$R$R僕のとっておきのテクニックで$R君の髪にスペシャルでフェミニンな$Rセットをしてあげる！$R$R$Rどうだい？$R『プリティ紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,プリティ紹介状
10020759,1,19,36,0,ルチルちゃんヘアー,なし,わぁ～お♪$R$R君は『ルチルのヘアカタログ』を$R持っているのかい！？$R$R$Rルチルちゃん、かわいいよね。$R彼女もこのヘアサロンの常連なんだよ。$R$R毎月１回は毛先を整えに来るんだ。$R$R$Rどうだい？$R『ルチルのヘアカタログ』を使って$Rルチルちゃんヘアーにセットするかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,ルチルのヘアカタログ
10020755,0,13,-1,0,ベリアルとおそろい,なし,なんだい、これは？$R$R$R……。$R$R$Rわぁ～～～～～～～～～～～～～ぉ！$R$Rなんって斬新！$Rなんってトロピカル！$Rなんってドラマチック！$R$R$R不思議……、なぜか涙が止まらないよ！$R$Rどっ、どうだろう？$Rこのヘアカタログに載っている髪型を$R試してみないかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,ドミニオンのヘアカタログ
10020755,1,16,-1,1,ルルイエとおそろい,なし,なんだい、これは？$R$R$R……。$R$R$Rわぁ～～～～～～～～～～～～～ぉ！$R$Rなんって斬新！$Rなんってトロピカル！$Rなんってドラマチック！$R$R$R不思議……、なぜか涙が止まらないよ！$R$Rどっ、どうだろう？$Rこのヘアカタログに載っている髪型を$R試してみないかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,ドミニオンのヘアカタログ
10020760,0,19,-1,0,機械時代の髪型,なし,なんだい、これは？$R……『機械時代のヘアカタログ』？$R$R$Rそんな古い時代の髪型なんで$R冗談じゃっ……へぇ～。$R$Rこのカット方法斬新だね！$R$R$Rこれも、使えそうだ！$R$Rうん、うんうんうんうん！$Rいいね、いいねぇ～！$R$R$Rブラッボォ～！$R$Rどっ、どうだろう？$Rこのヘアカタログに載っている髪型を$R試してみないかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,機械時代のヘアカタログ
10020760,1,17,-1,1,機械時代の髪型,なし,なんだい、これは？$R……『機械時代のヘアカタログ』？$R$R$Rそんな古い時代の髪型なんで$R冗談じゃっ……へぇ～。$R$Rこのカット方法斬新だね！$R$R$Rこれも、使えそうだ！$R$Rうん、うんうんうんうん！$Rいいね、いいねぇ～！$R$R$Rブラッボォ～！$R$Rどっ、どうだろう？$Rこのヘアカタログに載っている髪型を$R試してみないかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,機械時代のヘアカタログ
10020761,0,1,38,0,ショート＆エクステ,なし,わぁ～お♪$R$R君は『ちょいかわ紹介状』を$R持っているのかい！？$R$R$Rどうだい？$R『ちょいかわ紹介状』を使って$Rちょいかわになるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,ちょいかわ紹介状
10020761,1,0,38,1,ショート＆エクステ,なし,わぁ～お♪$R$R君は『ちょいかわ紹介状』を$R持っているのかい！？$R$R$Rどうだい？$R『ちょいかわ紹介状』を使って$Rちょいかわになるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,ちょいかわ紹介状
10020761,2,20,37,2,スポーティーポニー,なし,わぁ～お♪$R$R君は『ちょいかわ紹介状』を$R持っているのかい！？$R$R$Rどうだい？$R『ちょいかわ紹介状』を使って$Rちょいかわになるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,ちょいかわ紹介状
10020764,2,21,39,0,縦ロール,なし,わぁ～お♪$R$R君は『ゴージャス紹介状』を$R持っているのかい！？$R$R$Rどうだい？$R『ゴージャス紹介状』を使って$Rゴージャスになるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,ゴージャス紹介状
10020764,2,22,-1,1,正統派おさげ,なし,わぁ～お♪$R$R君は『ゴージャス紹介状』を$R持っているのかい！？$R$R$Rどうだい？$R『ゴージャス紹介状』を使って$Rゴージャスになるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,ゴージャス紹介状
10020765,0,14,-1,0,わんぱくな髪型,なし,わぁ～お♪$R君は『おてんば紹介状』を$R持っているのかい！？$R$R$Rじゃあ君は僕にとって$R特別な特別なお客様だよ！$R$R$R僕のとっておきのテクニックで$R君の髪にスペシャルでフェミニンな$Rセットをしてあげる！$R$R$Rどうだい？$R『おてんば紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,おてんば紹介状
10020765,1,23,40,1,おてんばな髪型,なし,わぁ～お♪$R君は『おてんば紹介状』を$R持っているのかい！？$R$R$Rじゃあ君は僕にとって$R特別な特別なお客様だよ！$R$R$R僕のとっておきのテクニックで$R君の髪にスペシャルでフェミニンな$Rセットをしてあげる！$R$R$Rどうだい？$R『おてんば紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,おてんば紹介状
10020766,0,15,-1,0,おめかしな髪型,なし,わぁ～お♪$R君は『おめかし紹介状』を$R持っているのかい！？$R$R$Rじゃあ君は僕にとって$R特別な特別なお客様だよ！$R$R$R僕のとっておきのテクニックで$R君の髪にスペシャルでフェミニンな$Rセットをしてあげる！$R$R$Rどうだい？$R『おめかし紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,おめかし紹介状
10020766,1,24,41,1,おめかしな髪型,なし,わぁ～お♪$R君は『おめかし紹介状』を$R持っているのかい！？$R$R$Rじゃあ君は僕にとって$R特別な特別なお客様だよ！$R$R$R僕のとっておきのテクニックで$R君の髪にスペシャルでフェミニンな$Rセットをしてあげる！$R$R$Rどうだい？$R『おめかし紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,おめかし紹介状
10020767,0,16,42,0,若さまな髪型,なし,わぁ～お♪$R君は『姫さまの紹介状』を$R持っているのかい！？$R$R$Rじゃあ君は僕にとって$R特別な特別なお客様だよ！$R$R$R僕のとっておきのテクニックで$R君の髪にスペシャルでフェミニンな$Rセットをしてあげる！$R$R$Rどうだい？$R『姫さまの紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,姫さまの紹介状
10020767,1,25,-1,1,姫様の髪型,なし,わぁ～お♪$R君は『姫さまの紹介状』を$R持っているのかい！？$R$R$Rじゃあ君は僕にとって$R特別な特別なお客様だよ！$R$R$R僕のとっておきのテクニックで$R君の髪にスペシャルでフェミニンな$Rセットをしてあげる！$R$R$Rどうだい？$R『姫さまの紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,姫さまの紹介状
10020768,0,17,-1,0,ラブモテな髪型,なし,わぁ～お♪$R君は『ラブモテ紹介状』を$R持っているのかい！？$R$R$Rじゃあ君は僕にとって$R特別な特別なお客様だよ！$R$R$R僕のとっておきのテクニックで$R君の髪にスペシャルでフェミニンな$Rセットをしてあげる！$R$R$Rどうだい？$R『ラブモテ紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,ラブモテ紹介状
10020768,1,26,-1,1,ラブモテな髪型,なし,わぁ～お♪$R君は『ラブモテ紹介状』を$R持っているのかい！？$R$R$Rじゃあ君は僕にとって$R特別な特別なお客様だよ！$R$R$R僕のとっておきのテクニックで$R君の髪にスペシャルでフェミニンな$Rセットをしてあげる！$R$R$Rどうだい？$R『ラブモテ紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,ラブモテ紹介状
10020770,0,18,-1,0,クラシックな髪型,なし,わぁ～お♪$R君は『クラシックな紹介状』を$R持っているのかい！？$R$R$Rじゃあ君は僕にとって$R特別な特別なお客様だよ！$R$R$R僕のとっておきのテクニックで$R君の髪にスペシャルでフェミニンな$Rセットをしてあげる！$R$R$Rどうだい？$R『クラシックな紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,クラシックな紹介状
10020770,1,29,43,1,クラシックな髪型,なし,わぁ～お♪$R君は『クラシックな紹介状』を$R持っているのかい！？$R$R$Rじゃあ君は僕にとって$R特別な特別なお客様だよ！$R$R$R僕のとっておきのテクニックで$R君の髪にスペシャルでフェミニンな$Rセットをしてあげる！$R$R$Rどうだい？$R『クラシックな紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,クラシックな紹介状
10020769,2,28,-1,0,プリンス風セット,なし,わぁ～お♪$R君は『プリンセスの紹介状』を$R持っているのかい！？$R$R$Rじゃあ君は僕にとって$R特別な特別なお客様だよ！$R$R$R僕のとっておきのテクニックで$R君の髪にスペシャルでフェミニンな$Rセットをしてあげる！$R$R$Rどうだい？$R『プリンセスの紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,プリンセスの紹介状
10020769,2,27,45,1,プリンセス風セット,なし,わぁ～お♪$R君は『プリンセスの紹介状』を$R持っているのかい！？$R$R$Rじゃあ君は僕にとって$R特別な特別なお客様だよ！$R$R$R僕のとっておきのテクニックで$R君の髪にスペシャルでフェミニンな$Rセットをしてあげる！$R$R$Rどうだい？$R『プリンセスの紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,プリンセスの紹介状
10074809,2,28,-1,-1,プリンス風セット,なし,わぁ～お♪$R君は『∽プリンセスの紹介状』を$R持っているのかい！？$R$R$Rじゃあ君は僕にとって$R特別な特別なお客様だよ！$R$R$R僕のとっておきのテクニックで$R君の髪にスペシャルでフェミニンな$Rセットをしてあげる！$R$R$Rどうだい？$R『∽プリンセスの紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,∽プリンセスの紹介状
10074809,2,27,45,-2,プリンセス風セット,なし,わぁ～お♪$R君は『∽プリンセスの紹介状』を$R持っているのかい！？$R$R$Rじゃあ君は僕にとって$R特別な特別なお客様だよ！$R$R$R僕のとっておきのテクニックで$R君の髪にスペシャルでフェミニンな$Rセットをしてあげる！$R$R$Rどうだい？$R『∽プリンセスの紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,∽プリンセスの紹介状
