#アイテム合成レシピ設定シート,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#基本設定枠,取得経験値の適正設定枠,,,,合成に必要なスキルや素材アイテム設定枠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#基本情報,取得経験値の適正LV情報,,,,,,,合成に必要な,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,適正BaseLV,,適正JobLV,,,,,料金情報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#通し番号,MIN,MAX,MIN,MAX,スキルID,Lv,スキルID,料金,アイテムID,アイテムID,個数,アイテムID,個数,アイテムID,個数,アイテムID,個数,アイテムID,個数,確率,アイテムID,個数,確率,アイテムID,個数,確率,アイテムID,個数,確率,アイテムID,個数,確率,アイテムID,個数,確率,アイテムID,個数,確率,アイテムID,個数,確率
#アイテム精製LV1(1～20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,5,1,5,2009,1,0,0,0,10014600,1,0,0,0,0,0,0,61010200,10,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,20,25,11,16,2009,1,0,0,10031500,10020000,1,10024000,1,10020407,1,10001550,1,10048200,5,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,5,1,5,2009,1,0,0,0,10007700,4,0,0,0,0,0,0,10053100,1,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,5,1,5,2009,1,0,0,0,10019350,1,0,0,0,0,0,0,10000204,1,90,10000210,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,5,10,8,13,2009,1,0,0,0,10061800,1,0,0,0,0,0,0,10043400,1,60,10061850,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,25,30,10,15,2009,1,0,0,0,10014650,1,10024900,1,10002202,1,0,0,10014651,1,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,25,30,10,15,2009,1,0,0,0,10002202,1,10016701,1,0,0,0,0,10014651,1,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,25,30,10,15,2009,1,0,0,0,10002202,1,10019309,1,0,0,0,0,10014651,1,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,25,30,10,15,2009,1,0,0,0,10002202,1,10014855,1,0,0,0,0,10014651,1,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,25,30,10,15,2009,1,0,0,0,10002202,1,10014301,1,0,0,0,0,10014651,1,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#アイテム精製LV2（21～40）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,5,1,5,2009,2,0,100,0,10002800,1,0,0,0,0,0,0,10003900,1,80,10001250,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,5,1,5,2009,2,0,100,0,10002900,1,0,0,0,0,0,0,10003800,1,80,10001250,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,5,1,5,2009,2,0,100,0,10003000,1,0,0,0,0,0,0,10003900,1,80,10001250,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,5,1,5,2009,2,0,100,0,10003100,1,0,0,0,0,0,0,10003800,1,80,10001250,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,5,1,5,2009,2,0,100,0,10003201,1,0,0,0,0,0,0,10003800,1,80,10001250,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,5,1,5,2009,2,0,100,0,10003300,1,0,0,0,0,0,0,10003900,1,80,10001250,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,5,1,5,2009,2,0,100,0,10003400,1,0,0,0,0,0,0,10003900,1,80,10001250,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,5,1,5,2009,2,0,100,0,10003500,1,0,0,0,0,0,0,10003800,1,80,10001250,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,5,10,4,9,2009,2,0,100,0,10006300,1,0,0,0,0,0,0,10006350,1,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,3,8,3,8,2009,2,0,100,0,10007250,1,0,0,0,0,0,0,10007400,1,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,5,10,4,9,2009,2,0,100,0,10004901,1,0,0,0,0,0,0,10008700,1,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,5,10,4,9,2009,2,0,100,0,10004902,1,0,0,0,0,0,0,10008700,1,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,5,10,4,9,2009,2,0,100,0,10004903,1,0,0,0,0,0,0,10008700,1,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,5,10,4,9,2009,2,0,100,0,10004904,1,0,0,0,0,0,0,10008700,1,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,5,10,4,9,2009,2,0,100,0,10004905,1,0,0,0,0,0,0,10008700,1,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,5,10,4,9,2009,2,0,100,0,10004906,1,0,0,0,0,0,0,10008700,1,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,5,10,4,9,2009,2,0,100,0,10004907,1,0,0,0,0,0,0,10008700,1,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,5,10,4,9,2009,2,0,100,0,10004908,1,0,0,0,0,0,0,10008700,1,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,15,20,9,14,2009,2,0,100,0,10020000,10,10024000,1,10044900,1,0,0,60042300,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,10,15,8,13,2009,2,0,100,0,10001800,5,10100800,5,0,0,0,0,10051905,1,80,10001250,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#アイテム精製LV3（41～100）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1,5,1,5,2009,3,0,1000,0,10005300,4,0,0,0,0,0,0,10005400,1,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,3,8,3,7,2009,3,0,1000,0,10014650,1,0,0,0,0,0,0,10038200,1,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,5,10,8,13,2009,3,0,1000,0,10009350,1,0,0,0,0,0,0,10019807,1,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#43,5,10,8,13,2009,3,0,1000,0,10009350,1,0,0,0,0,0,0,10019807,1,55,10001250,1,10,10019881,1,30,10019882,1,5,0,0,0,0,0,0,0,0,0,0,0,0
44,7,12,8,13,2009,3,0,1000,0,10019807,3,0,0,0,0,0,0,10021303,1,99,10001250,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,3,8,2,6,2009,3,0,1000,0,10035200,1,0,0,0,0,0,0,10038100,1,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,3,8,2,6,2009,3,0,1000,0,10019600,1,0,0,0,0,0,0,10021300,1,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,10,15,8,13,2009,3,0,1000,0,10019601,1,0,0,0,0,0,0,10021400,1,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,10,15,8,13,2009,3,0,1000,0,10020500,1,0,0,0,0,0,0,10019808,1,99,10001250,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,10,15,9,14,2009,3,0,1000,0,10034507,4,0,0,0,0,0,0,10034508,1,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,15,20,8,13,2009,3,0,1000,0,10034508,4,0,0,0,0,0,0,10034505,1,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,3,8,2,6,2009,3,0,1000,0,10000701,3,0,0,0,0,0,0,10035300,1,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,5,10,8,13,2009,3,0,1000,0,10020207,1,0,0,0,0,0,0,10020307,1,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,7,12,8,13,2009,3,0,1000,0,10020307,1,0,0,0,0,0,0,10020000,1,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,16,21,10,15,2009,3,0,1000,0,10020307,2,0,0,0,0,0,0,10020407,1,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2,7,2,6,2009,3,0,1000,0,10003601,1,0,0,0,0,0,0,10001110,1,80,10001250,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#56,2,7,2,6,2009,3,0,1000,0,10003602,1,0,0,0,0,0,0,10001110,1,80,10001250,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#57,2,7,2,6,2009,3,0,1000,0,10003603,1,0,0,0,0,0,0,10001110,1,80,10001250,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,11,16,8,13,2009,3,0,1000,0,10032800,10,10001110,1,0,0,0,0,10032810,1,50,10001250,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,24,29,11,16,2009,3,0,1000,0,10015302,1,10001800,5,0,0,0,0,10008600,5,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1,5,1,5,2009,3,0,1000,0,10005400,1,0,0,0,0,0,0,10005300,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,30,35,15,20,2009,3,0,1000,0,10028300,1,10021301,1,10016300,5,10024003,2,10028000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2,7,2,6,2009,3,0,1000,10031500,10005300,1,0,0,0,0,0,0,10052500,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,2,7,2,6,2009,3,0,1000,0,10019650,1,0,0,0,0,0,0,10019803,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,66,71,31,36,2009,3,0,1000,0,10049500,1,10011210,100,10034600,1,0,0,10049550,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,66,71,31,36,2009,3,0,1000,0,10049500,1,10011209,100,10034600,1,0,0,10049551,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,50,55,20,25,2009,3,0,1000,0,10049550,1,0,0,0,0,0,0,10049500,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,50,55,20,25,2009,3,0,1000,0,10049551,1,0,0,0,0,0,0,10049500,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,7,12,8,13,2009,3,0,1000,0,10006400,1,0,0,0,0,0,0,10006450,1,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,20,25,11,16,2009,3,0,1000,10032100,10020407,1,10032800,4,10016300,1,0,0,10020757,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,30,35,11,16,2009,3,0,1000,0,10028300,1,10021301,5,10016400,5,10024003,5,10028700,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,30,35,11,16,2009,3,0,1000,0,10028400,1,10021301,5,10016400,5,10024003,5,10028800,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,36,41,13,18,2009,3,0,1000,0,10006402,1,0,0,0,0,0,0,10006403,1,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,34,39,13,18,2009,3,0,1000,0,10033350,1,10035400,1,0,0,0,0,10009102,1,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,50,55,20,25,2009,3,0,1000,10023600,10030000,1,0,0,0,0,0,0,10029902,1,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,52,57,30,35,2009,3,0,1000,10023700,10015304,1,0,0,0,0,0,0,10031100,1,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,55,60,30,35,2009,3,0,1000,0,10012551,1,0,0,0,0,0,0,10043401,1,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,2,7,2,6,2009,3,0,5000,0,10048015,50,0,0,0,0,0,0,10048014,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,2,7,2,6,2009,3,0,5000,0,10048016,1,0,0,0,0,0,0,10048014,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,2,7,2,6,2009,3,0,1000,0,10019651,1,0,0,0,0,0,0,10019803,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,15,20,9,14,2009,3,0,5000,0,10011201,1,10088001,1,0,0,0,0,10088100,1,67,10088101,1,3,10001250,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,15,20,9,14,2009,3,0,5000,0,10011203,1,10088001,1,0,0,0,0,10088200,1,67,10088201,1,3,10001250,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,15,20,9,14,2009,3,0,5000,0,10011205,1,10088001,1,0,0,0,0,10088400,1,67,10088401,1,3,10001250,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,15,20,9,14,2009,3,0,5000,0,10011207,1,10088001,1,0,0,0,0,10088300,1,67,10088301,1,3,10001250,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,15,20,9,14,2009,3,0,5000,0,10011209,1,10088001,1,0,0,0,0,10088500,1,67,10088501,1,3,10001250,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,15,20,9,14,2009,3,0,5000,0,10011210,1,10088001,1,0,0,0,0,10088600,1,67,10088601,1,3,10001250,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,5,10,3,7,2009,3,0,1000,0,10088000,5,10001800,1,0,0,0,0,10088001,1,95,10001250,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,25,30,10,15,2009,1,0,0,0,10002202,1,10014251,1,0,0,0,0,10014651,1,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,25,30,10,15,2009,1,0,0,0,10002202,1,10013003,1,0,0,0,0,10014651,1,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,3,8,2,6,2009,3,0,150000,0,10000104,2,0,0,0,0,0,0,10019306,1,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,50,55,20,25,2009,3,0,1000,0,10021301,1,10016300,3,10024003,1,0,0,10028000,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,2,7,2,6,2009,3,0,1000,0,10104900,100,10095700,1,0,0,0,0,10104901,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,2,7,2,6,2009,3,0,1000,0,10104900,100,10097300,1,0,0,0,0,10104902,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,2,7,2,6,2009,3,0,1000,0,10104900,100,10096700,1,0,0,0,0,10104903,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,2,7,2,6,2009,3,0,1000,0,10104900,100,10101500,1,0,0,0,0,10104904,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,2,7,2,6,2009,3,0,1000,0,10104900,100,10094850,1,0,0,0,0,10104905,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,2,7,2,6,2009,3,0,1000,0,10104900,100,10099900,1,0,0,0,0,10104906,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,18,23,10,15,2009,3,0,1000,0,10120300,100,10095700,1,0,0,0,0,10120301,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,18,23,10,15,2009,3,0,1000,0,10120300,100,10097300,1,0,0,0,0,10120302,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,18,23,10,15,2009,3,0,1000,0,10120300,100,10096700,1,0,0,0,0,10120303,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,18,23,10,15,2009,3,0,1000,0,10120300,100,10101500,1,0,0,0,0,10120304,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#高度金属精錬LV1（101～120）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,3,8,2,6,2051,1,0,100,0,10014800,1,0,0,0,0,0,0,10015600,1,99,10020209,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,16,21,8,13,2051,1,0,100,0,10014850,1,0,0,0,0,0,0,10015700,1,99,10020209,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1,5,1,5,2051,1,0,100,0,10014851,1,0,0,0,0,0,0,10015710,1,99,10020209,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,3,8,2,6,2051,1,0,100,0,10014852,1,0,0,0,0,0,0,10015300,1,99,10020209,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,3,8,2,6,2051,1,0,100,0,10014853,1,0,0,0,0,0,0,10014600,1,99,10020209,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,20,25,9,14,2051,1,0,100,0,10014854,1,0,0,0,0,0,0,10015708,1,99,10020209,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,2,7,2,6,2051,1,0,100,0,10020209,10,0,0,0,0,0,0,10015600,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,1,5,1,5,2051,1,0,100,10033100,10015600,1,10000204,1,0,0,0,0,10018001,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,1,5,1,5,2051,1,0,100,10033100,10015710,1,10000204,1,0,0,0,0,10018002,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,1,5,1,5,2051,1,0,100,10033100,10015300,1,10000204,1,0,0,0,0,10043600,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,1,5,1,5,2051,1,0,100,10033100,10016100,1,10000204,1,0,0,0,0,10038616,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,1,5,1,5,2051,1,0,100,10033100,10015707,1,10000204,1,0,0,0,0,10018003,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,3,8,2,6,2051,1,0,100,10023800,10014600,1,0,0,0,0,0,0,10001151,10,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,5,10,8,13,2051,1,0,100,0,10014650,1,10023900,10,0,0,0,0,10034200,1,99,10001250,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,30,35,12,17,2051,1,0,100,0,10019304,1,10024300,1,0,0,0,0,10057700,1,99,10001250,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,2,7,2,6,2051,1,0,100,0,10107103,1,0,0,0,0,0,0,10015600,1,80,10001250,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#高度金属精錬LV2（121～160）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,2,7,1,5,2051,2,0,5000,10033100,10018001,1,0,0,0,0,0,0,10015600,1,99,10020209,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,2,7,2,6,2051,2,0,5000,10033100,10044200,1,0,0,0,0,0,0,10015600,1,99,10020209,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,2,7,2,6,2051,2,0,5000,10033100,10044700,1,0,0,0,0,0,0,10015600,1,99,10020209,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,2,7,2,6,2051,2,0,5000,10033100,10031601,1,0,0,0,0,0,0,10015600,1,99,10020209,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2,7,2,6,2051,2,0,5000,10033100,10024010,1,0,0,0,0,0,0,10015600,1,99,10020209,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,2,7,1,5,2051,2,0,5000,10033100,10016100,1,0,0,0,0,0,0,10015600,1,99,10020209,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,2,7,1,5,2051,2,0,5000,10033100,10045100,1,0,0,0,0,0,0,10015600,1,99,10020209,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,1,5,1,5,2051,2,0,5000,10033100,10038616,1,0,0,0,0,0,0,10016100,1,99,10020209,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,1,5,1,5,2051,2,0,5000,10033100,10040000,1,0,0,0,0,0,0,10016100,1,99,10020209,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,1,5,1,5,2051,2,0,5000,10033100,10042900,1,0,0,0,0,0,0,10016100,1,99,10020209,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,1,5,1,5,2051,2,0,5000,10033100,10044600,1,0,0,0,0,0,0,10016100,1,99,10020209,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,1,5,1,5,2051,2,0,5000,10033100,10044500,1,0,0,0,0,0,0,10016100,1,99,10020209,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,1,5,1,5,2051,2,0,5000,10033100,10044400,1,0,0,0,0,0,0,10016100,1,99,10020209,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,1,5,1,5,2051,2,0,5000,10033100,10044300,1,0,0,0,0,0,0,10016100,1,99,10020209,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,1,5,1,5,2051,2,0,5000,10033100,10018002,1,0,0,0,0,0,0,10015710,1,99,10020209,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,1,5,1,5,2051,2,0,5000,10033100,10045150,1,0,0,0,0,0,0,10015710,1,99,10020209,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,2,7,1,5,2051,2,0,5000,10033100,10016000,1,0,0,0,0,0,0,10015300,1,99,10020209,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,2,7,2,6,2051,2,0,5000,10033100,10043600,1,0,0,0,0,0,0,10015300,1,99,10020209,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,2,7,2,6,2051,2,0,5000,10033100,10044800,1,0,0,0,0,0,0,10015300,1,99,10020209,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,5,10,8,13,2051,2,0,5000,10033100,10044401,1,0,0,0,0,0,0,10015200,1,99,10020209,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,5,10,8,13,2051,2,0,5000,10033100,10044301,1,0,0,0,0,0,0,10015200,1,99,10020209,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
