#PETID,ペット名,PICTID,種別ID,体の幅,体の長さ,スケール,特殊情報,,,基本パラメータ,,,,,,,,戦闘パラメータ,,,,,,,,,,,,,,,,,,,,,,,,,,属性値,,,,,,,状態異常耐性,,,,,,,,,思考ID(通常時）,,,,,,,,,,思考ID(出現時),,思考ID(瀕死時),,,,,,,,,,思考ID(終焉時）,,スキルリスト,,,,,,,,,,,,EXP,JOBEXP,ドロップアイテム,ドロップアイテム,,,,,,,備考,
#,,,,,,,飛行,アンデッド,LV,腕力,魔力,体力,器用度,敏捷度,知性,現在ＨＰ,転生限界,最大HP,最大SP,最大MP,速度,最小攻,最大攻,タイプ,最小魔攻,最大魔攻,物理防－,物理防％,魔法防－,魔法防％,近命中,遠命中,魔命中,近回避,遠回避,魔回避,クリティカル,クリティカル回避,回復力,魔回復力,攻撃速度,詠唱速度,射程,無,火,水,風,土,光,闇,毒,石化,麻痺,睡眠,沈黙,鈍足化,混乱,氷結,気絶,思考ID１,,思考ID2,,思考ID3,,思考ID4,,思考ID5,,思考ID1,,思考ID１,,思考ID2,,思考ID3,,思考ID4,,思考ID5,,思考ID1,,スキルID1,,スキルID2,,スキルID3,,スキルID4,,スキルID5,,スキルID6,,,,ドロップ率ID,アイテムID1,アイテムID2,アイテムID3,アイテムID4,アイテムID5,アイテムID6,アイテムID7,
#99999999,全角１６文字までＯＫ,99999999,HUMAN,1,1,1,0,0,0,127,127,127,127,127,127,127,127,9999,9999,9999,9999,9999,9999,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,100,100,100,100,100,100,100,9999,9999,9999,9999,9999,9999,9999,9999,9999,127,9999,127,9999,127,9999,127,9999,127,9999,127,9999,127,9999,127,9999,127,9999,127,9999,127,9999,127,9999,9999,0,9999,0,9999,0,9999,0,9999,0,9999,0,99999999,99999999,0,99999999,99999999,99999999,99999999,null,99999999,99999999,
10260008,貓靈（新緑）,10260008,MAGIC_CREATURE_1,0.95,0.95,0.95,1,0,1,1,1,1,1,1,1,1,100,480,0,0,400,30,30,BLOW,90,90,18,36,60,48,102,60,300,180,60,360,60,60,100,12,200,200,1,0,0,0,0,0,0,10,80,80,80,50,50,50,50,80,50,40,100,0,0,0,0,0,0,0,0,0,0,40,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10260009,貓靈（覚醒新緑）,10260008,MAGIC_CREATURE_37,0.95,0.95,0.95,1,0,1,1,1,1,1,1,1,1,100,480,0,0,400,30,30,BLOW,90,90,18,36,60,48,102,60,300,180,60,360,60,60,100,12,200,200,1,0,0,0,0,0,0,10,80,80,80,50,50,50,50,80,50,40,100,0,0,0,0,0,0,0,0,0,0,40,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10260010,貓靈（覚醒緑）,10260050,MAGIC_CREATURE_37,1,1,1,1,0,1,1,1,1,1,1,1,1,100,480,0,0,400,30,30,BLOW,90,90,18,36,60,48,102,60,300,180,60,360,60,60,100,12,200,200,1,0,0,0,0,0,0,10,80,80,80,50,50,50,50,80,50,40,100,0,0,0,0,0,0,0,0,0,0,40,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10260050,貓靈（緑）,10260050,MAGIC_CREATURE_1,1,1,1,1,0,1,1,1,1,1,1,1,1,100,480,0,0,400,30,30,BLOW,90,90,18,36,60,48,102,60,300,180,60,360,60,60,100,12,200,200,1,0,0,0,0,0,0,10,80,80,80,50,50,50,50,80,50,40,100,0,0,0,0,0,0,0,0,0,0,40,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10260051,貓靈（藍）,10260051,MAGIC_CREATURE_13,1,1,1,1,0,1,1,1,1,1,1,1,1,100,480,0,0,400,30,30,BLOW,90,90,18,36,60,48,102,60,300,180,60,360,60,60,100,12,200,200,1,0,0,0,0,0,10,0,80,80,80,50,50,50,50,80,50,40,100,0,0,0,0,0,0,0,0,0,0,40,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10260052,貓靈（山吹）,10260052,MAGIC_CREATURE_18,1,1,1,1,0,1,1,1,1,1,1,1,1,100,480,0,0,400,30,30,BLOW,90,90,18,36,60,48,102,60,300,180,60,360,60,60,100,12,200,200,1,0,0,0,0,0,10,0,80,80,80,50,50,50,50,80,50,40,100,0,0,0,0,0,0,0,0,0,0,40,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10260054,貓靈（韓国）,10260005,MAGIC_CREATURE_36,0.95,0.95,0.95,1,0,1,1,1,1,1,1,1,1,100,480,0,0,400,30,30,BLOW,90,90,18,36,60,48,102,60,300,180,60,360,60,60,100,12,200,200,1,0,0,0,0,0,10,0,80,80,80,50,50,50,50,80,50,40,100,0,0,0,0,0,0,0,0,0,0,40,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10540000,傭兵,10540000,HUMAN_3,1,1,1.2,0,0,1,1,1,1,1,1,1,1,100,1200,0,0,400,156,156,SLASH,111,111,123,52,96,48,156,30,180,120,165,99,36,24,100,6,200,200,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,6401,0,6403,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10540003,藍衣傭兵,10540003,HUMAN_22,1,1,1.2,0,0,1,1,1,1,1,1,1,1,100,1200,0,0,400,168,168,SLASH,120,120,141,60,96,52,156,30,180,120,165,99,48,28,100,6,200,200,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,6401,0,6403,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10540002,紫衣傭兵,10540002,HUMAN_3,1,1,1.2,0,0,1,1,1,1,1,1,1,1,100,1200,0,0,400,156,156,SLASH,111,111,123,52,96,48,156,30,180,120,165,99,36,24,100,6,200,200,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,6401,0,6403,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10550000,凱特靈炮,10550000,MACHINE_4,1,1,1,0,0,1,1,1,1,1,1,1,1,100,600,0,0,350,168,168,STAB,30,30,30,27,30,36,120,303,200,60,108,48,42,9,100,3,200,200,6,0,20,0,0,0,0,0,255,255,255,255,255,0,0,0,255,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,6101,0,6103,0,6105,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10550016,水藍凱特靈炮,10550016,MACHINE_23,1,1,1,0,0,1,1,1,1,1,1,1,1,100,600,0,0,350,186,186,STAB,40,40,60,39,40,39,150,303,300,60,108,54,56,12,100,3,200,200,6,0,20,0,0,0,0,0,255,255,255,255,255,0,0,0,255,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,6101,0,6103,0,6105,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10550017,黃金凱特靈炮,10550017,MACHINE_4,1,1,1,0,0,1,1,1,1,1,1,1,1,100,600,0,0,350,168,168,STAB,30,30,30,27,30,36,120,303,200,60,108,48,42,9,100,3,200,200,6,0,20,0,0,0,0,0,255,255,255,255,255,0,0,0,255,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,6101,0,6103,0,6105,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10560000,凱莉娥,10560000,INSECT_5,1,1,1,0,0,1,1,1,1,1,1,1,1,100,400,0,0,400,39,39,BLOW,36,36,30,30,50,51,27,48,60,12,12,42,12,9,100,6,200,200,1,0,0,0,0,30,0,0,150,0,0,0,150,150,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10560100,凱莉娥,10560100,INSECT_5,1,1,1,0,0,1,1,1,1,1,1,1,1,100,400,0,0,400,39,39,BLOW,36,36,30,30,50,51,27,48,60,12,12,42,12,9,100,6,200,200,1,0,0,0,0,30,0,0,150,0,0,0,150,150,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10560200,凱莉娥,10560200,INSECT_5,1,1,1,0,0,1,1,1,1,1,1,1,1,100,400,0,0,400,39,39,BLOW,36,36,30,30,50,51,27,48,60,12,12,42,12,9,100,6,200,200,1,0,0,0,0,30,0,0,150,0,0,0,150,150,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10560400,凱莉娥,10560400,INSECT_5,1,1,1,0,0,1,1,1,1,1,1,1,1,100,400,0,0,400,39,39,BLOW,36,36,30,30,50,51,27,48,60,12,12,42,12,9,100,6,200,200,1,0,0,0,0,30,0,0,150,0,0,0,150,150,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10560800,凱莉娥,10560800,INSECT_5,1,1,1,0,0,1,1,1,1,1,1,1,1,100,400,0,0,400,39,39,BLOW,36,36,30,30,50,51,27,48,60,12,12,42,12,9,100,6,200,200,1,0,0,0,0,30,0,0,150,0,0,0,150,150,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10566000,凱莉娥,10566000,INSECT_5,1,1,1,0,0,1,1,1,1,1,1,1,1,100,400,0,0,400,39,39,BLOW,36,36,30,30,50,51,27,48,60,12,12,42,12,9,100,6,200,200,1,0,0,0,0,30,0,0,150,0,0,0,150,150,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10300002,凱莉娥,10300002,INSECT_5,1,1,1,0,0,1,1,1,1,1,1,1,1,100,400,0,0,400,39,39,BLOW,36,36,30,30,50,51,27,48,60,12,12,42,12,9,100,6,200,200,1,0,0,0,0,30,0,0,150,0,0,0,150,150,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10565000,凱莉娥,10565000,INSECT_5,1,1,1,0,0,1,1,1,1,1,1,1,1,100,400,0,0,400,39,39,BLOW,36,36,30,30,50,51,27,48,60,12,12,42,12,9,100,6,200,200,1,0,0,0,0,30,0,0,150,0,0,0,150,150,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10560001,迷你凱莉娥,10560001,INSECT_5,1,1,0.8,0,0,1,1,1,1,1,1,1,1,100,320,0,0,400,39,39,BLOW,36,36,30,30,50,51,27,48,60,12,12,42,12,9,100,5,200,200,1,0,0,0,0,30,0,0,150,0,0,0,150,150,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10560101,迷你凱莉娥,10560101,INSECT_5,1,1,0.8,0,0,1,1,1,1,1,1,1,1,100,320,0,0,400,39,39,BLOW,36,36,30,30,50,51,27,48,60,12,12,42,12,9,100,5,200,200,1,0,0,0,0,30,0,0,150,0,0,0,150,150,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10560201,迷你凱莉娥,10560201,INSECT_5,1,1,0.8,0,0,1,1,1,1,1,1,1,1,100,320,0,0,400,39,39,BLOW,36,36,30,30,50,51,27,48,60,12,12,42,12,9,100,5,200,200,1,0,0,0,0,30,0,0,150,0,0,0,150,150,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10560401,迷你凱莉娥,10560401,INSECT_5,1,1,0.8,0,0,1,1,1,1,1,1,1,1,100,320,0,0,400,39,39,BLOW,36,36,30,30,50,51,27,48,60,12,12,42,12,9,100,5,200,200,1,0,0,0,0,30,0,0,150,0,0,0,150,150,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10560801,迷你凱莉娥,10560801,INSECT_5,1,1,0.8,0,0,1,1,1,1,1,1,1,1,100,320,0,0,400,39,39,BLOW,36,36,30,30,50,51,27,48,60,12,12,42,12,9,100,5,200,200,1,0,0,0,0,30,0,0,150,0,0,0,150,150,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10566001,迷你凱莉娥,10566001,INSECT_5,1,1,0.8,0,0,1,1,1,1,1,1,1,1,100,320,0,0,400,39,39,BLOW,36,36,30,30,50,51,27,48,60,12,12,42,12,9,100,5,200,200,1,0,0,0,0,30,0,0,150,0,0,0,150,150,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10300003,迷你凱莉娥,10300003,INSECT_5,1,1,0.8,0,0,1,1,1,1,1,1,1,1,100,320,0,0,400,39,39,BLOW,36,36,30,30,50,51,27,48,60,12,12,42,12,9,100,5,200,200,1,0,0,0,0,30,0,0,150,0,0,0,150,150,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10565001,迷你凱莉娥,10565001,INSECT_5,1,1,0.8,0,0,1,1,1,1,1,1,1,1,100,320,0,0,400,39,39,BLOW,36,36,30,30,50,51,27,48,60,12,12,42,12,9,100,5,200,200,1,0,0,0,0,30,0,0,150,0,0,0,150,150,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10560002,微型爬爬蟲,10560002,INSECT_5,1,1,0.5,0,0,1,1,1,1,1,1,1,1,100,320,0,0,400,32,32,BLOW,36,36,24,30,40,38,27,21,45,20,16,26,10,18,110,6,160,120,1,0,0,0,0,30,0,0,150,0,0,0,150,150,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10570000,汪汪,10570000,ANIMAL_6,1,1,1,0,0,1,1,1,1,1,1,1,1,100,800,0,0,400,126,126,SLASH,33,33,100,45,20,20,110,40,117,150,72,54,64,40,100,6,200,200,1,0,0,0,0,10,0,0,50,50,50,50,50,50,50,50,50,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,6301,0,6303,0,6305,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10570020,愛美的汪汪,10570020,ANIMAL_26,1,1,1,0,0,1,1,1,1,1,1,1,1,100,800,0,0,400,147,147,SLASH,43,43,106,54,30,25,110,40,117,150,72,54,64,46,100,6,200,200,1,0,0,0,0,10,0,0,50,50,50,50,50,50,50,50,50,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,6301,0,6303,0,6305,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10570021,暴戾的汪汪,10570021,ANIMAL_6,1,1,1,0,0,1,1,1,1,1,1,1,1,100,800,0,0,400,126,126,SLASH,33,33,100,45,20,20,110,40,117,150,72,54,64,40,100,6,200,200,1,0,0,0,0,10,0,0,50,50,50,50,50,50,50,50,50,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,6301,0,6303,0,6305,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10570003,流浪犬巴鳴,10120000,ANIMAL_6,1,1,1,0,0,1,1,1,1,1,1,1,1,100,800,0,0,400,126,126,SLASH,33,33,100,45,20,20,110,40,117,150,72,54,64,40,100,6,200,200,1,0,0,0,0,10,0,0,50,50,50,50,50,50,50,50,50,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,6301,0,6303,0,6305,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10570050,黑檀,10570050,ANIMAL_6,1,1,1,0,0,1,1,1,1,1,1,1,1,100,900,0,0,400,117,117,SLASH,40,40,96,42,64,40,105,36,121,150,76,60,60,36,100,6,200,200,1,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,6301,0,6303,0,6305,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10570010,愛美的黑檀,10570010,ANIMAL_26,1,1,1,0,0,1,1,1,1,1,1,1,1,100,900,0,0,400,138,138,SLASH,46,46,100,50,64,45,105,36,121,150,76,60,60,40,100,6,200,200,1,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,6301,0,6303,0,6305,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10570014,暴戾的黑檀,10570014,ANIMAL_6,1,1,1,0,0,1,1,1,1,1,1,1,1,100,900,0,0,400,117,117,SLASH,40,40,96,42,64,40,105,36,121,150,76,60,60,36,100,6,200,200,1,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,6301,0,6303,0,6305,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10580000,曼陀蘿胡蘿蔔,10580000,PLANT_7,1,1,1,0,0,1,1,1,1,1,1,1,1,100,1000,0,0,300,96,96,STAB,141,141,12,12,72,40,30,285,30,9,9,138,18,9,100,9,200,200,1,0,0,0,0,30,0,0,180,255,30,50,180,30,30,50,80,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,6201,0,6203,0,6205,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10581400,曼陀蘿蘿蔔,10580002,PLANT_27,1,1,1,0,0,1,1,1,1,1,1,1,1,100,1000,0,0,300,100,100,STAB,159,159,20,14,80,50,40,285,40,20,15,138,21,12,100,9,200,200,1,0,0,0,0,30,0,0,180,255,30,50,180,30,30,50,80,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,6201,0,6203,0,6205,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10581401,曼陀蘿蘿蔔,10580003,PLANT_7,1,1,1,0,0,1,1,1,1,1,1,1,1,100,1000,0,0,300,96,96,STAB,141,141,12,12,72,40,30,285,30,9,9,138,18,9,100,9,200,200,1,0,0,0,0,30,0,0,180,255,30,50,180,30,30,50,80,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,6201,0,6203,0,6205,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
