#ItemID,ItemName,HP,,MP,,SP,,负重,,体积,,STR,,DEX,,INT,,VIT,,AGI,,MAG,,ATK1（打）,,ATK2（斩）,,ATK3（射）,,MATK,,DEF(+),,MDEF(+),,SHIT,,LHIT,,MagicHit,,SAVOID,,LAVOID,,MAVOID（魔法抵抗）,,Cri,,Criavoid,,无,,光,,暗,,地,,水,,火,,凤,
#细项,N/A,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max
#N/A,短剣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60060701,煉獄槍,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60063400,【真】トライデント,0,0,0,0,0,0,0,0,0,0,-3,4,-2,3,0,0,-2,3,-3,-1,0,0,0,0,0,0,180,222,0,0,0,0,0,0,-10,10,-10,10,-10,10,0,0,0,0,0,0,16,25,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#N/A,片手ハンマー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60040601,グラッドハンマー１０００,-495,140,0,0,-364,49,0,0,0,0,0,0,0,0,-2,2,-2,2,-1,3,0,0,0,31,0,23,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60046500,【真】モーニングスター,0,0,25,100,25,100,0,0,0,0,-1,2,-1,2,-1,1,0,0,0,0,-2,3,70,110,20,60,30,70,80,105,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#N/A,両手ハンマー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60041801,灼熱砕身,-404,48,0,0,-485,124,0,0,0,0,-2,2,0,0,0,0,-2,2,-2,3,0,0,0,70,0,23,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#N/A,片手斧,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60052702,アングス?ディロン,0,0,0,0,0,0,0,0,0,0,-2,2,-2,2,0,0,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60052801,マジカルサイズ（青紫）,52,599,0,0,0,0,-5,39,-4,39,0,0,0,0,0,0,-2,2,0,0,0,0,0,29,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60052802,マジカルサイズ（赤）,0,0,-100,498,0,0,0,0,0,0,-4,0,-1,2,0,0,0,0,0,0,-2,4,0,23,0,8,0,0,-9,60,0,0,0,0,0,0,0,0,-5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60054600,パイレーツハチェット（鉄）,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,260,0,0,0,0,0,0,0,0,0,0,-98,-464,0,0,0,0,0,0,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60054601,パイレーツハチェット（金）,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,260,0,0,0,0,0,0,0,0,0,0,-98,-464,0,0,0,0,0,0,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60054602,パイレーツハチェット（銀）,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,260,0,0,0,0,0,0,0,0,0,0,-98,-464,0,0,0,0,0,0,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60054603,パイレーツハチェット（銅）,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,260,0,0,0,0,0,0,0,0,0,0,-98,-464,0,0,0,0,0,0,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60053800,【真】ウォーアックス,0,183,0,0,0,0,0,0,0,0,-3,3,-2,3,0,0,-2,2,-2,3,0,0,68,150,55,90,45,50,0,50,0,0,0,0,0,0,0,0,0,0,0,22,0,21,0,16,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#N/A,両手斧,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60054200,バルディスアックス,-466,129,0,0,-395,131,0,0,0,0,-1,2,0,0,0,0,-1,3,-2,2,0,0,0,33,0,42,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60053900,【真】長い両斧,0,0,-20,30,-20,47,0,0,0,0,-3,2,-3,3,-1,1,-3,0,-1,2,-2,3,123,150,78,100,44,50,100,150,0,0,0,0,0,15,0,15,0,15,0,0,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#N/A,爪,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60023306,クリーグス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60028702,桜桃蝶舞棍,-148,480,0,0,0,0,0,0,0,0,-2,4,0,0,0,0,-1,1,-2,4,0,0,0,10,10,20,0,9,0,0,-11,13,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,-20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60013000,【真】スカウトクロー,0,0,0,0,50,100,0,0,0,0,-2,2,-2,1,0,0,-2,3,-3,4,0,0,10,45,10,45,45,80,0,0,0,0,0,0,15,20,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#N/A,ロープ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61030070,カスティータス,-444,112,0,0,-395,113,0,0,0,0,-2,2,-2,2,0,0,0,0,-2,2,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61030700,【真】モーモー鞭,0,0,25,100,0,0,0,0,0,0,-3,2,-4,2,0,0,-1,0,-2,3,-1,2,98,133,0,0,0,0,20,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
#N/A,弓,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60095001,シャンティーナ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60096300,【真】コンポジットボウ,50,100,0,0,0,0,0,0,0,0,-1,3,0,0,-3,3,0,0,0,1,0,0,0,0,0,0,95,120,0,0,0,0,0,0,0,0,20,95,0,0,-10,0,-10,0,0,0,0,30,0,0,0,50,0,30,0,30,0,0,0,0,0,0,0,0
#N/A,銃,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60091554,金色の拳銃,-35,0,0,0,-125,0,0,0,0,0,0,2,0,0,-2,0,-1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60096400,【真】マスケット,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,96,132,0,0,0,0,0,0,0,0,28,77,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60097100,パイレーツマスケット（金）,51,586,0,0,0,0,0,0,0,0,-2,4,0,0,-2,2,0,0,0,0,0,0,0,0,0,0,0,441,0,0,0,0,0,0,-500,20,-510,10,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60097101,パイレーツマスケット（銀）,51,586,0,0,0,0,0,0,0,0,-2,4,0,0,-2,2,0,0,0,0,0,0,0,0,0,0,0,441,0,0,0,0,0,0,-500,20,-510,10,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#N/A,二丁拳銃,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60091555,金色の拳銃（２丁）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60096500,【真】シュタインガン（２丁）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60092100,ライフル,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60091904,コヨーテ,28,28,0,0,29,29,0,0,0,0,1,1,0,0,2,2,2,2,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60096600,【真】スナイパーライフル,50,100,0,0,0,0,0,0,0,0,-2,2,0,0,-2,2,-4,4,-2,2,0,0,0,0,0,0,100,135,0,0,15,20,15,20,0,0,0,30,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#N/A,杖,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60074700,ブリザードクイーン,-405,140,-80,140,0,0,0,0,0,0,0,0,-2,2,-2,2,0,0,0,0,0,2,1,25,0,0,1,23,1,59,0,0,-10,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60074500,【真】ノーブルロッド,80,198,0,0,0,0,0,0,0,0,-1,0,-1,1,-3,3,-3,4,0,0,-4,2,68,80,0,0,30,40,100,150,1,20,1,20,0,0,0,0,0,0,1,10,0,10,0,10,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0
#N/A,弦楽器,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61040252,デフェリシェルーチェ,-31,32,0,0,10,39,0,0,0,0,0,0,0,0,0,2,-1,2,0,0,0,2,0,12,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61040307,ギター（黒）,0,583,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,39,0,28,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61041400,【真】精霊のハープ,25,100,0,0,0,0,0,0,0,0,0,0,-2,2,-3,2,-3,4,0,0,-1,2,88,103,0,0,0,0,93,120,3,20,3,20,0,0,0,0,0,0,0,9,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#N/A,本,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61070504,オーニアダライ,-433,105,-443,146,0,0,0,0,0,0,0,0,-2,2,-2,2,0,0,0,0,-1,2,0,38,0,2,0,2,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60081401,エンドオブブック（黒）,84,599,65,500,0,0,0,0,0,0,0,0,0,0,-1,3,0,0,0,0,0,0,0,8,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,7,0,7
60081402,エンドオブブック（白）,0,0,16,292,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,-2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,14,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60081403,エンドオブブック（漫画）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61071900,【真】力の本,0,0,0,0,0,0,0,0,0,0,-3,4,-2,0,0,2,0,0,0,0,-2,2,35,77,0,0,0,0,110,147,0,0,0,0,0,0,0,0,0,0,0,15,0,15,1,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#N/A,ハンドバッグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50079104,ミスティコ?マギサ,46,46,40,40,0,0,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,-23,-23,-23,-23,-23,-23,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#N/A,左手用ハンドバッグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50079154,ミスティコ?マギサ（左手）,10,200,10,299,0,0,29,30,29,30,0,0,-1,2,0,0,0,0,0,0,-1,2,-23,-23,-23,-23,-23,-23,5,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#N/A,盾,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60034100,【真】かた～いたて,0,150,0,0,0,0,0,0,0,0,-1,1,-2,1,-2,0,-2,4,-3,2,-1,1,0,0,0,0,0,0,0,0,0,55,0,55,0,0,0,0,0,0,-20,-10,-20,-10,-30,-15,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60033502,ハニーワ?シールド（金）,-342,191,-24,147,-24,149,0,0,0,0,0,0,-3,2,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,-2,8,-2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#N/A,左手飾り,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61060200,【真】タリスマン（黄）,0,0,0,0,0,0,0,0,0,0,0,0,-2,2,0,0,0,0,-3,4,-2,2,0,0,0,0,0,0,0,0,-30,0,-30,0,0,0,0,0,0,0,0,25,0,25,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61060300,【真】タリスマン（黒）,0,0,0,0,0,0,0,0,0,0,-4,4,-1,3,0,0,-2,2,0,0,0,0,-25,25,-25,25,-25,25,-30,0,0,0,0,0,0,15,0,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61060007,【真】ワイズ?タリスマン,0,0,-30,60,0,0,0,0,0,0,0,0,-1,1,-1,2,-2,2,-1,1,-1,1,0,10,0,10,0,10,-5,10,0,0,0,0,-5,15,0,0,-5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#N/A,フルフェイス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50141900,覆面マスク（青）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50141901,覆面マスク（赤）,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50141902,覆面マスク（黄）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50141903,覆面マスク（緑）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50141904,覆面マスク（紫）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50141905,覆面マスク（白）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50141906,覆面マスク（黒）,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50141907,覆面マスク（黒桃）,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50141908,覆面マスク（黒紫）,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
